Month,Force,Neighbourhood,Burglary,Robbery,Vehicle crime,Violent crime,Anti-social behaviour,Other crime
2011-01,Hertfordshire Constabulary,24,3,0,6,8,34,22
2011-01,Hertfordshire Constabulary,25,4,0,4,2,23,3
2011-01,Hertfordshire Constabulary,26,5,3,4,17,58,41
2011-01,Hertfordshire Constabulary,27,7,0,4,9,43,33
2011-01,Hertfordshire Constabulary,21,3,0,5,3,10,9
2011-01,Hertfordshire Constabulary,22,8,0,6,4,19,18
2011-01,Hertfordshire Constabulary,23,3,1,4,17,49,25
2011-01,Hertfordshire Constabulary,28,11,8,14,45,125,250
2011-01,Hertfordshire Constabulary,29,4,0,3,2,20,11
2011-01,Hertfordshire Constabulary,4,15,0,7,7,0,27
2011-01,Hertfordshire Constabulary,8,12,2,7,5,72,40
2011-01,Hertfordshire Constabulary,59,1,0,1,0,7,7
2011-01,Hertfordshire Constabulary,58,13,6,2,17,70,92
2011-01,Hertfordshire Constabulary,55,17,1,7,10,47,38
2011-01,Hertfordshire Constabulary,54,14,0,9,6,36,28
2011-01,Hertfordshire Constabulary,57,6,1,3,12,40,32
2011-01,Hertfordshire Constabulary,56,9,0,8,3,24,17
2011-01,Hertfordshire Constabulary,51,4,3,10,10,34,19
2011-01,Hertfordshire Constabulary,50,2,0,7,23,47,39
2011-01,Hertfordshire Constabulary,53,18,1,6,10,45,52
2011-01,Hertfordshire Constabulary,52,9,7,14,11,41,43
2011-01,Hertfordshire Constabulary,88,5,0,2,5,22,12
2011-01,Hertfordshire Constabulary,89,11,0,25,11,34,42
2011-01,Hertfordshire Constabulary,82,10,0,3,11,64,22
2011-01,Hertfordshire Constabulary,83,3,0,6,3,16,9
2011-01,Hertfordshire Constabulary,80,15,0,4,3,14,21
2011-01,Hertfordshire Constabulary,81,10,1,4,9,36,26
2011-01,Hertfordshire Constabulary,86,16,0,5,6,29,21
2011-01,Hertfordshire Constabulary,87,2,0,0,1,10,2
2011-01,Hertfordshire Constabulary,84,7,1,6,6,35,56
2011-01,Hertfordshire Constabulary,85,16,1,6,26,71,51
2011-01,Hertfordshire Constabulary,3,10,1,18,10,75,46
2011-01,Hertfordshire Constabulary,7,8,0,7,6,62,36
2011-01,Hertfordshire Constabulary,39,2,0,4,2,10,15
2011-01,Hertfordshire Constabulary,38,1,1,5,3,34,17
2011-01,Hertfordshire Constabulary,33,17,0,8,5,64,19
2011-01,Hertfordshire Constabulary,32,6,0,9,14,50,17
2011-01,Hertfordshire Constabulary,31,11,2,7,6,55,31
2011-01,Hertfordshire Constabulary,30,10,0,16,6,44,24
2011-01,Hertfordshire Constabulary,37,11,0,8,4,35,24
2011-01,Hertfordshire Constabulary,36,4,0,1,9,51,22
2011-01,Hertfordshire Constabulary,35,2,0,4,1,7,8
2011-01,Hertfordshire Constabulary,34,9,0,0,2,25,7
2011-01,Hertfordshire Constabulary,60,6,0,0,6,46,38
2011-01,Hertfordshire Constabulary,61,10,0,3,1,8,11
2011-01,Hertfordshire Constabulary,62,4,0,0,0,0,2
2011-01,Hertfordshire Constabulary,63,3,0,2,1,12,8
2011-01,Hertfordshire Constabulary,64,2,0,6,6,35,13
