Month,Force,Neighbourhood,Burglary,Robbery,Vehicle crime,Violent crime,Anti-social behaviour,Other crime
2011-01,Lincolnshire Police,NC37,18,0,11,16,72,45
2011-01,Lincolnshire Police,NC30,8,0,6,6,65,45
2011-01,Lincolnshire Police,NC17,2,0,2,11,48,20
2011-01,Lincolnshire Police,NC55,18,1,12,18,93,49
2011-01,Lincolnshire Police,NC14,16,3,8,49,118,127
2011-01,Lincolnshire Police,NC58,7,0,2,8,48,51
2011-01,Lincolnshire Police,NC56,4,0,1,8,24,26
2011-01,Lincolnshire Police,NC57,8,0,6,9,31,39
2011-01,Lincolnshire Police,NC54,10,0,10,5,36,32
2011-01,Lincolnshire Police,NC33,8,0,8,2,34,13
2011-01,Lincolnshire Police,NC52,4,0,1,5,21,15
2011-01,Lincolnshire Police,NC53,19,3,11,13,58,66
2011-01,Lincolnshire Police,NC50,47,0,25,44,138,103
2011-01,Lincolnshire Police,NC51,91,0,3,10,19,15
2011-01,Lincolnshire Police,NC18,4,0,2,3,9,11
2011-01,Lincolnshire Police,NC19,2,0,0,5,31,29
2011-01,Lincolnshire Police,NC38,8,0,2,4,25,18
2011-01,Lincolnshire Police,NC39,9,0,13,3,34,23
2011-01,Lincolnshire Police,NC12,24,3,27,24,98,92
2011-01,Lincolnshire Police,NC13,12,1,8,12,62,51
2011-01,Lincolnshire Police,NC10,11,1,13,17,81,39
2011-01,Lincolnshire Police,NC11,14,0,1,7,23,30
2011-01,Lincolnshire Police,NC16,6,0,3,9,25,21
2011-01,Lincolnshire Police,NC31,4,5,5,13,71,65
2011-01,Lincolnshire Police,NC32,6,2,4,23,82,63
2011-01,Lincolnshire Police,NC15,18,2,15,9,65,28
2011-01,Lincolnshire Police,NC47,6,1,3,10,22,13
2011-01,Lincolnshire Police,NC45,8,0,10,8,62,46
2011-01,Lincolnshire Police,NC05,6,0,5,3,17,15
2011-01,Lincolnshire Police,NC04,17,0,4,4,39,48
2011-01,Lincolnshire Police,NC07,7,0,5,6,23,25
2011-01,Lincolnshire Police,NC06,2,0,4,3,25,16
2011-01,Lincolnshire Police,NC01,3,0,1,2,27,13
2011-01,Lincolnshire Police,NC03,16,1,6,18,67,58
2011-01,Lincolnshire Police,NC02,8,0,6,4,29,28
2011-01,Lincolnshire Police,NC41,5,0,4,2,8,29
2011-01,Lincolnshire Police,NC40,8,0,5,3,34,31
2011-01,Lincolnshire Police,NC43,12,1,23,17,68,39
2011-01,Lincolnshire Police,NC42,24,1,32,19,73,57
2011-01,Lincolnshire Police,NC09,7,0,7,5,20,19
2011-01,Lincolnshire Police,NC08,7,0,2,3,24,17
2011-01,Lincolnshire Police,NC44,3,0,5,28,77,58
2011-01,Lincolnshire Police,NC46,1,0,3,1,7,4
2011-01,Lincolnshire Police,NC49,17,0,2,6,16,14
2011-01,Lincolnshire Police,NC29,7,0,7,12,23,24
2011-01,Lincolnshire Police,NC28,16,2,8,8,57,55
2011-01,Lincolnshire Police,NC27,5,1,3,35,60,71
2011-01,Lincolnshire Police,NC26,10,0,8,11,70,45
2011-01,Lincolnshire Police,NC25,3,0,4,5,10,13
2011-01,Lincolnshire Police,NC24,4,1,9,6,18,25
2011-01,Lincolnshire Police,NC23,1,0,1,4,14,7
2011-01,Lincolnshire Police,NC22,10,0,5,21,56,58
2011-01,Lincolnshire Police,NC21,6,0,3,11,42,37
2011-01,Lincolnshire Police,NC20,8,0,10,2,11,8
2011-01,Lincolnshire Police,NC34,8,0,5,2,44,33
2011-01,Lincolnshire Police,NC48,1,0,5,15,59,38
2011-01,Lincolnshire Police,NC35,7,0,10,3,30,19
2011-01,Lincolnshire Police,NC36,7,0,4,5,21,10
