Month,Force,Neighbourhood,Burglary,Robbery,Vehicle crime,Violent crime,Anti-social behaviour,Other crime
2011-02,Cleveland Police,Ormesby,1,0,2,6,26,31
2011-02,Cleveland Police,Rossmere,16,0,5,10,27,30
2011-02,Cleveland Police,Brookfield,4,0,1,2,15,4
2011-02,Cleveland Police,Seaton,3,0,2,2,17,7
2011-02,Cleveland Police,Coulby Newham,2,0,1,8,34,14
2011-02,Cleveland Police,Owton,1,0,1,15,79,28
2011-02,Cleveland Police,Billingham South,3,0,1,4,38,24
2011-02,Cleveland Police,Dormanstown,8,0,4,8,55,27
2011-02,Cleveland Police,Newtown,9,0,2,7,74,51
2011-02,Cleveland Police,Acklam,5,0,1,7,35,10
2011-02,Cleveland Police,Burn Valley,5,2,9,9,50,22
2011-02,Cleveland Police,Beechwood,13,0,12,17,48,43
2011-02,Cleveland Police,Yarm,3,0,0,5,36,17
2011-02,Cleveland Police,Longbeck,1,0,0,1,17,6
2011-02,Cleveland Police,Grangefield,3,0,4,4,14,11
2011-02,Cleveland Police,Park - Middlesbrough,9,0,8,9,32,32
2011-02,Cleveland Police,Linthorpe,7,0,24,10,46,27
2011-02,Cleveland Police,Western Parishes,0,0,0,1,13,8
2011-02,Cleveland Police,Billingham West,1,0,1,3,11,5
2011-02,Cleveland Police,Ingleby Barwick West,1,0,1,1,17,4
2011-02,Cleveland Police,Ladgate,5,0,1,5,17,12
2011-02,Cleveland Police,Hardwick,6,0,6,6,89,25
2011-02,Cleveland Police,Brotton,7,0,2,5,41,18
2011-02,Cleveland Police,Hutton,2,0,2,1,14,10
2011-02,Cleveland Police,Grangetown,8,1,3,16,45,44
2011-02,Cleveland Police,Hemlington,6,0,6,12,52,37
2011-02,Cleveland Police,South Bank,21,1,7,9,49,47
2011-02,Cleveland Police,Throston,5,0,1,2,29,14
2011-02,Cleveland Police,Kader,5,0,1,6,26,10
2011-02,Cleveland Police,Guisborough,5,0,11,6,76,37
2011-02,Cleveland Police,Middlehaven,16,2,11,89,233,206
2011-02,Cleveland Police,Elwick,1,0,2,3,17,2
2011-02,Cleveland Police,University,10,0,5,17,71,54
2011-02,Cleveland Police,Lockwood,1,0,4,0,7,1
2011-02,Cleveland Police,Pallister,7,1,12,13,63,26
2011-02,Cleveland Police,Stranton,5,0,5,46,182,68
2011-02,Cleveland Police,Eston,11,0,6,10,72,40
2011-02,Cleveland Police,Newcomen,2,0,1,9,36,22
2011-02,Cleveland Police,Ingleby Barwick East,4,0,1,3,29,2
2011-02,Cleveland Police,Park End,2,0,1,7,37,31
2011-02,Cleveland Police,Hartburn,0,0,1,2,3,4
2011-02,Cleveland Police,Hart,0,0,0,1,44,9
2011-02,Cleveland Police,Coatham,10,0,4,30,92,50
2011-02,Cleveland Police,Fairfield,1,0,0,2,23,6
2011-02,Cleveland Police,Stockton Town Centre,15,5,4,35,202,124
2011-02,Cleveland Police,Marton West,4,1,0,0,7,5
2011-02,Cleveland Police,Foggy Furze,4,0,1,6,36,22
2011-02,Cleveland Police,Stainton and Thornton,3,0,2,1,14,4
2011-02,Cleveland Police,Beckfield,4,0,3,5,29,26
2011-02,Cleveland Police,St Germains,1,0,0,7,23,10
2011-02,Cleveland Police,Saltburn,2,0,1,2,29,13
2011-02,Cleveland Police,Roseworth,3,0,1,5,48,23
2011-02,Cleveland Police,Norton West,2,0,2,5,17,5
2011-02,Cleveland Police,Thorntree,5,1,2,11,38,23
2011-02,Cleveland Police,Rift House,16,0,1,6,47,24
2011-02,Cleveland Police,Eaglescliffe,4,0,1,2,31,14
2011-02,Cleveland Police,Marton,6,0,1,0,22,21
2011-02,Cleveland Police,Norton South,3,0,3,3,56,18
2011-02,Cleveland Police,Teesville,4,0,3,4,69,35
2011-02,Cleveland Police,Greatham,0,0,0,0,15,5
2011-02,Cleveland Police,Kirkleatham,1,0,5,6,48,14
2011-02,Cleveland Police,Ayresome,4,1,7,12,46,12
2011-02,Cleveland Police,Mandale and Victoria,8,0,3,13,109,52
2011-02,Cleveland Police,Billingham East,0,0,2,2,52,26
2011-02,Cleveland Police,Billingham North,0,0,0,2,18,6
2011-02,Cleveland Police,Clairville,10,1,8,5,33,16
2011-02,Cleveland Police,Westworth,1,0,2,1,8,7
2011-02,Cleveland Police,Brus,5,1,7,10,63,35
2011-02,Cleveland Police,Grange,5,0,3,10,40,31
2011-02,Cleveland Police,Fens,2,0,1,3,19,15
2011-02,Cleveland Police,Dyke House,2,0,0,8,66,23
2011-02,Cleveland Police,St Hilda,7,0,4,5,72,22
2011-02,Cleveland Police,Billingham Central,1,0,1,6,49,10
2011-02,Cleveland Police,Bishopsgarth and Elm Tree,2,0,6,2,35,13
2011-02,Cleveland Police,Stainsby Hill,3,0,2,6,70,15
2011-02,Cleveland Police,North Ormesby and Brambles Farm,11,0,7,31,87,25
2011-02,Cleveland Police,Park - Hartlepool,1,0,2,1,24,3
2011-02,Cleveland Police,West Dyke,1,0,2,10,33,12
2011-02,Cleveland Police,Parkfield and Oxbridge,8,0,5,14,83,40
