Month,Force,Neighbourhood,Burglary,Robbery,Vehicle crime,Violent crime,Anti-social behaviour,Other crime
2011-04,Durham Constabulary,133,0,0,1,0,2,3
2011-04,Durham Constabulary,132,8,0,3,6,53,14
2011-04,Durham Constabulary,131,10,0,0,4,25,11
2011-04,Durham Constabulary,130,5,0,0,2,21,11
2011-04,Durham Constabulary,137,3,0,1,4,50,18
2011-04,Durham Constabulary,165,1,0,0,5,15,3
2011-04,Durham Constabulary,139,1,0,1,1,19,4
2011-04,Durham Constabulary,138,1,0,0,0,12,4
2011-04,Durham Constabulary,166,3,0,3,5,39,20
2011-04,Durham Constabulary,24,0,0,0,1,11,1
2011-04,Durham Constabulary,26,1,0,3,11,67,24
2011-04,Durham Constabulary,27,1,0,0,3,41,8
2011-04,Durham Constabulary,20,3,0,2,5,24,4
2011-04,Durham Constabulary,21,2,0,0,1,21,4
2011-04,Durham Constabulary,22,1,0,0,0,14,13
2011-04,Durham Constabulary,23,0,0,0,0,5,3
2011-04,Durham Constabulary,28,1,0,0,1,4,1
2011-04,Durham Constabulary,29,1,0,2,4,25,8
2011-04,Durham Constabulary,94,4,0,4,7,25,16
2011-04,Durham Constabulary,4,4,0,0,0,21,8
2011-04,Durham Constabulary,8,1,1,0,3,15,5
2011-04,Durham Constabulary,96,3,1,4,6,31,16
2011-04,Durham Constabulary,120,4,0,8,7,45,24
2011-04,Durham Constabulary,121,3,0,2,7,45,20
2011-04,Durham Constabulary,122,4,0,1,8,36,17
2011-04,Durham Constabulary,123,0,0,1,6,43,20
2011-04,Durham Constabulary,124,0,0,1,3,40,15
2011-04,Durham Constabulary,125,5,0,3,6,42,15
2011-04,Durham Constabulary,127,2,0,2,3,24,10
2011-04,Durham Constabulary,128,3,0,0,5,49,25
2011-04,Durham Constabulary,129,2,0,2,2,36,10
2011-04,Durham Constabulary,91,2,0,0,4,27,5
2011-04,Durham Constabulary,55,1,0,3,2,32,12
2011-04,Durham Constabulary,54,1,0,3,4,60,13
2011-04,Durham Constabulary,56,1,1,3,6,47,33
2011-04,Durham Constabulary,115,0,0,3,2,22,10
2011-04,Durham Constabulary,114,1,0,1,2,54,16
2011-04,Durham Constabulary,88,7,0,6,15,48,37
2011-04,Durham Constabulary,116,0,0,0,3,21,3
2011-04,Durham Constabulary,111,1,0,3,7,57,13
2011-04,Durham Constabulary,110,0,0,3,3,46,17
2011-04,Durham Constabulary,113,0,0,0,2,12,3
2011-04,Durham Constabulary,112,3,0,2,3,24,16
2011-04,Durham Constabulary,80,5,0,3,8,48,16
2011-04,Durham Constabulary,81,7,0,2,4,29,12
2011-04,Durham Constabulary,119,1,0,0,0,14,5
2011-04,Durham Constabulary,87,4,0,4,0,26,13
2011-04,Durham Constabulary,3,2,0,1,5,17,7
2011-04,Durham Constabulary,7,3,0,2,3,61,14
2011-04,Durham Constabulary,92,2,0,5,1,28,10
2011-04,Durham Constabulary,108,1,1,0,0,7,1
2011-04,Durham Constabulary,109,2,0,0,0,9,6
2011-04,Durham Constabulary,102,6,0,2,4,39,17
2011-04,Durham Constabulary,103,4,1,3,3,24,7
2011-04,Durham Constabulary,100,4,0,3,5,62,25
2011-04,Durham Constabulary,101,6,0,4,10,41,17
2011-04,Durham Constabulary,106,10,0,3,15,73,34
2011-04,Durham Constabulary,107,1,0,0,0,8,5
2011-04,Durham Constabulary,104,1,0,0,2,11,4
2011-04,Durham Constabulary,105,10,0,4,2,21,10
2011-04,Durham Constabulary,39,3,0,0,22,69,49
2011-04,Durham Constabulary,38,2,0,0,1,12,1
2011-04,Durham Constabulary,33,1,0,0,9,29,7
2011-04,Durham Constabulary,32,1,0,1,1,11,5
2011-04,Durham Constabulary,31,2,0,1,2,29,11
2011-04,Durham Constabulary,30,0,0,0,4,13,3
2011-04,Durham Constabulary,37,0,0,1,3,40,19
2011-04,Durham Constabulary,36,0,0,1,0,1,1
2011-04,Durham Constabulary,35,1,0,2,0,19,5
2011-04,Durham Constabulary,34,1,0,2,0,7,15
2011-04,Durham Constabulary,86,8,0,7,39,146,120
2011-04,Durham Constabulary,60,0,0,1,3,50,21
2011-04,Durham Constabulary,62,3,0,3,13,73,25
2011-04,Durham Constabulary,63,1,0,1,0,11,1
2011-04,Durham Constabulary,64,5,0,1,6,76,21
2011-04,Durham Constabulary,66,0,0,0,1,25,1
2011-04,Durham Constabulary,67,4,0,2,8,51,20
2011-04,Durham Constabulary,68,1,0,1,1,19,2
2011-04,Durham Constabulary,69,2,0,0,2,14,5
2011-04,Durham Constabulary,173,1,0,3,2,11,4
2011-04,Durham Constabulary,172,0,0,4,3,20,12
2011-04,Durham Constabulary,171,2,0,0,4,10,4
2011-04,Durham Constabulary,170,2,0,1,0,3,4
2011-04,Durham Constabulary,2,3,0,4,5,50,15
2011-04,Durham Constabulary,162,1,0,0,0,7,2
2011-04,Durham Constabulary,6,1,0,1,1,14,1
2011-04,Durham Constabulary,99,5,0,2,6,33,20
2011-04,Durham Constabulary,98,1,0,0,1,18,2
2011-04,Durham Constabulary,168,0,0,0,0,19,3
2011-04,Durham Constabulary,169,0,0,0,0,8,2
2011-04,Durham Constabulary,164,0,0,1,1,4,2
2011-04,Durham Constabulary,90,4,0,2,2,28,26
2011-04,Durham Constabulary,93,1,0,2,1,17,8
2011-04,Durham Constabulary,167,0,0,0,0,2,0
2011-04,Durham Constabulary,95,4,0,0,8,46,30
2011-04,Durham Constabulary,161,1,0,0,0,8,2
2011-04,Durham Constabulary,97,3,0,1,1,9,3
2011-04,Durham Constabulary,163,0,0,0,0,3,4
2011-04,Durham Constabulary,11,2,0,3,0,23,6
2011-04,Durham Constabulary,10,1,0,0,1,13,8
2011-04,Durham Constabulary,13,0,0,1,1,16,2
2011-04,Durham Constabulary,12,4,0,0,8,37,11
2011-04,Durham Constabulary,15,0,0,0,2,15,4
2011-04,Durham Constabulary,14,0,0,1,2,10,2
