Month,Force,Neighbourhood,Burglary,Robbery,Vehicle crime,Violent crime,Anti-social behaviour,Other crime
2011-04,Essex Police,133,7,0,17,19,51,35
2011-04,Essex Police,132,13,1,14,15,49,21
2011-04,Essex Police,131,10,1,4,12,23,11
2011-04,Essex Police,130,22,0,8,18,56,46
2011-04,Essex Police,137,15,1,4,36,125,83
2011-04,Essex Police,136,31,5,21,57,113,116
2011-04,Essex Police,135,10,0,5,9,31,35
2011-04,Essex Police,134,14,0,13,1,15,8
2011-04,Essex Police,139,9,0,7,13,52,23
2011-04,Essex Police,138,8,1,12,12,61,54
2011-04,Essex Police,24,6,0,4,10,37,27
2011-04,Essex Police,25,5,1,2,6,17,17
2011-04,Essex Police,26,4,0,14,10,55,34
2011-04,Essex Police,27,2,0,1,6,20,15
2011-04,Essex Police,20,1,0,2,2,10,14
2011-04,Essex Police,21,14,1,5,12,67,30
2011-04,Essex Police,22,8,0,5,11,54,22
2011-04,Essex Police,23,14,0,12,13,35,35
2011-04,Essex Police,28,3,0,2,3,13,11
2011-04,Essex Police,29,5,0,1,4,24,15
2011-04,Essex Police,4,3,0,3,4,24,10
2011-04,Essex Police,8,1,0,2,6,10,5
2011-04,Essex Police,119,6,1,9,6,26,8
2011-04,Essex Police,120,7,0,3,8,22,17
2011-04,Essex Police,121,13,0,14,7,39,40
2011-04,Essex Police,122,2,0,5,3,10,9
2011-04,Essex Police,123,9,1,10,24,68,62
2011-04,Essex Police,124,19,1,16,13,62,43
2011-04,Essex Police,125,13,0,8,7,42,32
2011-04,Essex Police,126,7,0,13,14,58,41
2011-04,Essex Police,127,12,0,20,12,35,30
2011-04,Essex Police,128,7,0,5,14,35,13
2011-04,Essex Police,129,20,0,19,14,69,54
2011-04,Essex Police,118,9,0,3,4,39,21
2011-04,Essex Police,59,0,0,0,0,7,6
2011-04,Essex Police,58,16,0,23,27,71,88
2011-04,Essex Police,55,1,0,0,2,12,7
2011-04,Essex Police,54,1,0,0,1,2,5
