Month,Force,Neighbourhood,Burglary,Robbery,Vehicle crime,Violent crime,Anti-social behaviour,Other crime
2011-04,Gloucestershire Constabulary,B4,28,2,29,23,180,67
2011-04,Gloucestershire Constabulary,A3,55,2,42,45,194,132
2011-04,Gloucestershire Constabulary,B3,43,1,22,31,210,86
2011-04,Gloucestershire Constabulary,C5,16,1,17,20,124,63
2011-04,Gloucestershire Constabulary,B1,51,6,59,77,250,214
2011-04,Gloucestershire Constabulary,A1,28,0,36,8,103,71
2011-04,Gloucestershire Constabulary,B5,23,0,19,19,147,62
2011-04,Gloucestershire Constabulary,B6,17,1,5,25,160,59
2011-04,Gloucestershire Constabulary,A2,37,0,26,62,146,181
2011-04,Gloucestershire Constabulary,A5,52,1,26,18,202,94
2011-04,Gloucestershire Constabulary,A4,45,1,27,17,77,75
2011-04,Gloucestershire Constabulary,A6,29,0,17,17,134,80
2011-04,Gloucestershire Constabulary,C2,26,1,9,27,166,113
2011-04,Gloucestershire Constabulary,C1,17,0,3,11,48,47
2011-04,Gloucestershire Constabulary,C6,14,1,17,16,91,76
2011-04,Gloucestershire Constabulary,B2B,20,0,31,26,155,72
2011-04,Gloucestershire Constabulary,B2A,24,3,49,26,163,102
2011-04,Gloucestershire Constabulary,C4,15,0,16,33,174,114
