Month,Force,Neighbourhood,Burglary,Robbery,Vehicle crime,Violent crime,Anti-social behaviour,Other crime
2011-04,North Yorkshire Police,harrogate-town,12,0,14,34,167,156
2011-04,North Yorkshire Police,richmond-and-catterick,9,0,4,24,142,61
2011-04,North Yorkshire Police,york-west,53,2,20,54,349,194
2011-04,North Yorkshire Police,ryedale,13,0,14,23,186,64
2011-04,North Yorkshire Police,the-dales,5,0,9,13,60,37
2011-04,North Yorkshire Police,york-city,13,0,6,56,241,162
2011-04,North Yorkshire Police,skipton-town,7,1,8,9,81,179
2011-04,North Yorkshire Police,thirsk-and-easingwold,13,0,5,16,145,51
2011-04,North Yorkshire Police,craven-rural,21,0,11,16,111,65
2011-04,North Yorkshire Police,york-east,72,6,14,49,319,210
2011-04,North Yorkshire Police,filey-and-eastfield,13,0,10,29,168,72
2011-04,North Yorkshire Police,harrogate-outer,31,2,23,37,264,122
2011-04,North Yorkshire Police,northallerton-and-stokesley,10,1,9,33,233,103
2011-04,North Yorkshire Police,selby-town,18,0,13,35,140,81
2011-04,North Yorkshire Police,whitby,12,0,9,21,133,60
2011-04,North Yorkshire Police,knaresborough-and-boroughbridge,18,0,9,13,113,65
2011-04,North Yorkshire Police,scarborough,22,1,14,78,502,231
2011-04,North Yorkshire Police,selby-rural,30,1,24,27,211,110
2011-04,North Yorkshire Police,york-rural,43,2,25,40,263,132
2011-04,North Yorkshire Police,ripon-and-pateley-bridge,15,0,8,22,146,77
