Month,Force,Neighbourhood,Burglary,Robbery,Vehicle crime,Violent crime,Anti-social behaviour,Other crime
2011-04,Nottinghamshire Police,31-197,1,0,0,1,8,7
2011-04,Nottinghamshire Police,31-196,1,0,1,5,7,3
2011-04,Nottinghamshire Police,31-191,6,0,5,8,31,26
2011-04,Nottinghamshire Police,31-80,0,0,0,0,0,0
2011-04,Nottinghamshire Police,31-82,3,0,2,5,26,30
2011-04,Nottinghamshire Police,31-83,8,1,8,12,77,32
2011-04,Nottinghamshire Police,31-84,4,2,2,6,18,15
2011-04,Nottinghamshire Police,31-85,9,0,4,6,42,34
2011-04,Nottinghamshire Police,31-86,0,0,1,3,9,13
2011-04,Nottinghamshire Police,31-87,2,0,1,6,16,6
2011-04,Nottinghamshire Police,31-88,1,0,7,2,28,13
2011-04,Nottinghamshire Police,31-89,2,0,1,6,32,19
2011-04,Nottinghamshire Police,31-108,7,0,3,19,52,31
2011-04,Nottinghamshire Police,31-109,5,2,2,9,49,25
2011-04,Nottinghamshire Police,31-100,5,0,8,9,29,33
2011-04,Nottinghamshire Police,31-101,7,0,7,11,20,13
2011-04,Nottinghamshire Police,31-102,4,0,2,26,37,68
2011-04,Nottinghamshire Police,31-103,3,0,9,2,20,19
2011-04,Nottinghamshire Police,31-104,7,0,12,17,44,40
2011-04,Nottinghamshire Police,31-105,3,0,0,9,25,16
2011-04,Nottinghamshire Police,31-106,3,0,5,1,15,15
2011-04,Nottinghamshire Police,31-107,5,0,2,7,41,23
2011-04,Nottinghamshire Police,31-112,6,1,10,6,27,28
2011-04,Nottinghamshire Police,31-117,4,1,4,13,67,40
2011-04,Nottinghamshire Police,31-116,4,2,6,4,44,42
2011-04,Nottinghamshire Police,31-115,3,0,4,8,21,22
2011-04,Nottinghamshire Police,31-114,16,0,14,5,20,43
2011-04,Nottinghamshire Police,31-113,3,0,0,5,13,19
2011-04,Nottinghamshire Police,31-78,11,0,10,13,37,39
2011-04,Nottinghamshire Police,31-111,8,0,1,7,37,33
2011-04,Nottinghamshire Police,31-110,7,0,3,10,30,24
2011-04,Nottinghamshire Police,31-75,2,0,0,4,16,15
2011-04,Nottinghamshire Police,31-119,4,1,0,2,15,20
2011-04,Nottinghamshire Police,31-118,0,0,2,5,11,8
2011-04,Nottinghamshire Police,31-214,1,1,1,3,8,5
2011-04,Nottinghamshire Police,31-216,3,1,5,2,14,11
2011-04,Nottinghamshire Police,31-217,6,0,7,3,12,9
2011-04,Nottinghamshire Police,31-210,6,1,7,4,21,10
2011-04,Nottinghamshire Police,31-213,4,1,0,3,16,27
2011-04,Nottinghamshire Police,31-218,5,0,2,4,13,13
2011-04,Nottinghamshire Police,31-219,3,1,3,3,21,9
2011-04,Nottinghamshire Police,31-162,6,2,3,11,57,30
2011-04,Nottinghamshire Police,31-160,5,2,7,11,50,17
2011-04,Nottinghamshire Police,31-161,5,2,1,13,48,21
2011-04,Nottinghamshire Police,31-166,16,0,3,12,84,52
2011-04,Nottinghamshire Police,31-68,1,0,4,7,24,15
2011-04,Nottinghamshire Police,31-69,4,0,3,6,13,14
2011-04,Nottinghamshire Police,31-66,1,1,3,8,17,18
2011-04,Nottinghamshire Police,31-67,7,0,10,15,49,40
2011-04,Nottinghamshire Police,31-65,0,0,0,0,0,0
2011-04,Nottinghamshire Police,31-61,20,0,8,14,58,44
2011-04,Nottinghamshire Police,31-202,4,0,2,7,45,18
2011-04,Nottinghamshire Police,31-200,7,3,10,12,56,48
2011-04,Nottinghamshire Police,31-206,3,1,3,5,17,30
2011-04,Nottinghamshire Police,31-204,4,0,2,9,19,18
2011-04,Nottinghamshire Police,31-265,3,1,3,2,15,8
2011-04,Nottinghamshire Police,31-264,11,1,9,3,33,18
2011-04,Nottinghamshire Police,31-267,5,0,13,13,71,54
2011-04,Nottinghamshire Police,31-266,4,0,1,6,19,8
2011-04,Nottinghamshire Police,31-261,10,0,2,8,22,21
2011-04,Nottinghamshire Police,31-260,4,0,1,10,39,24
2011-04,Nottinghamshire Police,31-262,0,0,2,3,11,4
2011-04,Nottinghamshire Police,31-7,2,0,2,2,9,9
2011-04,Nottinghamshire Police,31-269,7,0,3,6,24,13
2011-04,Nottinghamshire Police,31-6,15,0,5,18,39,23
2011-04,Nottinghamshire Police,31-268,3,0,2,11,51,15
2011-04,Nottinghamshire Police,31-171,4,0,3,6,18,13
2011-04,Nottinghamshire Police,31-173,2,0,5,9,17,23
2011-04,Nottinghamshire Police,31-172,1,2,5,3,26,12
2011-04,Nottinghamshire Police,31-177,4,0,1,2,4,10
2011-04,Nottinghamshire Police,31-179,3,0,2,9,23,10
2011-04,Nottinghamshire Police,31-52,8,0,4,6,43,29
2011-04,Nottinghamshire Police,31-51,2,0,5,11,69,31
2011-04,Nottinghamshire Police,31-56,0,1,6,11,28,23
2011-04,Nottinghamshire Police,31-55,6,1,1,5,32,19
2011-04,Nottinghamshire Police,31-54,4,0,12,7,28,28
2011-04,Nottinghamshire Police,31-250,1,0,3,7,15,18
2011-04,Nottinghamshire Police,31-251,1,0,3,1,17,22
2011-04,Nottinghamshire Police,31-252,1,0,3,6,40,19
2011-04,Nottinghamshire Police,31-253,7,0,8,9,85,30
2011-04,Nottinghamshire Police,31-254,3,0,1,3,11,4
2011-04,Nottinghamshire Police,31-255,7,0,1,5,29,15
2011-04,Nottinghamshire Police,31-256,3,0,0,3,17,8
2011-04,Nottinghamshire Police,31-258,0,0,0,0,0,0
2011-04,Nottinghamshire Police,31-259,6,0,3,5,43,15
2011-04,Nottinghamshire Police,31-44,4,0,3,7,33,21
2011-04,Nottinghamshire Police,31-46,6,0,3,24,76,35
2011-04,Nottinghamshire Police,31-47,16,0,4,22,65,70
2011-04,Nottinghamshire Police,31-40,3,0,1,2,22,17
2011-04,Nottinghamshire Police,31-43,4,1,4,6,27,25
2011-04,Nottinghamshire Police,31-148,11,0,17,3,6,30
2011-04,Nottinghamshire Police,31-149,3,0,3,5,42,24
2011-04,Nottinghamshire Police,31-144,5,2,13,16,100,60
2011-04,Nottinghamshire Police,31-145,2,6,2,49,114,156
2011-04,Nottinghamshire Police,31-146,1,1,5,21,60,120
2011-04,Nottinghamshire Police,31-147,1,1,4,2,17,16
2011-04,Nottinghamshire Police,31-140,1,2,1,15,46,16
2011-04,Nottinghamshire Police,31-141,3,0,16,7,8,11
2011-04,Nottinghamshire Police,31-142,10,3,4,8,18,19
2011-04,Nottinghamshire Police,31-143,1,2,2,20,34,114
2011-04,Nottinghamshire Police,31-249,5,4,0,0,8,2
2011-04,Nottinghamshire Police,31-248,2,0,7,5,31,27
2011-04,Nottinghamshire Police,31-247,10,0,7,10,69,36
2011-04,Nottinghamshire Police,31-246,1,0,3,0,15,1
2011-04,Nottinghamshire Police,31-245,6,1,2,5,33,27
2011-04,Nottinghamshire Police,31-244,4,0,4,9,15,13
2011-04,Nottinghamshire Police,31-243,3,0,2,2,16,22
2011-04,Nottinghamshire Police,31-242,4,1,1,1,13,7
2011-04,Nottinghamshire Police,31-241,1,0,2,3,14,7
2011-04,Nottinghamshire Police,31-240,3,0,2,1,19,7
2011-04,Nottinghamshire Police,31-30,12,0,2,16,66,48
2011-04,Nottinghamshire Police,31-33,1,0,0,1,12,6
2011-04,Nottinghamshire Police,31-32,0,0,3,2,8,1
2011-04,Nottinghamshire Police,31-34,2,0,6,3,10,13
2011-04,Nottinghamshire Police,31-36,1,0,1,2,2,0
2011-04,Nottinghamshire Police,31-159,3,0,5,5,28,12
2011-04,Nottinghamshire Police,31-158,2,1,0,5,48,26
2011-04,Nottinghamshire Police,31-153,4,0,2,1,15,34
2011-04,Nottinghamshire Police,31-152,11,1,4,17,73,27
2011-04,Nottinghamshire Police,31-151,10,1,3,15,62,43
2011-04,Nottinghamshire Police,31-150,4,3,6,10,57,34
2011-04,Nottinghamshire Police,31-157,1,2,1,4,18,13
2011-04,Nottinghamshire Police,31-156,6,0,1,10,33,29
2011-04,Nottinghamshire Police,31-155,3,1,6,5,40,22
2011-04,Nottinghamshire Police,31-154,5,1,2,1,10,4
2011-04,Nottinghamshire Police,31-53,7,1,2,11,44,24
2011-04,Nottinghamshire Police,31-178,6,1,0,4,9,13
2011-04,Nottinghamshire Police,31-238,0,1,4,3,15,12
