Month,Force,Neighbourhood,Burglary,Robbery,Vehicle crime,Violent crime,Anti-social behaviour,Other crime
2011-04,Surrey Police,EPEA,3,0,8,17,30,33
2011-04,Surrey Police,WVHG,2,0,2,1,19,20
2011-04,Surrey Police,SHSW,3,0,6,23,58,37
2011-04,Surrey Police,SHSP,0,0,2,3,13,8
2011-04,Surrey Police,ELCO,7,1,13,10,45,34
2011-04,Surrey Police,SHCT,5,0,1,14,38,30
2011-04,Surrey Police,MVAS,4,0,3,5,27,19
2011-04,Surrey Police,SPST,3,0,2,19,66,74
2011-04,Surrey Police,SPSU,5,0,11,10,83,45
2011-04,Surrey Police,RUEG,10,0,3,5,40,18
2011-04,Surrey Police,RBHW,15,0,5,9,41,10
2011-04,Surrey Police,SPSL,3,0,4,7,43,16
2011-04,Surrey Police,SPLS,8,0,9,9,53,31
2011-04,Surrey Police,SPSH,12,1,20,13,45,35
2011-04,Surrey Police,SHCB,5,0,7,3,27,15
2011-04,Surrey Police,RBHO,3,0,7,13,71,55
2011-04,Surrey Police,WVSC,5,0,2,7,31,15
2011-04,Surrey Police,SPSA,5,0,10,13,42,33
2011-04,Surrey Police,SPSC,3,0,4,14,39,43
2011-04,Surrey Police,ELHE,6,0,3,8,50,16
2011-04,Surrey Police,TNLD,6,0,13,12,19,18
2011-04,Surrey Police,MVRW,2,0,2,9,25,13
2011-04,Surrey Police,SHMD,4,0,2,6,52,24
2011-04,Surrey Police,RBRT,3,1,4,16,36,63
2011-04,Surrey Police,SHLI,3,0,2,7,15,10
2011-04,Surrey Police,WKSH,1,0,0,10,16,19
2011-04,Surrey Police,RUAT,4,0,5,19,66,31
2011-04,Surrey Police,RBWO,4,0,6,11,44,31
2011-04,Surrey Police,WKHO,4,2,0,2,35,18
2011-04,Surrey Police,RUVW,9,0,2,2,13,9
2011-04,Surrey Police,GDST,6,0,7,10,43,25
2011-04,Surrey Police,MVBF,0,0,3,10,33,14
2011-04,Surrey Police,RUAN,4,0,9,8,16,10
2011-04,Surrey Police,GDSR,28,0,8,4,52,35
2011-04,Surrey Police,GDAS,16,0,5,5,36,13
2011-04,Surrey Police,SPAA,4,0,9,18,45,22
2011-04,Surrey Police,GDAV,0,0,0,5,17,5
2011-04,Surrey Police,GDAW,2,0,4,12,47,20
2011-04,Surrey Police,RBRN,4,0,2,7,45,32
2011-04,Surrey Police,ELEC,12,0,6,7,38,17
2011-04,Surrey Police,WVBS,0,0,1,1,13,4
2011-04,Surrey Police,EPNW,4,0,4,8,35,14
2011-04,Surrey Police,RBRE,5,0,4,22,58,42
2011-04,Surrey Police,ELEM,3,0,3,11,28,30
2011-04,Surrey Police,GDPB,12,0,6,17,49,26
2011-04,Surrey Police,EPNO,7,0,9,14,28,25
2011-04,Surrey Police,GDPW,6,0,1,4,51,20
2011-04,Surrey Police,MVGC,1,0,3,12,29,8
2011-04,Surrey Police,WKOW,3,0,3,8,46,40
2011-04,Surrey Police,TNSB,0,0,3,5,19,11
2011-04,Surrey Police,WVSU,4,0,3,5,31,22
2011-04,Surrey Police,ELSW,5,1,5,10,36,30
2011-04,Surrey Police,EPWE,5,0,5,9,58,21
2011-04,Surrey Police,SHBW,11,0,3,5,26,25
2011-04,Surrey Police,WKNB,6,1,3,30,68,41
2011-04,Surrey Police,TNCV,2,0,2,8,27,22
2011-04,Surrey Police,WVCE,2,0,2,2,32,7
2011-04,Surrey Police,TNCH,2,1,9,12,59,20
2011-04,Surrey Police,RUCM,15,0,11,14,73,28
2011-04,Surrey Police,SHHP,1,0,1,4,35,18
2011-04,Surrey Police,WVTE,4,0,2,1,25,5
2011-04,Surrey Police,TNPW,2,0,4,9,20,28
2011-04,Surrey Police,RBTW,0,0,5,5,21,11
2011-04,Surrey Police,GDGT,10,3,7,53,167,141
2011-04,Surrey Police,RBCH,4,0,5,8,21,20
2011-04,Surrey Police,RUET,10,2,2,4,18,21
2011-04,Surrey Police,SPSS,6,1,4,6,54,24
2011-04,Surrey Police,RBTB,4,0,8,14,54,27
2011-04,Surrey Police,MVNL,3,0,1,18,24,14
2011-04,Surrey Police,WVDR,5,0,3,11,41,34
2011-04,Surrey Police,GDOU,19,0,4,9,40,47
2011-04,Surrey Police,WKMA,8,0,7,24,63,37
2011-04,Surrey Police,WVDA,1,0,1,2,9,4
2011-04,Surrey Police,WKMH,7,1,1,4,37,20
2011-04,Surrey Police,TNBN,4,0,2,2,16,15
2011-04,Surrey Police,WVMW,5,0,3,3,26,14
2011-04,Surrey Police,WKGP,0,0,6,11,41,21
2011-04,Surrey Police,RURT,10,0,1,5,39,23
2011-04,Surrey Police,WKWT,3,1,1,43,71,81
2011-04,Surrey Police,ELDH,8,0,6,7,43,31
2011-04,Surrey Police,RBSE,9,0,4,9,34,23
2011-04,Surrey Police,SPAT,5,0,2,10,43,29
2011-04,Surrey Police,TNOL,5,0,4,12,51,43
2011-04,Surrey Police,MVSL,1,0,2,9,31,26
2011-04,Surrey Police,MVRE,0,0,6,5,16,18
2011-04,Surrey Police,MVDT,6,0,5,16,46,47
2011-04,Surrey Police,EPCE,4,2,2,21,67,59
2011-04,Surrey Police,WVFT,2,0,3,10,35,38
2011-04,Surrey Police,GDEH,7,0,2,7,35,14
2011-04,Surrey Police,RUNH,11,0,5,8,27,12
2011-04,Surrey Police,WVFB,2,0,4,12,40,20
2011-04,Surrey Police,GDMB,9,1,18,13,112,62
2011-04,Surrey Police,RBNO,2,0,17,12,47,27
2011-04,Surrey Police,TNWE,5,0,4,4,21,26
2011-04,Surrey Police,ELNW,7,0,10,8,44,20
2011-04,Surrey Police,WVWB,5,0,5,6,18,21
2011-04,Surrey Police,TNWW,1,0,8,2,8,3
2011-04,Surrey Police,ELWM,11,0,12,16,77,38
2011-04,Surrey Police,SHOD,2,0,1,11,60,17
2011-04,Surrey Police,WVWT,6,0,7,9,49,27
2011-04,Surrey Police,ELWE,13,0,7,21,64,55
2011-04,Surrey Police,ELWC,8,1,9,10,59,46
2011-04,Surrey Police,EPSO,6,0,5,22,55,20
2011-04,Surrey Police,WKBP,13,0,8,12,46,39
2011-04,Surrey Police,RBME,6,0,5,21,63,17
2011-04,Surrey Police,TNGB,5,0,6,3,16,19
2011-04,Surrey Police,RUTH,14,1,10,23,47,56
2011-04,Surrey Police,SHFF,2,0,3,8,51,22
