Month,Force,Neighbourhood,Burglary,Robbery,Vehicle crime,Violent crime,Anti-social behaviour,Other crime
2011-05,Bedfordshire Police,30,2,0,1,1,25,4
2011-05,Bedfordshire Police,54,4,0,1,4,31,11
2011-05,Bedfordshire Police,42,0,0,0,1,10,1
2011-05,Bedfordshire Police,48,5,2,0,3,18,8
2011-05,Bedfordshire Police,43,0,0,4,5,20,10
2011-05,Bedfordshire Police,60,26,8,11,42,119,95
2011-05,Bedfordshire Police,19,4,0,4,7,35,21
2011-05,Bedfordshire Police,62,14,1,7,18,86,54
2011-05,Bedfordshire Police,63,3,0,1,3,19,8
2011-05,Bedfordshire Police,64,11,0,8,8,52,22
2011-05,Bedfordshire Police,53,4,0,5,4,20,22
2011-05,Bedfordshire Police,66,10,0,16,16,90,45
2011-05,Bedfordshire Police,67,14,1,21,38,106,87
2011-05,Bedfordshire Police,68,22,1,26,22,171,120
2011-05,Bedfordshire Police,69,17,2,14,8,60,55
2011-05,Bedfordshire Police,34,4,1,2,7,34,16
2011-05,Bedfordshire Police,24,13,3,10,14,39,25
2011-05,Bedfordshire Police,25,4,0,4,4,7,13
2011-05,Bedfordshire Police,26,2,0,0,3,10,10
2011-05,Bedfordshire Police,27,0,0,0,2,7,0
2011-05,Bedfordshire Police,20,3,0,4,2,15,8
2011-05,Bedfordshire Police,21,3,1,3,6,46,17
2011-05,Bedfordshire Police,22,12,7,4,28,63,28
2011-05,Bedfordshire Police,23,3,1,2,10,19,25
2011-05,Bedfordshire Police,46,11,0,1,8,39,18
2011-05,Bedfordshire Police,47,9,0,3,4,28,26
2011-05,Bedfordshire Police,44,5,1,1,5,21,4
2011-05,Bedfordshire Police,45,2,0,1,2,11,7
2011-05,Bedfordshire Police,28,3,0,3,4,19,11
2011-05,Bedfordshire Police,29,3,1,0,2,7,10
2011-05,Bedfordshire Police,40,1,0,3,2,27,15
2011-05,Bedfordshire Police,41,11,0,2,2,9,6
2011-05,Bedfordshire Police,49,7,1,6,3,26,22
2011-05,Bedfordshire Police,39,4,0,1,0,17,7
2011-05,Bedfordshire Police,65,58,7,76,110,389,275
2011-05,Bedfordshire Police,38,12,0,4,6,34,21
2011-05,Bedfordshire Police,70,24,1,14,27,107,57
2011-05,Bedfordshire Police,59,0,2,1,5,18,13
2011-05,Bedfordshire Police,58,3,0,1,14,60,22
2011-05,Bedfordshire Police,11,8,0,4,5,17,12
2011-05,Bedfordshire Police,10,11,6,6,48,115,196
2011-05,Bedfordshire Police,13,3,2,6,5,32,17
2011-05,Bedfordshire Police,12,17,1,7,23,40,50
2011-05,Bedfordshire Police,15,4,2,2,4,11,22
2011-05,Bedfordshire Police,14,5,0,3,8,31,43
2011-05,Bedfordshire Police,17,7,2,19,11,57,32
2011-05,Bedfordshire Police,16,4,0,4,8,53,23
2011-05,Bedfordshire Police,33,3,0,10,4,27,16
2011-05,Bedfordshire Police,18,8,1,5,14,37,4
2011-05,Bedfordshire Police,57,5,0,5,29,67,132
2011-05,Bedfordshire Police,56,7,0,6,8,29,13
2011-05,Bedfordshire Police,51,11,2,8,13,86,42
2011-05,Bedfordshire Police,36,4,4,16,18,48,22
2011-05,Bedfordshire Police,35,3,1,5,7,52,19
2011-05,Bedfordshire Police,52,4,0,0,13,40,16
2011-05,Bedfordshire Police,55,5,0,5,7,29,15
2011-05,Bedfordshire Police,37,6,0,6,6,25,11
2011-05,Bedfordshire Police,32,10,2,6,18,58,46
2011-05,Bedfordshire Police,61,6,0,3,8,43,16
2011-05,Bedfordshire Police,31,9,0,2,20,78,25
2011-05,Bedfordshire Police,50,4,1,1,11,49,36
