Month,Force,Neighbourhood,Burglary,Robbery,Vehicle crime,Violent crime,Anti-social behaviour,Other crime
2011-05,Cheshire Constabulary,N020,0,0,1,1,23,14
2011-05,Cheshire Constabulary,N033,8,1,5,7,34,37
2011-05,Cheshire Constabulary,N022,10,0,6,15,58,43
2011-05,Cheshire Constabulary,N023,17,0,12,12,82,32
2011-05,Cheshire Constabulary,N024,3,1,0,30,74,107
2011-05,Cheshire Constabulary,N025,11,0,15,10,72,54
2011-05,Cheshire Constabulary,N008,7,0,5,2,24,33
2011-05,Cheshire Constabulary,N021,15,0,11,7,78,63
2011-05,Cheshire Constabulary,N006,3,0,4,2,17,8
2011-05,Cheshire Constabulary,N007,5,1,2,17,66,53
2011-05,Cheshire Constabulary,N004,51,1,28,85,394,242
2011-05,Cheshire Constabulary,N005,5,0,1,2,25,15
2011-05,Cheshire Constabulary,N002,16,1,9,23,116,76
2011-05,Cheshire Constabulary,N003,7,0,7,7,50,44
2011-05,Cheshire Constabulary,N001,14,0,13,28,92,68
2011-05,Cheshire Constabulary,N048,10,0,5,5,33,35
2011-05,Cheshire Constabulary,N030,9,0,3,4,18,13
2011-05,Cheshire Constabulary,N043,15,0,5,17,73,36
2011-05,Cheshire Constabulary,N042,19,1,13,33,183,193
2011-05,Cheshire Constabulary,N051,22,2,20,43,223,147
2011-05,Cheshire Constabulary,N040,12,0,12,16,65,48
2011-05,Cheshire Constabulary,N041,8,1,4,3,40,22
2011-05,Cheshire Constabulary,N046,12,2,13,13,49,39
2011-05,Cheshire Constabulary,N047,24,0,11,4,53,51
2011-05,Cheshire Constabulary,N044,15,0,22,29,49,69
2011-05,Cheshire Constabulary,N045,10,0,11,11,27,31
2011-05,Cheshire Constabulary,N026,6,0,14,7,63,33
2011-05,Cheshire Constabulary,N050,10,0,17,13,38,27
2011-05,Cheshire Constabulary,N027,9,0,6,12,93,68
2011-05,Cheshire Constabulary,N028,4,0,1,7,35,21
2011-05,Cheshire Constabulary,N029,8,0,7,6,50,36
2011-05,Cheshire Constabulary,N009,4,0,6,10,39,29
2011-05,Cheshire Constabulary,N013,7,1,4,25,100,88
2011-05,Cheshire Constabulary,N032,13,0,8,10,33,21
2011-05,Cheshire Constabulary,N019,11,0,15,11,49,41
2011-05,Cheshire Constabulary,N018,10,0,9,4,50,46
2011-05,Cheshire Constabulary,N031,8,2,5,8,20,17
2011-05,Cheshire Constabulary,N038,20,1,11,47,143,116
2011-05,Cheshire Constabulary,N037,41,1,28,43,208,116
2011-05,Cheshire Constabulary,N036,15,0,20,11,93,45
2011-05,Cheshire Constabulary,N035,4,0,9,4,5,9
2011-05,Cheshire Constabulary,N034,6,2,6,16,65,61
2011-05,Cheshire Constabulary,N011,5,2,0,4,37,17
2011-05,Cheshire Constabulary,N010,4,0,1,9,33,30
2011-05,Cheshire Constabulary,N039,8,0,9,6,25,15
2011-05,Cheshire Constabulary,N012,2,0,1,4,23,11
2011-05,Cheshire Constabulary,N015,2,0,4,4,27,15
2011-05,Cheshire Constabulary,N014,4,0,3,10,44,34
2011-05,Cheshire Constabulary,N017,6,1,2,6,31,28
2011-05,Cheshire Constabulary,N016,6,0,3,4,13,22
2011-05,Cheshire Constabulary,N052,29,2,15,27,164,113
2011-05,Cheshire Constabulary,N049,30,2,33,80,278,208
