Month,Force,Neighbourhood,Burglary,Robbery,Vehicle crime,Violent crime,Anti-social behaviour,Other crime
2011-05,Greater Manchester Police,Q1,108,16,60,160,545,415
2011-05,Greater Manchester Police,Q2,105,19,115,112,540,362
2011-05,Greater Manchester Police,K3,77,6,75,93,459,265
2011-05,Greater Manchester Police,K2,94,4,82,108,604,375
2011-05,Greater Manchester Police,K1,69,5,39,124,368,345
2011-05,Greater Manchester Police,M1,49,10,66,102,383,391
2011-05,Greater Manchester Police,M2,90,15,64,64,320,295
2011-05,Greater Manchester Police,G2,145,18,56,113,546,352
2011-05,Greater Manchester Police,G1,112,15,79,166,525,454
2011-05,Greater Manchester Police,I1,0,0,3,27,43,38
2011-05,Greater Manchester Police,A1,68,32,84,165,343,739
2011-05,Greater Manchester Police,A3,97,18,65,134,485,373
2011-05,Greater Manchester Police,A2,122,21,120,138,574,453
2011-05,Greater Manchester Police,E4,84,10,53,125,353,341
2011-05,Greater Manchester Police,E1,70,43,55,145,386,400
2011-05,Greater Manchester Police,E3,106,12,54,64,273,269
2011-05,Greater Manchester Police,E2,100,8,42,84,284,242
2011-05,Greater Manchester Police,P2,87,3,47,83,397,271
2011-05,Greater Manchester Police,P3,72,7,49,101,402,309
2011-05,Greater Manchester Police,P1,56,15,40,114,322,247
2011-05,Greater Manchester Police,L2,114,4,131,142,802,468
2011-05,Greater Manchester Police,L1,122,4,66,117,594,429
2011-05,Greater Manchester Police,N1,64,2,62,99,323,318
2011-05,Greater Manchester Police,N2,74,5,111,97,371,255
2011-05,Greater Manchester Police,F1,165,18,104,177,540,517
2011-05,Greater Manchester Police,F2,93,18,121,115,441,370
2011-05,Greater Manchester Police,J1,61,9,77,103,310,303
2011-05,Greater Manchester Police,J2,103,8,47,94,263,234
2011-05,Greater Manchester Police,J3,112,9,71,63,332,280
