Month,Force,Neighbourhood,Burglary,Robbery,Vehicle crime,Violent crime,Anti-social behaviour,Other crime
2011-05,Gwent Police,GB83,4,0,3,3,29,15
2011-05,Gwent Police,GB82,5,0,2,4,25,29
2011-05,Gwent Police,GB81,8,0,22,16,53,26
2011-05,Gwent Police,MM88,0,0,0,1,7,4
2011-05,Gwent Police,MM89,0,0,1,0,1,1
2011-05,Gwent Police,CP84,1,0,4,5,46,20
2011-05,Gwent Police,CP81,12,0,13,7,45,27
2011-05,Gwent Police,CP83,8,0,5,10,52,26
2011-05,Gwent Police,CP82,9,0,18,9,40,35
2011-05,Gwent Police,CG82,5,0,1,1,12,7
2011-05,Gwent Police,CG83,4,0,1,1,18,8
2011-05,Gwent Police,CG81,7,0,5,6,34,18
2011-05,Gwent Police,GT81,12,0,2,18,62,39
2011-05,Gwent Police,GT83,6,0,0,2,18,6
2011-05,Gwent Police,CG85,2,0,1,4,17,11
2011-05,Gwent Police,NM83,4,0,11,3,65,22
2011-05,Gwent Police,NM82,12,0,14,9,46,25
2011-05,Gwent Police,NM81,14,2,13,18,68,49
2011-05,Gwent Police,NM84,4,0,12,11,79,67
2011-05,Gwent Police,GE84,0,0,0,1,11,9
2011-05,Gwent Police,GE85,1,0,2,0,13,6
2011-05,Gwent Police,GE86,2,0,2,4,8,9
2011-05,Gwent Police,GE81,6,0,6,13,45,34
2011-05,Gwent Police,GE82,2,0,2,9,37,28
2011-05,Gwent Police,GE83,2,0,1,3,3,16
2011-05,Gwent Police,MH83,0,0,0,1,7,1
2011-05,Gwent Police,MH82,0,0,0,0,3,3
2011-05,Gwent Police,GA81,9,0,2,15,50,48
2011-05,Gwent Police,GA82,4,0,4,3,19,12
2011-05,Gwent Police,GA83,1,0,0,3,8,5
2011-05,Gwent Police,GA84,4,0,0,6,21,14
2011-05,Gwent Police,CY86,1,0,1,10,31,16
2011-05,Gwent Police,CC86,7,0,0,1,29,3
2011-05,Gwent Police,CC85,1,0,2,0,7,9
2011-05,Gwent Police,CC82,8,0,0,0,11,8
2011-05,Gwent Police,CC83,10,0,5,2,33,25
2011-05,Gwent Police,CC81,11,0,6,14,70,43
2011-05,Gwent Police,CY81,3,0,1,8,33,23
2011-05,Gwent Police,CY82,0,0,0,1,9,2
2011-05,Gwent Police,CY83,0,0,0,0,0,0
2011-05,Gwent Police,MM87,0,0,1,0,2,5
2011-05,Gwent Police,MA88,0,0,0,0,2,1
2011-05,Gwent Police,MM85,2,0,0,0,2,1
2011-05,Gwent Police,MM82,0,0,2,0,5,3
2011-05,Gwent Police,MM83,2,0,1,1,23,2
2011-05,Gwent Police,MM81,5,0,1,6,15,9
2011-05,Gwent Police,MA82,1,0,1,0,5,3
2011-05,Gwent Police,MA83,2,0,0,8,28,22
2011-05,Gwent Police,MA81,3,0,2,6,27,15
2011-05,Gwent Police,MA86,1,0,2,2,3,9
2011-05,Gwent Police,MA87,3,0,0,1,4,4
2011-05,Gwent Police,MA84,2,0,0,2,12,2
2011-05,Gwent Police,MA85,3,0,0,2,19,6
2011-05,Gwent Police,CR87,8,0,2,2,10,12
2011-05,Gwent Police,CR86,2,0,1,6,24,11
2011-05,Gwent Police,CR85,7,0,2,3,32,16
2011-05,Gwent Police,CR84,9,0,7,2,32,13
2011-05,Gwent Police,CR83,6,0,3,1,17,10
2011-05,Gwent Police,CR82,9,0,4,6,40,13
2011-05,Gwent Police,CR81,4,0,5,7,22,28
2011-05,Gwent Police,MA91,2,0,2,3,12,8
2011-05,Gwent Police,MA90,1,0,2,0,18,10
2011-05,Gwent Police,MA93,6,0,1,0,2,0
2011-05,Gwent Police,MA92,1,0,2,0,5,0
2011-05,Gwent Police,MM91,0,0,0,1,3,1
2011-05,Gwent Police,MM90,0,0,2,0,1,2
2011-05,Gwent Police,MM93,0,0,1,0,1,2
2011-05,Gwent Police,MM92,1,0,0,0,3,4
2011-05,Gwent Police,NL82,3,0,4,6,48,35
2011-05,Gwent Police,NL83,3,0,3,4,21,14
2011-05,Gwent Police,NL81,16,0,5,10,62,59
2011-05,Gwent Police,MC89,0,0,1,1,16,3
2011-05,Gwent Police,CD81,9,0,6,12,58,33
2011-05,Gwent Police,CD82,10,0,11,6,33,31
2011-05,Gwent Police,MC81,0,0,0,2,11,9
2011-05,Gwent Police,CH85,4,0,1,12,50,14
2011-05,Gwent Police,CH84,5,0,0,0,4,4
2011-05,Gwent Police,CH81,4,0,6,1,19,16
2011-05,Gwent Police,CH83,1,0,5,2,22,3
2011-05,Gwent Police,CH82,4,2,2,3,22,15
2011-05,Gwent Police,MH88,1,0,0,0,2,3
2011-05,Gwent Police,CY84,2,0,3,3,21,19
