Month,Force,Neighbourhood,Burglary,Robbery,Vehicle crime,Violent crime,Anti-social behaviour,Other crime
2011-05,Humberside Police,30,17,0,9,7,15,37
2011-05,Humberside Police,54,22,0,4,4,27,70
2011-05,Humberside Police,37,0,0,1,7,9,14
2011-05,Humberside Police,48,51,8,50,137,158,349
2011-05,Humberside Police,67,22,3,9,25,49,74
2011-05,Humberside Police,29,10,0,9,2,12,16
2011-05,Humberside Police,60,6,0,2,9,21,32
2011-05,Humberside Police,61,25,0,19,2,12,23
2011-05,Humberside Police,62,11,0,16,6,27,51
2011-05,Humberside Police,63,26,2,17,28,70,85
2011-05,Humberside Police,64,10,1,5,11,24,28
2011-05,Humberside Police,53,11,0,8,10,30,33
2011-05,Humberside Police,66,20,0,8,18,40,85
2011-05,Humberside Police,69,27,1,20,16,22,41
2011-05,Humberside Police,68,16,0,5,6,25,21
2011-05,Humberside Police,83,19,0,2,12,19,26
2011-05,Humberside Police,80,17,2,16,13,57,62
2011-05,Humberside Police,81,4,0,20,3,11,24
2011-05,Humberside Police,24,11,0,5,20,30,44
2011-05,Humberside Police,25,0,0,5,15,47,41
2011-05,Humberside Police,26,8,0,10,20,29,41
2011-05,Humberside Police,27,7,0,8,16,16,33
2011-05,Humberside Police,20,7,0,2,3,24,19
2011-05,Humberside Police,21,5,0,3,1,8,12
2011-05,Humberside Police,22,21,0,1,10,26,29
2011-05,Humberside Police,23,15,0,3,9,16,18
2011-05,Humberside Police,46,40,2,13,21,44,75
2011-05,Humberside Police,47,34,3,21,29,51,67
2011-05,Humberside Police,44,5,0,0,24,31,43
2011-05,Humberside Police,45,16,0,4,8,26,46
2011-05,Humberside Police,42,8,0,2,8,15,26
2011-05,Humberside Police,43,9,0,2,7,15,14
2011-05,Humberside Police,40,3,0,3,11,31,29
2011-05,Humberside Police,41,13,0,7,43,36,52
2011-05,Humberside Police,1,6,0,6,4,49,63
2011-05,Humberside Police,82,2,0,7,1,12,29
2011-05,Humberside Police,2,26,6,10,49,69,193
2011-05,Humberside Police,5,3,0,2,8,12,25
2011-05,Humberside Police,4,7,0,3,9,6,10
2011-05,Humberside Police,36,12,0,8,7,13,35
2011-05,Humberside Police,6,27,3,7,37,83,105
2011-05,Humberside Police,9,10,0,5,9,21,24
2011-05,Humberside Police,8,9,0,3,10,38,53
2011-05,Humberside Police,78,24,3,17,45,86,117
2011-05,Humberside Police,28,17,0,12,55,83,117
2011-05,Humberside Police,49,51,8,50,137,158,349
2011-05,Humberside Police,7,15,2,4,41,63,113
2011-05,Humberside Police,39,9,0,0,5,21,33
2011-05,Humberside Police,57,24,0,16,23,50,121
2011-05,Humberside Police,34,8,0,8,8,17,34
2011-05,Humberside Police,77,16,0,10,21,61,99
2011-05,Humberside Police,76,8,0,1,3,18,29
2011-05,Humberside Police,75,17,0,2,10,23,45
2011-05,Humberside Police,74,33,3,12,9,51,61
2011-05,Humberside Police,73,21,0,2,12,65,87
2011-05,Humberside Police,72,3,0,1,0,14,11
2011-05,Humberside Police,71,2,0,1,1,9,9
2011-05,Humberside Police,70,14,0,1,5,18,23
2011-05,Humberside Police,15,4,0,3,3,24,17
2011-05,Humberside Police,79,16,0,9,20,39,61
2011-05,Humberside Police,58,9,1,6,28,38,26
2011-05,Humberside Police,11,18,0,12,20,34,75
2011-05,Humberside Police,10,15,0,3,13,63,75
2011-05,Humberside Police,13,3,0,3,7,28,63
2011-05,Humberside Police,38,5,0,1,12,19,22
2011-05,Humberside Police,59,11,0,6,20,25,38
2011-05,Humberside Police,14,6,0,4,3,17,35
2011-05,Humberside Police,17,13,0,2,9,37,35
2011-05,Humberside Police,16,1,0,3,0,6,5
2011-05,Humberside Police,19,9,0,0,2,25,10
2011-05,Humberside Police,32,17,1,12,16,35,39
2011-05,Humberside Police,31,4,0,4,9,17,22
2011-05,Humberside Police,56,11,0,4,9,22,49
2011-05,Humberside Police,51,23,0,5,10,36,41
2011-05,Humberside Police,50,26,1,18,25,63,103
2011-05,Humberside Police,35,5,0,14,4,12,28
2011-05,Humberside Police,52,16,0,2,14,50,55
2011-05,Humberside Police,55,14,1,8,12,27,38
2011-05,Humberside Police,18,11,0,2,5,11,22
2011-05,Humberside Police,12,8,0,7,11,31,65
2011-05,Humberside Police,33,4,0,1,3,7,22
2011-05,Humberside Police,65,14,0,15,12,21,28
