Month,Force,Neighbourhood,Burglary,Robbery,Vehicle crime,Violent crime,Anti-social behaviour,Other crime
2011-05,Metropolitan Police,00ASHD,15,15,18,21,61,60
2011-05,Metropolitan Police,00ASHE,27,3,17,22,83,58
2011-05,Metropolitan Police,00ASHB,18,3,5,14,65,25
2011-05,Metropolitan Police,00ASHC,11,0,4,12,56,36
2011-05,Metropolitan Police,00ASHA,32,3,15,47,81,89
2011-05,Metropolitan Police,00ANGH,24,2,16,10,39,25
2011-05,Metropolitan Police,00APGU,15,11,15,23,92,51
2011-05,Metropolitan Police,00BDGE,18,0,6,6,22,34
2011-05,Metropolitan Police,00BFGR,9,1,5,5,20,25
2011-05,Metropolitan Police,00ALHA,12,8,17,19,56,44
2011-05,Metropolitan Police,00ALHC,12,8,11,37,76,64
2011-05,Metropolitan Police,00ALHB,10,1,30,31,90,101
2011-05,Metropolitan Police,00ALHE,20,6,18,51,93,66
2011-05,Metropolitan Police,00ALHD,16,7,23,36,116,57
2011-05,Metropolitan Police,00ALHG,5,4,12,26,105,56
2011-05,Metropolitan Police,00ALHF,14,10,7,41,111,118
2011-05,Metropolitan Police,00BFGP,5,1,9,5,22,19
2011-05,Metropolitan Police,00BFGW,4,2,5,7,36,22
2011-05,Metropolitan Police,00BDGC,11,1,10,8,51,32
2011-05,Metropolitan Police,00BDGB,8,0,18,10,32,26
2011-05,Metropolitan Police,00ADGU,0,2,3,6,9,16
2011-05,Metropolitan Police,00BGFY,19,3,25,28,78,82
2011-05,Metropolitan Police,00BGFX,17,9,15,43,164,98
2011-05,Metropolitan Police,00BGFZ,7,7,15,32,105,31
2011-05,Metropolitan Police,00BHFZ,24,10,34,25,58,50
2011-05,Metropolitan Police,00BHFX,11,2,35,25,74,41
2011-05,Metropolitan Police,00BHFY,11,0,20,23,63,35
2011-05,Metropolitan Police,00BGFW,15,11,15,29,111,81
2011-05,Metropolitan Police,00BFGF,17,1,9,11,21,38
2011-05,Metropolitan Police,00BBGG,13,17,21,26,108,87
2011-05,Metropolitan Police,00BBGF,16,10,46,24,57,80
2011-05,Metropolitan Police,00BBGE,19,7,50,20,92,47
2011-05,Metropolitan Police,00BBGD,21,11,28,29,114,60
2011-05,Metropolitan Police,00BBGC,10,16,25,28,88,48
2011-05,Metropolitan Police,00BBGB,16,4,60,27,133,90
2011-05,Metropolitan Police,00BBGN,6,10,24,30,56,42
2011-05,Metropolitan Police,00BBGM,9,7,15,23,73,57
2011-05,Metropolitan Police,00BBGL,20,15,38,47,172,75
2011-05,Metropolitan Police,00BBGK,13,11,29,28,75,50
2011-05,Metropolitan Police,00BBGJ,14,12,31,28,67,35
2011-05,Metropolitan Police,00BBGH,9,6,11,16,49,28
2011-05,Metropolitan Police,00BBGW,15,6,18,23,65,33
2011-05,Metropolitan Police,00AKHG,18,3,33,29,121,101
2011-05,Metropolitan Police,00BBGU,23,24,35,64,181,172
2011-05,Metropolitan Police,00BBGT,20,2,20,17,101,47
2011-05,Metropolitan Police,00BBGS,11,15,28,29,125,53
2011-05,Metropolitan Police,00BBGR,8,22,20,28,85,42
2011-05,Metropolitan Police,00BBGQ,13,9,28,25,90,41
2011-05,Metropolitan Police,00BBGP,13,19,20,33,107,54
2011-05,Metropolitan Police,00AKHH,19,4,12,4,39,37
2011-05,Metropolitan Police,00BBGX,12,16,6,33,84,48
2011-05,Metropolitan Police,00AFGZ,14,2,10,24,47,21
2011-05,Metropolitan Police,00AFGX,20,5,17,49,105,66
2011-05,Metropolitan Police,00AFGY,9,1,12,4,15,20
2011-05,Metropolitan Police,00AFGW,18,2,9,25,61,53
2011-05,Metropolitan Police,00AFGT,8,3,12,26,55,57
2011-05,Metropolitan Police,00AFGU,15,2,11,21,40,40
2011-05,Metropolitan Police,00AFGR,4,0,5,12,52,30
2011-05,Metropolitan Police,00AFGS,8,1,10,10,33,15
2011-05,Metropolitan Police,00AFGP,16,5,13,17,86,33
2011-05,Metropolitan Police,00AFGQ,5,0,1,7,15,9
2011-05,Metropolitan Police,00AFGN,23,3,7,27,80,66
2011-05,Metropolitan Police,00AFGL,8,2,13,21,42,49
2011-05,Metropolitan Police,00AFGM,27,3,18,21,77,84
2011-05,Metropolitan Police,00AFGJ,12,1,13,18,48,57
2011-05,Metropolitan Police,00AFGK,12,4,14,19,35,31
2011-05,Metropolitan Police,00AFGH,16,0,9,3,25,52
2011-05,Metropolitan Police,00AFGF,4,0,10,30,58,28
2011-05,Metropolitan Police,00AFGG,18,7,12,38,79,152
2011-05,Metropolitan Police,00AFGD,8,2,9,12,32,33
2011-05,Metropolitan Police,00AFGE,1,0,4,7,42,18
2011-05,Metropolitan Police,00BAFZ,9,1,9,9,42,64
2011-05,Metropolitan Police,00BAFY,2,2,3,5,15,27
2011-05,Metropolitan Police,00BAFX,21,5,5,13,50,30
2011-05,Metropolitan Police,00ATGP,8,0,13,39,63,59
2011-05,Metropolitan Police,00AMGA,18,4,13,25,54,37
2011-05,Metropolitan Police,00AMGC,10,10,14,39,128,70
2011-05,Metropolitan Police,00AMGB,7,5,13,21,24,24
2011-05,Metropolitan Police,00AMGE,17,10,12,45,87,168
2011-05,Metropolitan Police,00AMGD,6,0,14,21,63,56
2011-05,Metropolitan Police,00AMGG,6,3,14,26,111,104
2011-05,Metropolitan Police,00AMGF,9,6,9,22,99,48
2011-05,Metropolitan Police,00AMGH,8,8,12,24,63,41
2011-05,Metropolitan Police,00AMGK,27,16,12,20,83,73
2011-05,Metropolitan Police,00AMGJ,35,11,17,39,119,340
2011-05,Metropolitan Police,00AMGM,7,13,21,19,69,47
2011-05,Metropolitan Police,00AMGL,4,1,14,17,60,21
2011-05,Metropolitan Police,00AMGN,9,4,15,12,65,41
2011-05,Metropolitan Police,00AMGQ,9,8,6,23,82,114
2011-05,Metropolitan Police,00AMGP,5,1,6,20,54,31
2011-05,Metropolitan Police,00AMGS,11,9,13,20,51,63
2011-05,Metropolitan Police,00AMGR,2,2,14,14,53,38
2011-05,Metropolitan Police,00AMGU,5,5,19,24,50,51
2011-05,Metropolitan Police,00AMGT,12,8,16,29,61,68
2011-05,Metropolitan Police,00ATFY,14,1,20,26,68,61
2011-05,Metropolitan Police,00BKGB,13,2,5,6,65,45
2011-05,Metropolitan Police,00AJGR,9,5,13,25,26,45
2011-05,Metropolitan Police,00AJGS,13,9,17,22,67,73
2011-05,Metropolitan Police,00AJGP,14,3,24,15,61,33
2011-05,Metropolitan Police,00AJGQ,12,4,15,8,26,43
2011-05,Metropolitan Police,00AJGW,29,2,21,16,53,65
2011-05,Metropolitan Police,00AJGT,15,4,39,21,99,82
2011-05,Metropolitan Police,00AJGU,6,5,20,47,109,72
2011-05,Metropolitan Police,00AJGZ,4,6,18,41,91,58
2011-05,Metropolitan Police,00AJGX,14,6,24,43,92,86
2011-05,Metropolitan Police,00AJGY,12,8,17,46,138,86
2011-05,Metropolitan Police,00AJGC,12,3,18,37,114,73
2011-05,Metropolitan Police,00AJGF,11,5,12,35,118,133
2011-05,Metropolitan Police,00AJGG,20,4,9,20,61,77
2011-05,Metropolitan Police,00AJGD,14,2,20,23,35,38
2011-05,Metropolitan Police,00AJGE,15,10,24,33,62,41
2011-05,Metropolitan Police,00AJGJ,15,6,16,40,128,78
2011-05,Metropolitan Police,00AJGK,15,6,23,43,116,83
2011-05,Metropolitan Police,00AJGH,20,9,55,42,91,107
2011-05,Metropolitan Police,00BCGA,16,3,6,8,48,25
2011-05,Metropolitan Police,00AJGN,18,3,12,23,60,31
2011-05,Metropolitan Police,00AJGL,16,5,24,18,50,40
2011-05,Metropolitan Police,00AJGM,14,1,21,10,39,33
2011-05,Metropolitan Police,00AHGT,11,4,9,20,42,44
2011-05,Metropolitan Police,00ANGG,9,2,28,51,118,145
2011-05,Metropolitan Police,00AHGW,30,14,16,38,143,84
2011-05,Metropolitan Police,00AHGP,9,2,16,12,42,41
2011-05,Metropolitan Police,00AHGQ,7,3,11,16,34,29
2011-05,Metropolitan Police,00AEHA,22,9,35,40,127,94
2011-05,Metropolitan Police,00AEHB,14,15,9,26,76,43
2011-05,Metropolitan Police,00AEHC,13,10,21,43,63,95
2011-05,Metropolitan Police,00AEHD,17,16,4,25,88,38
2011-05,Metropolitan Police,00AEHE,14,14,10,42,107,89
2011-05,Metropolitan Police,00AEHF,20,4,12,42,110,65
2011-05,Metropolitan Police,00ATFZ,12,7,13,17,70,58
2011-05,Metropolitan Police,00AWGR,7,2,11,14,72,67
2011-05,Metropolitan Police,00AWGQ,20,8,12,24,62,35
2011-05,Metropolitan Police,00AWGP,5,1,9,9,28,67
2011-05,Metropolitan Police,00AHGX,7,1,4,6,31,11
2011-05,Metropolitan Police,00ANGK,7,4,27,12,31,25
2011-05,Metropolitan Police,00AWGG,9,4,13,13,40,69
2011-05,Metropolitan Police,00AWGF,7,5,8,33,51,58
2011-05,Metropolitan Police,00AWGE,9,2,15,18,51,53
2011-05,Metropolitan Police,00AWGD,13,2,12,19,28,47
2011-05,Metropolitan Police,00AWGC,19,2,10,4,32,67
2011-05,Metropolitan Police,00AWGB,10,4,6,25,64,91
2011-05,Metropolitan Police,00AWGA,7,4,11,8,24,80
2011-05,Metropolitan Police,00AWGN,7,2,5,9,15,38
2011-05,Metropolitan Police,00AWGM,8,1,12,8,35,59
2011-05,Metropolitan Police,00AWGL,8,1,6,16,32,76
2011-05,Metropolitan Police,00AWGK,8,4,10,27,77,37
2011-05,Metropolitan Police,00AWGJ,16,6,17,12,34,40
2011-05,Metropolitan Police,00BJGN,9,0,20,17,45,62
2011-05,Metropolitan Police,00AWGH,11,5,22,10,27,63
2011-05,Metropolitan Police,00AYGU,17,9,14,34,91,52
