Month,Force,Neighbourhood,Burglary,Robbery,Vehicle crime,Violent crime,Anti-social behaviour,Other crime
2011-05,North Wales Police,GSW08,1,0,0,0,0,1
2011-05,North Wales Police,GSW09,0,0,3,0,1,2
2011-05,North Wales Police,FSW14,0,0,0,0,0,0
2011-05,North Wales Police,YMW19,1,0,0,0,4,2
2011-05,North Wales Police,YMW18,0,0,0,1,3,1
2011-05,North Wales Police,YMW17,0,0,0,1,3,1
2011-05,North Wales Police,GSW01,0,0,0,1,4,2
2011-05,North Wales Police,GSW02,2,0,0,0,1,2
2011-05,North Wales Police,YMW14,1,0,0,0,4,3
2011-05,North Wales Police,YMW13,2,0,0,0,8,6
2011-05,North Wales Police,GSW05,0,0,0,0,2,1
2011-05,North Wales Police,GSW06,0,0,0,3,1,1
2011-05,North Wales Police,GSW07,0,0,0,1,2,2
2011-05,North Wales Police,CRW18,0,0,0,0,0,0
2011-05,North Wales Police,CRW19,0,0,0,0,0,1
2011-05,North Wales Police,CRW14,9,0,1,3,20,14
2011-05,North Wales Police,CRW15,0,0,1,0,5,0
2011-05,North Wales Police,CRW16,1,0,0,1,6,3
2011-05,North Wales Police,CRW17,0,0,0,1,0,0
2011-05,North Wales Police,CRW10,1,0,0,0,2,0
2011-05,North Wales Police,CRW11,1,0,3,8,23,9
2011-05,North Wales Police,CRW12,0,0,0,0,2,1
2011-05,North Wales Police,CRW13,1,0,0,1,5,10
2011-05,North Wales Police,YMW31,0,0,0,0,1,1
2011-05,North Wales Police,YMW16,0,0,0,1,5,3
2011-05,North Wales Police,YMW15,2,0,0,7,9,4
2011-05,North Wales Police,YMW08,0,0,0,2,3,6
2011-05,North Wales Police,YMW09,1,0,0,0,9,7
2011-05,North Wales Police,GSW03,0,0,3,0,0,2
2011-05,North Wales Police,WCW06,4,0,2,8,20,30
2011-05,North Wales Police,GSW04,1,0,0,1,9,1
2011-05,North Wales Police,YMW02,0,0,0,3,20,6
2011-05,North Wales Police,YMW03,2,0,0,7,25,20
2011-05,North Wales Police,YMW04,3,0,1,2,12,1
2011-05,North Wales Police,YMW05,1,0,1,7,13,19
2011-05,North Wales Police,YMW06,0,0,0,1,8,13
2011-05,North Wales Police,YMW07,0,0,1,3,6,5
2011-05,North Wales Police,GNW25,0,0,0,0,0,0
2011-05,North Wales Police,GNW24,1,0,0,1,1,3
2011-05,North Wales Police,GNW27,1,0,1,2,2,1
2011-05,North Wales Police,GNW26,1,0,0,0,3,3
2011-05,North Wales Police,GNW21,1,0,5,12,14,7
2011-05,North Wales Police,GNW20,6,0,2,5,8,17
2011-05,North Wales Police,GNW23,1,0,1,0,0,3
2011-05,North Wales Police,GNW22,3,1,0,13,29,20
2011-05,North Wales Police,YMW10,0,0,1,0,14,5
2011-05,North Wales Police,GNW29,2,0,0,2,0,3
2011-05,North Wales Police,GNW28,0,0,0,0,0,0
2011-05,North Wales Police,GNW14,1,0,0,1,3,5
2011-05,North Wales Police,WXW05,0,0,2,1,11,3
2011-05,North Wales Police,WXW04,1,0,1,1,7,13
2011-05,North Wales Police,WXW07,4,0,1,13,32,18
2011-05,North Wales Police,WXW06,3,0,1,5,10,19
2011-05,North Wales Police,WXW01,2,0,1,2,13,14
2011-05,North Wales Police,WXW03,4,0,0,12,19,8
2011-05,North Wales Police,WXW02,7,0,1,24,41,53
2011-05,North Wales Police,WXW09,1,0,0,5,20,15
2011-05,North Wales Police,WXW08,4,0,3,6,24,23
2011-05,North Wales Police,YMW33,0,0,0,0,2,1
2011-05,North Wales Police,GNW18,0,0,0,0,7,3
2011-05,North Wales Police,GNW15,2,0,0,0,3,3
2011-05,North Wales Police,WRW20,3,0,1,0,10,10
2011-05,North Wales Police,GNW19,0,0,1,1,13,9
2011-05,North Wales Police,YMW22,0,0,1,0,3,0
2011-05,North Wales Police,FSW07,1,0,0,0,1,1
2011-05,North Wales Police,WCW09,1,0,1,1,5,2
2011-05,North Wales Police,FSW06,1,0,1,2,8,1
2011-05,North Wales Police,FSW09,0,0,0,1,8,5
2011-05,North Wales Police,GNW30,0,0,1,0,8,9
2011-05,North Wales Police,FSW08,2,1,0,1,13,7
2011-05,North Wales Police,WCW20,3,0,0,4,7,15
2011-05,North Wales Police,GNW16,0,0,0,4,2,2
2011-05,North Wales Police,WXW16,1,0,1,1,2,6
2011-05,North Wales Police,WXW17,1,0,1,1,6,3
2011-05,North Wales Police,WXW14,1,0,2,0,11,2
2011-05,North Wales Police,GNW17,0,0,0,0,0,0
2011-05,North Wales Police,WXW12,3,0,0,11,21,32
2011-05,North Wales Police,GSW19,0,0,0,0,4,4
2011-05,North Wales Police,WXW10,1,0,1,5,13,13
2011-05,North Wales Police,WXW11,2,0,1,4,6,9
2011-05,North Wales Police,GNW10,4,0,0,12,41,37
2011-05,North Wales Police,YMW35,1,0,0,0,3,3
2011-05,North Wales Police,GSW18,1,0,0,0,5,1
2011-05,North Wales Police,GSW21,0,0,0,0,4,4
2011-05,North Wales Police,WXW18,0,0,0,0,4,1
2011-05,North Wales Police,GNW11,1,0,0,6,21,4
2011-05,North Wales Police,GSW16,0,0,0,2,1,2
2011-05,North Wales Police,GNW13,2,0,0,4,7,0
2011-05,North Wales Police,WCW02,0,0,0,1,4,2
2011-05,North Wales Police,GSW14,0,0,1,3,10,4
2011-05,North Wales Police,WCW22,0,0,0,1,5,3
2011-05,North Wales Police,YMW34,0,0,1,0,1,4
2011-05,North Wales Police,WCW04,0,0,0,1,1,0
2011-05,North Wales Police,GSW26,0,0,2,3,10,4
2011-05,North Wales Police,GSW12,1,0,1,0,3,1
2011-05,North Wales Police,GNW03,1,0,1,3,4,5
2011-05,North Wales Police,GNW02,1,0,0,1,5,2
2011-05,North Wales Police,GNW01,1,0,0,1,11,3
2011-05,North Wales Police,FNW19,3,0,0,5,19,6
2011-05,North Wales Police,FNW18,5,0,4,1,20,7
2011-05,North Wales Police,GNW05,3,0,1,2,10,10
2011-05,North Wales Police,GNW04,0,0,0,0,7,2
2011-05,North Wales Police,FNW15,1,0,1,3,16,6
2011-05,North Wales Police,FNW14,3,0,2,3,12,2
2011-05,North Wales Police,FNW17,1,0,3,2,10,4
2011-05,North Wales Police,FNW16,0,0,6,7,20,13
2011-05,North Wales Police,FNW11,1,0,0,2,2,5
2011-05,North Wales Police,FNW10,0,0,0,2,7,2
2011-05,North Wales Police,FNW13,4,0,1,0,26,5
2011-05,North Wales Police,FNW12,2,0,0,5,14,15
2011-05,North Wales Police,GSW15,3,0,0,4,14,13
2011-05,North Wales Police,DCW09,0,0,6,11,37,25
2011-05,North Wales Police,DCW08,2,0,3,3,13,9
2011-05,North Wales Police,DCW07,0,0,1,2,9,11
2011-05,North Wales Police,DCW06,1,0,3,8,9,13
2011-05,North Wales Police,DCW05,0,0,6,5,33,32
2011-05,North Wales Police,DCW04,7,0,2,6,23,14
2011-05,North Wales Police,DCW03,3,0,0,1,12,6
2011-05,North Wales Police,DCW02,1,0,0,1,14,15
2011-05,North Wales Police,DCW01,0,0,2,2,14,4
2011-05,North Wales Police,WRW29,1,0,0,0,2,2
2011-05,North Wales Police,WRW28,1,0,0,1,9,5
2011-05,North Wales Police,FNW23,1,0,1,1,9,4
2011-05,North Wales Police,GSW29,0,0,0,2,2,4
2011-05,North Wales Police,WRW21,1,0,1,1,10,7
2011-05,North Wales Police,GNW07,1,0,0,2,13,5
2011-05,North Wales Police,YMW11,0,0,0,1,1,1
2011-05,North Wales Police,WRW22,0,0,1,4,7,9
2011-05,North Wales Police,WRW25,3,0,0,6,15,9
2011-05,North Wales Police,WRW24,0,0,1,4,31,8
2011-05,North Wales Police,WRW27,0,0,0,2,4,4
2011-05,North Wales Police,GNW06,1,0,0,0,7,18
2011-05,North Wales Police,GSW22,3,0,0,1,7,8
2011-05,North Wales Police,FSW15,2,0,0,0,8,5
2011-05,North Wales Police,YMW36,0,0,0,1,1,4
2011-05,North Wales Police,GSW24,2,0,0,2,2,2
2011-05,North Wales Police,FNW25,5,0,3,1,7,5
2011-05,North Wales Police,GNW09,3,0,1,5,16,16
2011-05,North Wales Police,YMW30,0,0,0,1,2,0
2011-05,North Wales Police,GSW20,2,0,0,3,19,5
2011-05,North Wales Police,YMW29,0,0,0,2,6,1
2011-05,North Wales Police,FSW01,0,0,0,0,0,0
2011-05,North Wales Police,FSW03,0,0,0,1,2,1
2011-05,North Wales Police,FSW02,0,0,0,1,2,8
2011-05,North Wales Police,FSW05,0,0,1,1,2,2
2011-05,North Wales Police,FSW04,0,0,0,0,0,1
2011-05,North Wales Police,FNW08,1,0,0,11,29,16
2011-05,North Wales Police,FNW09,3,0,0,0,3,0
2011-05,North Wales Police,FNW06,2,0,2,1,14,5
2011-05,North Wales Police,FNW07,1,0,0,5,8,7
2011-05,North Wales Police,FNW04,1,0,0,2,2,1
2011-05,North Wales Police,FNW05,2,0,2,0,5,2
2011-05,North Wales Police,FNW02,4,0,1,1,3,5
2011-05,North Wales Police,FNW03,0,0,1,0,1,3
2011-05,North Wales Police,GNW12,0,0,1,1,11,6
2011-05,North Wales Police,FNW01,3,0,1,3,11,1
2011-05,North Wales Police,DCW18,1,0,3,8,19,15
2011-05,North Wales Police,YMW40,1,0,0,0,4,2
2011-05,North Wales Police,GNW08,0,0,1,2,4,3
2011-05,North Wales Police,GSW25,1,0,0,0,0,0
2011-05,North Wales Police,WCW19,0,0,1,3,16,6
2011-05,North Wales Police,DCW10,13,0,11,44,131,71
2011-05,North Wales Police,DCW11,0,0,4,3,28,7
2011-05,North Wales Police,DCW12,3,0,2,5,18,14
2011-05,North Wales Police,DCW13,0,0,4,2,4,4
2011-05,North Wales Police,DCW14,3,0,0,7,8,6
2011-05,North Wales Police,DCW15,2,0,1,2,6,6
2011-05,North Wales Police,DCW16,3,0,0,4,17,12
2011-05,North Wales Police,DCW17,1,0,0,5,12,15
2011-05,North Wales Police,YMW39,0,0,0,2,5,1
2011-05,North Wales Police,WCW16,6,0,2,4,20,31
2011-05,North Wales Police,WCW14,0,0,1,0,4,5
2011-05,North Wales Police,WCW15,0,0,0,1,12,6
2011-05,North Wales Police,GSW31,1,0,0,0,0,1
2011-05,North Wales Police,GSW30,0,0,0,0,0,0
2011-05,North Wales Police,GSW33,0,0,0,2,7,12
2011-05,North Wales Police,WCW21,0,0,0,4,10,4
2011-05,North Wales Police,GSW35,0,0,1,1,12,2
2011-05,North Wales Police,GSW34,0,0,0,1,1,0
2011-05,North Wales Police,GSW37,0,0,0,1,0,3
2011-05,North Wales Police,GSW36,0,0,0,1,1,2
2011-05,North Wales Police,GSW39,0,0,1,2,12,7
2011-05,North Wales Police,GSW38,0,0,0,0,0,0
