Month,Force,Neighbourhood,Burglary,Robbery,Vehicle crime,Violent crime,Anti-social behaviour,Other crime
2011-06,Avon and Somerset Constabulary,BF161,1,1,2,2,9,5
2011-06,Avon and Somerset Constabulary,FW004,1,0,1,1,0,2
2011-06,Avon and Somerset Constabulary,BT111,6,1,22,6,38,33
2011-06,Avon and Somerset Constabulary,JW110,1,0,0,1,12,7
2011-06,Avon and Somerset Constabulary,BC190,4,1,7,20,53,21
2011-06,Avon and Somerset Constabulary,JW109,1,1,2,1,3,10
2011-06,Avon and Somerset Constabulary,JW111,1,0,0,0,4,2
2011-06,Avon and Somerset Constabulary,JW107,1,1,0,13,20,23
2011-06,Avon and Somerset Constabulary,JW106,6,0,10,9,23,20
2011-06,Avon and Somerset Constabulary,JW105,11,0,10,10,48,43
2011-06,Avon and Somerset Constabulary,JW104,19,2,5,22,104,73
2011-06,Avon and Somerset Constabulary,JW103,12,1,10,24,57,41
2011-06,Avon and Somerset Constabulary,JW112,1,0,1,0,8,4
2011-06,Avon and Somerset Constabulary,JW101,8,1,14,55,121,112
2011-06,Avon and Somerset Constabulary,EK117,3,0,3,12,38,30
2011-06,Avon and Somerset Constabulary,JC209,0,0,0,0,2,1
2011-06,Avon and Somerset Constabulary,JW113,0,0,0,2,2,4
2011-06,Avon and Somerset Constabulary,EB114,0,0,1,1,7,9
2011-06,Avon and Somerset Constabulary,JC201,0,0,3,2,8,3
2011-06,Avon and Somerset Constabulary,JC202,1,0,1,3,2,0
2011-06,Avon and Somerset Constabulary,JC203,0,0,1,1,10,10
2011-06,Avon and Somerset Constabulary,JC204,3,0,3,7,12,29
2011-06,Avon and Somerset Constabulary,JC205,2,0,2,5,7,10
2011-06,Avon and Somerset Constabulary,EK119,2,0,1,1,10,10
2011-06,Avon and Somerset Constabulary,EB113,1,0,1,3,9,12
2011-06,Avon and Somerset Constabulary,GT024,0,0,1,3,13,10
2011-06,Avon and Somerset Constabulary,GT025,3,0,3,1,15,9
2011-06,Avon and Somerset Constabulary,GT026,4,0,0,9,21,12
2011-06,Avon and Somerset Constabulary,BU151,12,1,10,19,63,54
2011-06,Avon and Somerset Constabulary,GT020,6,0,9,2,10,15
2011-06,Avon and Somerset Constabulary,GT021,2,0,2,0,3,2
2011-06,Avon and Somerset Constabulary,GT022,1,0,2,1,4,2
2011-06,Avon and Somerset Constabulary,GT023,0,0,0,1,5,5
2011-06,Avon and Somerset Constabulary,BC194,4,1,3,32,100,85
2011-06,Avon and Somerset Constabulary,BT186,5,1,13,52,125,75
2011-06,Avon and Somerset Constabulary,BC196,7,0,10,15,25,44
2011-06,Avon and Somerset Constabulary,JW117,0,0,0,1,4,2
2011-06,Avon and Somerset Constabulary,GT028,2,0,0,0,7,8
2011-06,Avon and Somerset Constabulary,BC191,3,0,2,2,14,24
2011-06,Avon and Somerset Constabulary,GB011,6,0,3,1,14,7
2011-06,Avon and Somerset Constabulary,BC193,10,4,1,49,81,111
2011-06,Avon and Somerset Constabulary,BU154,18,2,5,18,58,39
2011-06,Avon and Somerset Constabulary,BC192,1,2,0,35,90,245
2011-06,Avon and Somerset Constabulary,FI004,1,0,0,1,6,5
2011-06,Avon and Somerset Constabulary,BT185,10,2,12,20,40,23
2011-06,Avon and Somerset Constabulary,FI001,0,0,0,0,6,5
2011-06,Avon and Somerset Constabulary,FI002,3,0,0,2,14,4
2011-06,Avon and Somerset Constabulary,FI003,1,0,1,0,4,2
2011-06,Avon and Somerset Constabulary,FW002,0,1,1,2,6,26
2011-06,Avon and Somerset Constabulary,FW003,0,1,1,8,31,15
2011-06,Avon and Somerset Constabulary,FW001,3,0,0,6,20,17
2011-06,Avon and Somerset Constabulary,FW006,0,0,3,0,1,3
2011-06,Avon and Somerset Constabulary,FW007,3,0,1,1,2,7
2011-06,Avon and Somerset Constabulary,FC008,3,0,0,0,0,1
2011-06,Avon and Somerset Constabulary,FW005,2,0,1,0,5,1
