Month,Force,Neighbourhood,Burglary,Robbery,Vehicle crime,Violent crime,Anti-social behaviour,Other crime
2011-06,Cambridgeshire Constabulary,214,13,0,9,5,61,39
2011-06,Cambridgeshire Constabulary,215,2,0,7,13,46,38
2011-06,Cambridgeshire Constabulary,212,22,0,20,17,94,68
2011-06,Cambridgeshire Constabulary,213,8,0,10,0,32,28
2011-06,Cambridgeshire Constabulary,211,8,0,9,16,55,54
2011-06,Cambridgeshire Constabulary,312,28,2,32,25,180,90
2011-06,Cambridgeshire Constabulary,311,8,0,18,24,134,100
2011-06,Cambridgeshire Constabulary,322,21,5,16,42,207,103
2011-06,Cambridgeshire Constabulary,323,9,1,10,28,89,79
2011-06,Cambridgeshire Constabulary,324,5,1,5,58,81,140
2011-06,Cambridgeshire Constabulary,451,31,0,10,17,93,56
2011-06,Cambridgeshire Constabulary,421,25,2,14,44,174,127
2011-06,Cambridgeshire Constabulary,422,10,1,8,13,67,57
2011-06,Cambridgeshire Constabulary,452,9,0,3,4,47,31
2011-06,Cambridgeshire Constabulary,201,23,1,14,46,165,146
2011-06,Cambridgeshire Constabulary,203,26,1,21,42,198,210
2011-06,Cambridgeshire Constabulary,202,16,0,11,69,145,331
2011-06,Cambridgeshire Constabulary,204,7,1,9,14,80,81
2011-06,Cambridgeshire Constabulary,443,8,0,7,12,59,46
2011-06,Cambridgeshire Constabulary,301,27,3,34,42,260,127
2011-06,Cambridgeshire Constabulary,441,12,0,7,13,83,70
2011-06,Cambridgeshire Constabulary,325,12,2,4,31,107,64
2011-06,Cambridgeshire Constabulary,442,13,0,11,9,80,51
2011-06,Cambridgeshire Constabulary,222,19,0,11,12,50,36
2011-06,Cambridgeshire Constabulary,221,19,2,18,19,143,122
2011-06,Cambridgeshire Constabulary,302,36,1,16,38,181,105
2011-06,Cambridgeshire Constabulary,411,14,0,7,14,90,60
2011-06,Cambridgeshire Constabulary,412,12,1,3,6,58,42
2011-06,Cambridgeshire Constabulary,413,1,0,4,11,48,27
2011-06,Cambridgeshire Constabulary,432,9,0,6,13,65,36
2011-06,Cambridgeshire Constabulary,431,10,1,17,19,101,59
