Month,Force,Neighbourhood,Burglary,Robbery,Vehicle crime,Violent crime,Anti-social behaviour,Other crime
2011-06,Dorset Police,10-12,10,2,13,69,305,243
2011-06,Dorset Police,10-13,21,3,9,15,91,44
2011-06,Dorset Police,10-76,1,0,0,1,6,15
2011-06,Dorset Police,10-77,5,0,7,1,26,14
2011-06,Dorset Police,10-70,3,0,4,5,58,38
2011-06,Dorset Police,10-17,9,0,2,15,50,42
2011-06,Dorset Police,10-72,5,0,3,4,14,11
2011-06,Dorset Police,10-15,17,1,13,18,86,65
2011-06,Dorset Police,10-30,6,0,7,3,27,18
2011-06,Dorset Police,10-31,1,0,1,5,15,11
2011-06,Dorset Police,10-18,8,0,14,17,51,38
2011-06,Dorset Police,10-19,5,2,5,8,73,33
2011-06,Dorset Police,10-35,5,0,6,3,35,12
2011-06,Dorset Police,10-10,15,2,3,15,67,30
2011-06,Dorset Police,10-36,1,0,0,0,8,8
2011-06,Dorset Police,10-75,4,0,2,3,20,23
2011-06,Dorset Police,10-45,2,0,1,4,3,1
2011-06,Dorset Police,10-11,8,1,1,12,33,20
2011-06,Dorset Police,10-47,3,0,3,2,18,23
2011-06,Dorset Police,10-58,9,2,4,22,71,44
2011-06,Dorset Police,10-59,2,0,2,3,27,16
2011-06,Dorset Police,10-56,5,0,5,5,38,21
2011-06,Dorset Police,10-57,6,0,5,6,36,17
2011-06,Dorset Police,10-54,2,0,2,6,24,15
2011-06,Dorset Police,10-55,2,0,2,2,16,13
2011-06,Dorset Police,10-52,5,0,4,5,30,13
2011-06,Dorset Police,10-53,3,2,1,11,44,17
2011-06,Dorset Police,10-50,1,0,5,7,29,16
2011-06,Dorset Police,10-51,4,0,5,14,42,17
2011-06,Dorset Police,10-38,7,0,4,5,21,14
2011-06,Dorset Police,10-39,4,0,9,1,29,19
2011-06,Dorset Police,10-14,10,1,9,46,175,122
2011-06,Dorset Police,10-41,1,0,1,1,7,10
2011-06,Dorset Police,10-73,7,1,10,14,57,45
2011-06,Dorset Police,10-40,5,0,9,6,41,21
2011-06,Dorset Police,10-16,11,0,32,26,113,110
2011-06,Dorset Police,10-46,5,0,6,10,30,27
2011-06,Dorset Police,10-65,9,0,3,2,24,18
2011-06,Dorset Police,10-26,1,0,3,0,13,5
2011-06,Dorset Police,10-42,5,0,1,5,19,18
2011-06,Dorset Police,10-32,6,0,0,6,39,13
2011-06,Dorset Police,10-74,1,0,9,2,17,14
2011-06,Dorset Police,10-33,5,0,6,7,13,14
2011-06,Dorset Police,10-29,1,0,2,7,28,24
2011-06,Dorset Police,10-27,9,0,2,2,29,13
2011-06,Dorset Police,10-34,4,0,2,0,16,11
2011-06,Dorset Police,10-25,8,0,4,5,70,36
2011-06,Dorset Police,10-24,5,0,0,2,9,9
2011-06,Dorset Police,10-23,3,0,1,11,30,35
2011-06,Dorset Police,10-22,2,0,0,0,3,8
2011-06,Dorset Police,10-21,3,0,2,1,7,15
2011-06,Dorset Police,10-20,2,0,3,3,19,22
2011-06,Dorset Police,10-69,7,0,4,3,30,39
2011-06,Dorset Police,10-68,1,0,1,3,18,14
2011-06,Dorset Police,10-49,2,0,1,4,13,19
2011-06,Dorset Police,10-48,0,0,2,7,7,6
2011-06,Dorset Police,10-63,6,0,6,46,158,102
2011-06,Dorset Police,10-44,2,0,6,2,16,12
2011-06,Dorset Police,10-61,2,0,1,2,16,9
2011-06,Dorset Police,10-60,2,0,1,0,13,15
2011-06,Dorset Police,10-67,7,0,5,5,40,29
2011-06,Dorset Police,10-66,7,1,3,4,26,32
2011-06,Dorset Police,10-43,3,0,7,4,15,4
2011-06,Dorset Police,10-64,5,0,2,9,45,22
2011-06,Dorset Police,10-71,1,0,6,4,11,11
2011-06,Dorset Police,10-37,4,0,5,4,32,27
2011-06,Dorset Police,10-8,25,4,23,63,308,156
2011-06,Dorset Police,10-9,23,0,17,24,132,74
2011-06,Dorset Police,10-62,7,1,6,25,100,45
2011-06,Dorset Police,10-0,5,4,4,22,101,49
2011-06,Dorset Police,10-1,10,0,15,12,57,44
2011-06,Dorset Police,10-2,1,0,7,11,56,38
2011-06,Dorset Police,10-3,11,0,1,1,30,17
2011-06,Dorset Police,10-4,2,1,0,9,46,43
2011-06,Dorset Police,10-5,3,0,10,2,29,17
2011-06,Dorset Police,10-6,9,0,6,9,75,52
2011-06,Dorset Police,10-7,2,0,5,3,19,17
