Month,Force,Neighbourhood,Burglary,Robbery,Vehicle crime,Violent crime,Anti-social behaviour,Other crime
2011-06,Dyfed-Powys Police,135,0,0,1,3,9,9
2011-06,Dyfed-Powys Police,134,3,0,6,15,103,63
2011-06,Dyfed-Powys Police,115,0,0,0,2,11,8
2011-06,Dyfed-Powys Police,132,0,0,0,5,35,18
2011-06,Dyfed-Powys Police,117,1,0,1,0,13,9
2011-06,Dyfed-Powys Police,116,8,0,5,15,107,39
2011-06,Dyfed-Powys Police,111,3,0,4,3,13,22
2011-06,Dyfed-Powys Police,110,9,0,6,34,223,76
2011-06,Dyfed-Powys Police,113,2,0,0,2,47,27
2011-06,Dyfed-Powys Police,112,2,0,1,1,16,4
2011-06,Dyfed-Powys Police,139,3,0,1,1,9,6
2011-06,Dyfed-Powys Police,138,1,1,0,3,36,5
2011-06,Dyfed-Powys Police,119,3,0,1,14,34,17
2011-06,Dyfed-Powys Police,102,10,0,2,18,71,40
2011-06,Dyfed-Powys Police,118,3,0,0,1,9,4
2011-06,Dyfed-Powys Police,104,5,0,0,1,9,19
2011-06,Dyfed-Powys Police,146,2,0,1,3,24,11
2011-06,Dyfed-Powys Police,147,0,1,0,16,50,46
2011-06,Dyfed-Powys Police,144,1,0,1,16,51,22
2011-06,Dyfed-Powys Police,145,0,0,0,0,10,4
2011-06,Dyfed-Powys Police,142,1,0,2,3,15,4
2011-06,Dyfed-Powys Police,143,0,0,1,3,39,16
2011-06,Dyfed-Powys Police,140,0,0,0,1,17,4
2011-06,Dyfed-Powys Police,141,5,0,6,3,12,13
2011-06,Dyfed-Powys Police,148,2,0,2,1,7,2
2011-06,Dyfed-Powys Police,149,3,0,2,6,45,19
2011-06,Dyfed-Powys Police,120,0,0,0,0,7,2
2011-06,Dyfed-Powys Police,121,3,0,0,13,42,15
2011-06,Dyfed-Powys Police,108,3,0,1,13,48,16
2011-06,Dyfed-Powys Police,123,8,0,9,18,203,130
2011-06,Dyfed-Powys Police,124,26,0,9,46,208,167
2011-06,Dyfed-Powys Police,125,1,0,0,2,17,6
2011-06,Dyfed-Powys Police,126,1,0,0,1,19,2
2011-06,Dyfed-Powys Police,127,1,0,1,3,22,6
2011-06,Dyfed-Powys Police,128,1,0,0,0,6,2
2011-06,Dyfed-Powys Police,103,9,0,10,28,224,80
2011-06,Dyfed-Powys Police,100,3,0,0,2,31,19
2011-06,Dyfed-Powys Police,101,1,0,3,2,9,1
2011-06,Dyfed-Powys Police,106,0,0,0,3,6,6
2011-06,Dyfed-Powys Police,107,2,0,2,2,16,8
2011-06,Dyfed-Powys Police,129,0,0,1,2,21,12
2011-06,Dyfed-Powys Police,105,7,0,1,4,47,19
2011-06,Dyfed-Powys Police,133,1,0,0,4,35,12
2011-06,Dyfed-Powys Police,122,1,0,0,2,16,6
2011-06,Dyfed-Powys Police,131,7,0,4,15,102,34
2011-06,Dyfed-Powys Police,130,0,0,1,5,25,10
2011-06,Dyfed-Powys Police,137,7,0,5,16,77,34
2011-06,Dyfed-Powys Police,136,3,0,4,14,55,23
