Month,Force,Neighbourhood,Burglary,Robbery,Vehicle crime,Violent crime,Anti-social behaviour,Other crime
2011-06,Lancashire Constabulary,216,8,0,6,19,115,40
2011-06,Lancashire Constabulary,217,2,0,1,1,24,20
2011-06,Lancashire Constabulary,214,10,0,2,7,34,13
2011-06,Lancashire Constabulary,215,2,0,0,6,30,9
2011-06,Lancashire Constabulary,212,2,0,3,1,14,4
2011-06,Lancashire Constabulary,213,3,0,3,2,15,5
2011-06,Lancashire Constabulary,210,1,0,2,2,25,23
2011-06,Lancashire Constabulary,211,9,0,3,6,33,18
2011-06,Lancashire Constabulary,264,0,0,1,6,19,8
2011-06,Lancashire Constabulary,218,11,1,6,27,171,85
2011-06,Lancashire Constabulary,219,1,0,0,0,4,3
2011-06,Lancashire Constabulary,133,7,0,1,8,75,22
2011-06,Lancashire Constabulary,132,1,0,3,1,23,6
2011-06,Lancashire Constabulary,131,0,0,1,2,34,5
2011-06,Lancashire Constabulary,130,1,0,1,2,9,5
2011-06,Lancashire Constabulary,137,1,0,3,3,45,23
2011-06,Lancashire Constabulary,136,2,1,2,1,16,18
2011-06,Lancashire Constabulary,135,3,0,0,6,31,20
2011-06,Lancashire Constabulary,165,7,0,6,14,56,30
2011-06,Lancashire Constabulary,50,0,0,3,1,12,4
2011-06,Lancashire Constabulary,139,2,0,1,1,23,6
2011-06,Lancashire Constabulary,138,1,0,0,0,5,4
2011-06,Lancashire Constabulary,166,1,1,0,0,6,7
2011-06,Lancashire Constabulary,24,2,0,0,4,20,5
2011-06,Lancashire Constabulary,25,2,0,2,3,20,10
2011-06,Lancashire Constabulary,26,2,0,1,1,3,1
2011-06,Lancashire Constabulary,92,1,0,2,1,7,2
2011-06,Lancashire Constabulary,20,2,0,0,0,11,2
2011-06,Lancashire Constabulary,21,5,0,8,4,11,10
2011-06,Lancashire Constabulary,22,3,0,4,17,58,50
2011-06,Lancashire Constabulary,23,0,0,2,0,5,5
2011-06,Lancashire Constabulary,95,2,0,0,0,28,5
2011-06,Lancashire Constabulary,28,0,0,1,0,17,12
2011-06,Lancashire Constabulary,29,3,0,1,3,31,7
2011-06,Lancashire Constabulary,161,1,0,0,6,34,12
2011-06,Lancashire Constabulary,221,0,0,6,8,43,24
2011-06,Lancashire Constabulary,8,4,0,0,3,31,12
2011-06,Lancashire Constabulary,220,1,0,1,1,3,7
2011-06,Lancashire Constabulary,35,0,0,0,3,16,13
2011-06,Lancashire Constabulary,263,6,1,5,6,59,39
2011-06,Lancashire Constabulary,262,13,1,12,24,145,55
2011-06,Lancashire Constabulary,122,1,0,2,2,13,1
2011-06,Lancashire Constabulary,123,1,0,1,4,22,22
2011-06,Lancashire Constabulary,267,3,0,3,3,3,3
2011-06,Lancashire Constabulary,125,1,0,0,5,24,11
2011-06,Lancashire Constabulary,265,4,0,4,4,11,10
2011-06,Lancashire Constabulary,127,14,0,4,10,61,25
2011-06,Lancashire Constabulary,128,2,0,4,5,43,20
2011-06,Lancashire Constabulary,129,2,0,4,5,68,26
2011-06,Lancashire Constabulary,269,2,0,1,8,47,20
2011-06,Lancashire Constabulary,268,2,0,2,2,23,9
2011-06,Lancashire Constabulary,69,0,0,0,2,20,6
2011-06,Lancashire Constabulary,59,1,0,4,7,63,17
2011-06,Lancashire Constabulary,58,9,0,1,14,70,19
2011-06,Lancashire Constabulary,55,4,0,6,5,40,30
2011-06,Lancashire Constabulary,54,8,0,3,12,48,35
2011-06,Lancashire Constabulary,57,5,1,4,12,56,40
2011-06,Lancashire Constabulary,56,5,0,0,2,40,34
2011-06,Lancashire Constabulary,51,0,0,1,0,7,0
2011-06,Lancashire Constabulary,276,1,0,5,2,25,13
2011-06,Lancashire Constabulary,53,0,0,1,2,8,10
2011-06,Lancashire Constabulary,52,0,0,1,0,1,3
2011-06,Lancashire Constabulary,259,1,0,1,0,6,2
2011-06,Lancashire Constabulary,195,4,2,10,63,228,162
2011-06,Lancashire Constabulary,164,0,0,0,4,32,11
2011-06,Lancashire Constabulary,201,0,0,0,4,4,3
2011-06,Lancashire Constabulary,199,4,0,10,18,85,42
2011-06,Lancashire Constabulary,198,4,0,0,4,28,12
2011-06,Lancashire Constabulary,200,1,0,0,0,2,2
2011-06,Lancashire Constabulary,134,11,0,3,16,81,29
2011-06,Lancashire Constabulary,194,1,0,1,1,18,5
2011-06,Lancashire Constabulary,197,5,0,1,7,71,27
2011-06,Lancashire Constabulary,196,2,0,1,3,10,5
2011-06,Lancashire Constabulary,191,0,0,0,1,3,6
2011-06,Lancashire Constabulary,193,10,0,4,22,111,38
2011-06,Lancashire Constabulary,192,5,1,4,22,66,44
2011-06,Lancashire Constabulary,270,0,0,1,0,4,1
2011-06,Lancashire Constabulary,271,3,0,5,7,46,18
2011-06,Lancashire Constabulary,117,2,0,1,6,78,17
2011-06,Lancashire Constabulary,116,5,0,4,4,29,9
2011-06,Lancashire Constabulary,111,5,0,1,8,37,26
2011-06,Lancashire Constabulary,110,2,0,1,6,25,17
2011-06,Lancashire Constabulary,113,1,0,1,2,10,4
2011-06,Lancashire Constabulary,112,8,0,1,5,46,17
2011-06,Lancashire Constabulary,82,3,1,4,11,46,26
2011-06,Lancashire Constabulary,205,7,0,6,15,77,19
2011-06,Lancashire Constabulary,80,7,0,2,42,155,69
2011-06,Lancashire Constabulary,81,2,1,1,10,48,39
2011-06,Lancashire Constabulary,119,4,0,8,11,42,30
2011-06,Lancashire Constabulary,118,3,0,0,4,34,24
2011-06,Lancashire Constabulary,84,6,0,0,27,104,43
2011-06,Lancashire Constabulary,85,1,0,0,4,16,7
2011-06,Lancashire Constabulary,174,2,0,3,4,45,18
2011-06,Lancashire Constabulary,207,0,0,1,6,48,20
2011-06,Lancashire Constabulary,173,1,0,2,4,9,9
2011-06,Lancashire Constabulary,141,0,1,2,4,18,7
2011-06,Lancashire Constabulary,226,4,0,3,6,80,16
2011-06,Lancashire Constabulary,172,0,0,0,4,10,7
2011-06,Lancashire Constabulary,27,1,0,1,1,12,4
2011-06,Lancashire Constabulary,3,2,1,6,2,30,23
2011-06,Lancashire Constabulary,254,2,0,0,0,5,0
2011-06,Lancashire Constabulary,7,5,0,2,4,24,12
2011-06,Lancashire Constabulary,247,3,0,4,10,47,31
2011-06,Lancashire Constabulary,66,9,1,7,13,72,29
2011-06,Lancashire Constabulary,115,0,0,0,1,6,1
2011-06,Lancashire Constabulary,245,16,0,10,10,93,39
2011-06,Lancashire Constabulary,244,1,0,0,1,25,7
2011-06,Lancashire Constabulary,108,0,0,0,3,24,7
2011-06,Lancashire Constabulary,109,1,0,0,1,8,5
2011-06,Lancashire Constabulary,241,0,0,1,2,13,5
2011-06,Lancashire Constabulary,240,2,0,6,3,36,14
2011-06,Lancashire Constabulary,242,0,0,1,2,4,4
2011-06,Lancashire Constabulary,102,0,0,0,3,4,3
2011-06,Lancashire Constabulary,103,8,0,0,15,55,16
2011-06,Lancashire Constabulary,100,1,0,3,1,5,0
2011-06,Lancashire Constabulary,101,1,0,0,1,8,7
2011-06,Lancashire Constabulary,106,4,0,2,10,61,27
2011-06,Lancashire Constabulary,107,1,0,3,9,43,35
2011-06,Lancashire Constabulary,104,1,0,1,2,16,11
2011-06,Lancashire Constabulary,105,1,0,1,4,15,8
2011-06,Lancashire Constabulary,39,15,1,7,20,156,69
2011-06,Lancashire Constabulary,38,0,0,1,6,52,15
2011-06,Lancashire Constabulary,33,3,0,3,3,55,14
2011-06,Lancashire Constabulary,32,1,0,1,5,24,6
2011-06,Lancashire Constabulary,224,2,0,4,8,54,17
2011-06,Lancashire Constabulary,30,4,0,3,0,4,1
2011-06,Lancashire Constabulary,37,1,1,5,8,43,19
2011-06,Lancashire Constabulary,36,0,0,0,2,8,2
2011-06,Lancashire Constabulary,177,0,0,3,3,38,10
2011-06,Lancashire Constabulary,34,2,0,1,0,10,2
2011-06,Lancashire Constabulary,246,3,0,8,4,49,27
2011-06,Lancashire Constabulary,162,2,0,0,4,14,9
2011-06,Lancashire Constabulary,114,1,0,0,0,5,5
2011-06,Lancashire Constabulary,252,5,0,0,7,40,13
2011-06,Lancashire Constabulary,86,3,0,7,6,53,17
2011-06,Lancashire Constabulary,60,18,1,3,59,187,92
2011-06,Lancashire Constabulary,61,0,0,2,0,4,5
2011-06,Lancashire Constabulary,258,4,0,1,9,39,15
2011-06,Lancashire Constabulary,63,1,0,2,10,47,22
2011-06,Lancashire Constabulary,64,2,0,1,1,14,7
2011-06,Lancashire Constabulary,65,0,1,1,2,9,5
2011-06,Lancashire Constabulary,179,2,0,1,4,24,4
2011-06,Lancashire Constabulary,178,1,0,1,3,5,1
2011-06,Lancashire Constabulary,68,0,0,1,1,15,6
2011-06,Lancashire Constabulary,176,2,0,0,2,4,3
2011-06,Lancashire Constabulary,250,0,0,1,1,4,1
2011-06,Lancashire Constabulary,251,11,1,1,15,75,25
2011-06,Lancashire Constabulary,253,1,0,0,1,4,3
2011-06,Lancashire Constabulary,257,2,0,2,4,36,16
2011-06,Lancashire Constabulary,171,10,0,3,3,44,27
2011-06,Lancashire Constabulary,255,0,0,1,4,39,6
2011-06,Lancashire Constabulary,222,0,0,0,5,21,7
2011-06,Lancashire Constabulary,249,4,0,1,0,10,2
2011-06,Lancashire Constabulary,175,8,0,2,2,43,13
2011-06,Lancashire Constabulary,248,4,1,2,13,27,26
2011-06,Lancashire Constabulary,182,2,0,0,0,12,6
2011-06,Lancashire Constabulary,183,2,0,2,1,10,2
2011-06,Lancashire Constabulary,180,0,0,0,2,20,11
2011-06,Lancashire Constabulary,181,0,0,2,1,9,1
2011-06,Lancashire Constabulary,186,4,0,0,3,7,12
2011-06,Lancashire Constabulary,187,5,0,0,8,31,15
2011-06,Lancashire Constabulary,184,2,0,1,4,40,17
2011-06,Lancashire Constabulary,185,0,0,1,0,6,1
2011-06,Lancashire Constabulary,188,8,0,4,20,84,34
2011-06,Lancashire Constabulary,189,0,0,1,0,14,4
2011-06,Lancashire Constabulary,202,11,0,3,10,89,16
2011-06,Lancashire Constabulary,4,0,0,2,6,22,8
2011-06,Lancashire Constabulary,6,6,0,0,7,34,23
2011-06,Lancashire Constabulary,99,1,0,4,10,63,15
2011-06,Lancashire Constabulary,98,1,0,1,1,20,17
2011-06,Lancashire Constabulary,168,1,4,4,3,11,13
2011-06,Lancashire Constabulary,169,5,0,6,15,83,49
2011-06,Lancashire Constabulary,229,1,0,3,0,18,11
2011-06,Lancashire Constabulary,228,2,0,2,6,31,16
2011-06,Lancashire Constabulary,91,0,0,0,0,2,1
2011-06,Lancashire Constabulary,90,2,0,0,2,15,7
2011-06,Lancashire Constabulary,225,0,0,0,3,7,2
2011-06,Lancashire Constabulary,167,1,0,2,0,6,4
2011-06,Lancashire Constabulary,223,2,0,1,7,52,34
2011-06,Lancashire Constabulary,94,6,1,5,19,67,54
2011-06,Lancashire Constabulary,97,2,0,4,6,5,6
2011-06,Lancashire Constabulary,163,2,0,4,2,25,3
2011-06,Lancashire Constabulary,11,3,0,0,1,14,9
2011-06,Lancashire Constabulary,10,3,0,5,14,103,33
2011-06,Lancashire Constabulary,13,11,1,2,9,40,17
2011-06,Lancashire Constabulary,12,2,0,0,0,5,4
2011-06,Lancashire Constabulary,15,0,0,2,6,20,14
2011-06,Lancashire Constabulary,14,4,1,0,4,18,2
2011-06,Lancashire Constabulary,17,5,1,5,16,103,41
2011-06,Lancashire Constabulary,16,8,0,6,22,125,35
2011-06,Lancashire Constabulary,19,1,0,1,2,45,16
2011-06,Lancashire Constabulary,18,3,0,2,2,24,9
2011-06,Lancashire Constabulary,88,0,0,1,6,9,12
2011-06,Lancashire Constabulary,93,1,0,2,1,13,2
2011-06,Lancashire Constabulary,273,2,0,2,2,3,4
2011-06,Lancashire Constabulary,256,14,0,2,9,41,30
2011-06,Lancashire Constabulary,274,21,1,4,40,201,128
2011-06,Lancashire Constabulary,204,1,1,3,4,25,14
2011-06,Lancashire Constabulary,31,6,0,0,8,58,19
2011-06,Lancashire Constabulary,275,0,0,3,6,10,9
2011-06,Lancashire Constabulary,151,2,0,1,3,27,15
2011-06,Lancashire Constabulary,150,0,0,1,6,42,15
2011-06,Lancashire Constabulary,153,9,0,0,9,44,21
2011-06,Lancashire Constabulary,152,1,0,0,4,26,15
2011-06,Lancashire Constabulary,155,2,1,6,0,20,15
2011-06,Lancashire Constabulary,154,1,0,0,2,21,5
2011-06,Lancashire Constabulary,157,1,0,2,3,26,9
2011-06,Lancashire Constabulary,156,4,0,4,2,53,22
2011-06,Lancashire Constabulary,159,1,0,1,1,9,14
2011-06,Lancashire Constabulary,158,2,0,0,2,16,4
2011-06,Lancashire Constabulary,238,6,0,3,13,68,38
2011-06,Lancashire Constabulary,239,22,4,4,56,206,163
2011-06,Lancashire Constabulary,83,0,0,0,0,5,3
2011-06,Lancashire Constabulary,234,1,0,0,0,14,4
2011-06,Lancashire Constabulary,235,9,0,1,1,21,13
2011-06,Lancashire Constabulary,236,1,0,8,22,113,52
2011-06,Lancashire Constabulary,237,2,0,1,16,91,25
2011-06,Lancashire Constabulary,230,4,0,2,3,26,3
2011-06,Lancashire Constabulary,231,0,0,1,1,16,8
2011-06,Lancashire Constabulary,232,6,0,2,2,25,9
2011-06,Lancashire Constabulary,233,2,0,5,4,80,24
2011-06,Lancashire Constabulary,67,0,1,0,8,21,9
2011-06,Lancashire Constabulary,48,2,0,6,10,54,31
2011-06,Lancashire Constabulary,49,5,0,1,12,51,26
2011-06,Lancashire Constabulary,46,2,0,3,5,33,25
2011-06,Lancashire Constabulary,47,0,0,0,0,9,4
2011-06,Lancashire Constabulary,44,2,0,2,5,18,7
2011-06,Lancashire Constabulary,45,2,0,4,7,31,12
2011-06,Lancashire Constabulary,42,0,0,1,2,30,8
2011-06,Lancashire Constabulary,43,1,0,1,0,3,1
2011-06,Lancashire Constabulary,40,3,0,3,20,62,37
2011-06,Lancashire Constabulary,87,1,0,1,2,12,11
2011-06,Lancashire Constabulary,1,4,0,1,2,28,7
2011-06,Lancashire Constabulary,5,1,0,3,3,12,8
2011-06,Lancashire Constabulary,9,2,0,1,5,27,12
2011-06,Lancashire Constabulary,272,2,0,2,1,7,5
2011-06,Lancashire Constabulary,146,1,0,4,0,1,3
