Month,Force,Neighbourhood,Burglary,Robbery,Vehicle crime,Violent crime,Anti-social behaviour,Other crime
2011-06,Merseyside Police,C4,11,1,12,10,81,102
2011-06,Merseyside Police,A1,24,1,7,46,228,126
2011-06,Merseyside Police,C5,21,2,14,32,180,139
2011-06,Merseyside Police,A3,15,0,13,5,58,44
2011-06,Merseyside Police,A2,5,0,14,21,163,50
2011-06,Merseyside Police,A5,48,4,15,40,198,156
2011-06,Merseyside Police,A4,9,1,3,20,116,53
2011-06,Merseyside Police,A7,15,1,14,23,149,86
2011-06,Merseyside Police,A6,41,3,16,54,279,181
2011-06,Merseyside Police,E5,36,8,27,37,257,132
2011-06,Merseyside Police,A8,14,0,13,7,47,30
2011-06,Merseyside Police,E7,34,6,31,36,177,159
2011-06,Merseyside Police,E6,36,3,25,29,237,129
2011-06,Merseyside Police,E1,43,7,21,137,212,456
2011-06,Merseyside Police,E3,24,5,37,29,91,133
2011-06,Merseyside Police,E2,62,7,22,68,321,229
2011-06,Merseyside Police,E4,37,11,45,37,226,185
2011-06,Merseyside Police,C3,13,1,14,20,143,135
2011-06,Merseyside Police,C2,14,1,12,12,159,110
2011-06,Merseyside Police,C1,7,1,5,8,85,51
2011-06,Merseyside Police,F1,41,2,29,33,133,151
2011-06,Merseyside Police,F2,30,2,24,38,188,179
2011-06,Merseyside Police,F3,21,0,16,8,63,62
2011-06,Merseyside Police,F4,23,2,14,16,94,87
2011-06,Merseyside Police,F5,21,2,16,19,92,138
2011-06,Merseyside Police,F6,0,0,2,3,1,10
2011-06,Merseyside Police,B4,22,2,27,13,72,73
2011-06,Merseyside Police,B5,37,2,19,26,110,101
2011-06,Merseyside Police,B6,48,1,13,23,110,85
2011-06,Merseyside Police,B7,9,2,2,21,65,88
2011-06,Merseyside Police,B1,38,3,8,49,161,246
2011-06,Merseyside Police,B2,36,1,35,26,147,131
2011-06,Merseyside Police,B3,39,3,23,49,266,224
2011-06,Merseyside Police,D4,21,0,15,10,94,47
2011-06,Merseyside Police,D5,29,0,18,23,176,115
2011-06,Merseyside Police,D2,25,1,11,29,179,124
2011-06,Merseyside Police,D3,21,2,16,21,132,82
2011-06,Merseyside Police,D1,15,2,9,36,112,140
