Month,Force,Neighbourhood,Burglary,Robbery,Vehicle crime,Violent crime,Anti-social behaviour,Other crime
2011-06,South Wales Police,216,0,0,1,0,4,2
2011-06,South Wales Police,217,7,0,13,14,73,68
2011-06,South Wales Police,214,1,0,0,1,14,6
2011-06,South Wales Police,215,1,0,0,0,6,2
2011-06,South Wales Police,212,1,0,1,1,7,5
2011-06,South Wales Police,213,5,0,6,8,43,35
2011-06,South Wales Police,210,0,0,1,2,4,0
2011-06,South Wales Police,211,7,0,4,13,43,25
2011-06,South Wales Police,218,1,1,6,4,31,23
2011-06,South Wales Police,219,0,0,1,1,4,1
2011-06,South Wales Police,133,0,0,0,0,1,4
2011-06,South Wales Police,132,0,0,0,1,7,5
2011-06,South Wales Police,131,0,0,2,3,6,6
2011-06,South Wales Police,130,1,0,0,1,18,11
2011-06,South Wales Police,137,4,0,1,11,25,21
2011-06,South Wales Police,136,4,0,1,5,11,10
2011-06,South Wales Police,135,0,0,1,0,3,4
2011-06,South Wales Police,226,5,0,2,2,27,11
2011-06,South Wales Police,139,0,0,0,0,7,5
2011-06,South Wales Police,166,0,0,1,1,1,1
2011-06,South Wales Police,24,0,1,1,2,10,11
2011-06,South Wales Police,322,7,1,3,36,79,49
2011-06,South Wales Police,26,1,0,2,4,21,4
2011-06,South Wales Police,92,13,0,6,17,46,48
2011-06,South Wales Police,20,1,0,2,10,23,11
2011-06,South Wales Police,21,4,0,2,0,7,2
2011-06,South Wales Police,22,0,0,1,3,24,14
2011-06,South Wales Police,23,2,0,5,7,24,11
2011-06,South Wales Police,95,7,0,2,7,37,28
2011-06,South Wales Police,28,3,0,1,1,24,16
2011-06,South Wales Police,29,2,1,2,2,12,5
2011-06,South Wales Police,161,4,0,1,1,14,2
2011-06,South Wales Police,4,1,0,3,7,55,29
2011-06,South Wales Police,8,3,0,5,4,24,13
2011-06,South Wales Police,220,2,0,1,1,14,5
2011-06,South Wales Police,68,25,1,10,115,285,343
2011-06,South Wales Police,87,2,0,1,2,30,15
2011-06,South Wales Police,119,1,0,0,2,11,5
2011-06,South Wales Police,120,0,0,11,7,35,19
2011-06,South Wales Police,121,2,0,0,0,7,1
2011-06,South Wales Police,122,1,0,0,9,15,5
2011-06,South Wales Police,123,0,0,2,3,18,18
2011-06,South Wales Police,124,3,0,2,11,52,19
2011-06,South Wales Police,125,3,0,0,1,7,1
2011-06,South Wales Police,126,0,0,0,1,1,2
2011-06,South Wales Police,127,1,0,2,0,6,2
2011-06,South Wales Police,128,5,0,4,3,30,15
2011-06,South Wales Police,129,3,0,1,2,4,8
2011-06,South Wales Police,91,9,1,10,30,112,63
2011-06,South Wales Police,59,4,0,4,13,22,13
2011-06,South Wales Police,58,7,1,3,7,28,21
2011-06,South Wales Police,55,0,0,3,6,20,16
2011-06,South Wales Police,54,3,0,2,2,25,12
2011-06,South Wales Police,57,3,2,2,10,58,18
2011-06,South Wales Police,56,7,0,4,6,21,19
2011-06,South Wales Police,51,5,0,1,4,33,7
2011-06,South Wales Police,50,4,0,1,5,10,6
2011-06,South Wales Police,53,2,0,4,8,26,14
2011-06,South Wales Police,52,1,0,2,7,20,6
2011-06,South Wales Police,25,0,0,0,6,14,6
2011-06,South Wales Police,90,10,0,21,13,109,83
2011-06,South Wales Police,164,0,0,0,3,27,14
2011-06,South Wales Police,201,17,0,16,17,46,53
2011-06,South Wales Police,199,21,2,17,97,269,247
2011-06,South Wales Police,198,3,0,4,7,26,28
2011-06,South Wales Police,200,6,0,1,3,28,10
2011-06,South Wales Police,195,0,0,0,2,6,4
2011-06,South Wales Police,194,0,0,1,3,5,1
2011-06,South Wales Police,197,0,0,2,0,3,1
2011-06,South Wales Police,196,1,0,0,1,7,4
2011-06,South Wales Police,191,1,0,2,10,23,14
2011-06,South Wales Police,190,5,0,2,9,40,22
2011-06,South Wales Police,193,2,1,1,2,17,21
2011-06,South Wales Police,192,1,0,0,0,6,2
2011-06,South Wales Police,115,3,0,1,0,6,5
2011-06,South Wales Police,114,1,0,4,1,4,11
2011-06,South Wales Police,88,14,2,16,25,86,72
2011-06,South Wales Police,116,0,0,0,0,7,3
2011-06,South Wales Police,111,2,0,0,6,17,24
2011-06,South Wales Police,110,2,0,0,3,7,4
2011-06,South Wales Police,113,1,0,0,5,19,7
2011-06,South Wales Police,112,0,0,1,0,4,5
2011-06,South Wales Police,82,0,0,1,1,8,4
2011-06,South Wales Police,83,11,0,11,5,38,54
2011-06,South Wales Police,80,13,0,9,17,68,52
2011-06,South Wales Police,81,8,1,22,16,106,78
2011-06,South Wales Police,86,0,0,0,2,16,1
2011-06,South Wales Police,118,0,0,0,4,12,5
2011-06,South Wales Police,84,17,1,18,21,97,90
2011-06,South Wales Police,85,7,0,13,9,36,43
2011-06,South Wales Police,207,1,0,3,3,20,6
2011-06,South Wales Police,108,5,0,1,0,6,9
2011-06,South Wales Police,66,8,0,8,16,98,49
2011-06,South Wales Police,206,1,0,2,2,10,9
2011-06,South Wales Police,94,5,0,5,15,42,34
2011-06,South Wales Police,3,6,0,7,5,40,21
2011-06,South Wales Police,7,4,0,4,4,43,17
2011-06,South Wales Police,5,7,0,0,2,21,5
2011-06,South Wales Police,178,4,0,1,2,5,2
2011-06,South Wales Police,181,5,0,2,10,33,16
2011-06,South Wales Police,27,1,0,1,18,35,12
2011-06,South Wales Police,102,4,0,1,4,14,20
2011-06,South Wales Police,103,3,1,10,7,26,30
2011-06,South Wales Police,100,5,0,3,4,20,19
2011-06,South Wales Police,101,2,1,1,6,17,8
2011-06,South Wales Police,106,5,0,4,9,16,19
2011-06,South Wales Police,107,1,0,0,0,1,11
2011-06,South Wales Police,104,2,0,1,4,4,4
2011-06,South Wales Police,105,0,0,1,0,2,5
2011-06,South Wales Police,39,5,0,0,3,27,24
2011-06,South Wales Police,38,2,0,2,3,47,7
