Month,Force,Neighbourhood,Burglary,Robbery,Vehicle crime,Violent crime,Anti-social behaviour,Other crime
2011-06,Staffordshire Police,IC40,6,1,0,4,13,9
2011-06,Staffordshire Police,FW40,6,0,0,6,13,19
2011-06,Staffordshire Police,FV20,4,0,2,12,16,13
2011-06,Staffordshire Police,IE90,9,0,5,11,26,43
2011-06,Staffordshire Police,IB20,8,0,4,3,16,15
2011-06,Staffordshire Police,FM10,9,0,7,24,44,48
2011-06,Staffordshire Police,IKB0,3,1,4,13,20,42
2011-06,Staffordshire Police,FP20,2,1,2,5,10,12
2011-06,Staffordshire Police,IK90,3,0,0,17,42,25
2011-06,Staffordshire Police,FX20,4,2,1,0,3,8
2011-06,Staffordshire Police,IK10,3,1,2,6,11,12
2011-06,Staffordshire Police,FW30,17,4,6,43,102,81
2011-06,Staffordshire Police,IC50,3,1,2,11,34,21
2011-06,Staffordshire Police,FX80,10,0,6,13,36,33
2011-06,Staffordshire Police,FV30,6,0,7,12,12,20
2011-06,Staffordshire Police,IA00,6,0,2,14,61,52
2011-06,Staffordshire Police,IB10,12,0,0,1,18,15
2011-06,Staffordshire Police,FP70,4,0,2,4,5,3
2011-06,Staffordshire Police,IKC0,2,0,0,5,8,2
2011-06,Staffordshire Police,IK20,4,0,2,8,24,29
2011-06,Staffordshire Police,FX30,3,0,1,9,29,20
2011-06,Staffordshire Police,IE10,8,1,7,10,35,37
2011-06,Staffordshire Police,FW20,2,0,2,14,20,17
2011-06,Staffordshire Police,IKF0,4,1,2,17,62,29
2011-06,Staffordshire Police,IC60,2,0,2,4,23,31
2011-06,Staffordshire Police,FR30,3,0,1,3,5,4
2011-06,Staffordshire Police,IA30,3,0,4,10,39,26
2011-06,Staffordshire Police,FP00,7,1,0,1,5,11
2011-06,Staffordshire Police,FM80,6,0,0,4,30,10
2011-06,Staffordshire Police,FV40,5,0,8,32,73,69
2011-06,Staffordshire Police,IA40,1,0,1,0,16,7
2011-06,Staffordshire Police,IKD0,4,1,0,9,20,17
2011-06,Staffordshire Police,IE60,2,0,4,8,16,22
2011-06,Staffordshire Police,IK30,3,0,1,2,31,12
2011-06,Staffordshire Police,FX00,9,0,5,7,44,37
2011-06,Staffordshire Police,FM60,3,0,6,3,11,9
2011-06,Staffordshire Police,IB70,2,0,2,6,18,22
2011-06,Staffordshire Police,FP30,6,6,6,18,44,78
2011-06,Staffordshire Police,IC70,9,0,3,15,26,41
2011-06,Staffordshire Police,FX60,9,0,7,20,25,25
2011-06,Staffordshire Police,FR20,3,0,3,9,15,11
2011-06,Staffordshire Police,FW10,14,0,5,16,22,38
2011-06,Staffordshire Police,FP10,19,4,12,25,88,89
2011-06,Staffordshire Police,IE50,4,0,5,9,10,51
2011-06,Staffordshire Police,FP60,4,1,0,2,13,10
2011-06,Staffordshire Police,FV50,6,0,0,20,71,41
2011-06,Staffordshire Police,IKE0,5,0,1,9,17,14
2011-06,Staffordshire Police,IE70,2,1,4,13,25,19
2011-06,Staffordshire Police,IK40,3,0,0,4,16,11
2011-06,Staffordshire Police,FX10,10,0,2,5,15,13
2011-06,Staffordshire Police,IA20,4,0,2,12,44,23
2011-06,Staffordshire Police,IB60,4,0,2,33,63,76
2011-06,Staffordshire Police,FW00,6,2,1,39,32,71
2011-06,Staffordshire Police,FX70,6,1,6,5,12,21
2011-06,Staffordshire Police,FR60,3,0,2,8,28,20
2011-06,Staffordshire Police,FV60,9,0,4,41,38,41
2011-06,Staffordshire Police,IC00,3,0,4,6,29,18
2011-06,Staffordshire Police,IB00,6,0,14,14,64,45
2011-06,Staffordshire Police,IC80,8,1,5,15,21,28
2011-06,Staffordshire Police,FM70,1,0,3,13,34,31
2011-06,Staffordshire Police,IK50,4,0,1,4,12,11
2011-06,Staffordshire Police,FM30,3,0,2,4,4,12
2011-06,Staffordshire Police,IA50,2,0,2,6,13,10
2011-06,Staffordshire Police,FX40,6,0,5,9,33,39
2011-06,Staffordshire Police,IE20,4,2,4,10,24,19
2011-06,Staffordshire Police,IB50,17,0,2,9,46,35
2011-06,Staffordshire Police,FR70,1,0,0,6,12,10
2011-06,Staffordshire Police,FP80,12,0,2,6,15,10
2011-06,Staffordshire Police,FM40,5,0,1,6,14,14
2011-06,Staffordshire Police,IC10,1,0,0,8,67,17
2011-06,Staffordshire Police,IK60,3,0,3,5,18,15
2011-06,Staffordshire Police,IC90,4,0,1,3,26,19
2011-06,Staffordshire Police,FR10,5,0,2,4,18,15
2011-06,Staffordshire Police,IE40,5,0,4,9,22,17
2011-06,Staffordshire Police,FM20,4,0,4,22,36,28
2011-06,Staffordshire Police,FV00,10,0,2,4,25,28
2011-06,Staffordshire Police,FR50,2,0,2,5,23,15
2011-06,Staffordshire Police,IB40,9,0,16,19,61,38
2011-06,Staffordshire Police,IE30,7,1,3,7,17,28
2011-06,Staffordshire Police,IC20,9,0,1,7,29,46
2011-06,Staffordshire Police,FR80,6,0,2,1,6,10
2011-06,Staffordshire Police,FV70,4,0,0,6,23,4
2011-06,Staffordshire Police,IK70,5,1,0,9,23,23
2011-06,Staffordshire Police,FP40,16,1,3,21,49,38
2011-06,Staffordshire Police,FR00,7,0,3,23,63,72
2011-06,Staffordshire Police,IA60,9,0,2,3,22,33
2011-06,Staffordshire Police,ICA0,6,1,7,11,73,36
2011-06,Staffordshire Police,FM00,16,0,2,51,64,90
2011-06,Staffordshire Police,IA10,4,0,2,2,15,10
2011-06,Staffordshire Police,FV10,0,0,1,5,7,4
2011-06,Staffordshire Police,IC30,4,0,1,7,32,27
2011-06,Staffordshire Police,FM50,6,0,3,7,8,27
2011-06,Staffordshire Police,IE00,16,2,8,52,58,159
2011-06,Staffordshire Police,IE80,2,1,0,4,7,7
2011-06,Staffordshire Police,IB30,14,0,5,8,37,24
2011-06,Staffordshire Police,IKA0,3,0,1,1,8,2
2011-06,Staffordshire Police,IK80,0,0,0,2,15,10
2011-06,Staffordshire Police,FP50,3,0,0,6,11,19
2011-06,Staffordshire Police,FR40,3,0,3,1,8,12
2011-06,Staffordshire Police,IK00,2,0,4,6,21,14
2011-06,Staffordshire Police,FX50,6,0,10,3,10,9
