Month,Force,Neighbourhood,Burglary,Robbery,Vehicle crime,Violent crime,Anti-social behaviour,Other crime
2011-06,Wiltshire Police,DN,24,3,15,16,137,79
2011-06,Wiltshire Police,DE,36,2,15,33,197,70
2011-06,Wiltshire Police,DC,27,2,8,16,173,90
2011-06,Wiltshire Police,DA,11,0,11,14,112,76
2011-06,Wiltshire Police,DW,17,1,6,26,89,53
2011-06,Wiltshire Police,DT,26,2,20,63,228,200
2011-06,Wiltshire Police,DS,22,0,10,17,78,60
2011-06,Wiltshire Police,EM,15,0,11,21,76,150
2011-06,Wiltshire Police,EL,8,0,3,11,66,16
2011-06,Wiltshire Police,EO,5,0,2,12,60,41
2011-06,Wiltshire Police,EN,9,0,3,13,75,34
2011-06,Wiltshire Police,EH,3,0,10,6,37,14
2011-06,Wiltshire Police,ED,4,0,5,15,80,64
2011-06,Wiltshire Police,EG,17,0,3,13,76,43
2011-06,Wiltshire Police,EF,4,0,4,8,60,36
2011-06,Wiltshire Police,EA,8,0,6,8,47,32
2011-06,Wiltshire Police,EC,6,0,2,7,27,12
2011-06,Wiltshire Police,EB,3,0,1,0,5,8
2011-06,Wiltshire Police,EY,3,0,3,6,29,16
2011-06,Wiltshire Police,EZ,31,0,10,20,110,61
2011-06,Wiltshire Police,EU,13,0,8,11,39,35
2011-06,Wiltshire Police,ET,16,2,28,52,211,150
2011-06,Wiltshire Police,EW,2,0,4,0,25,20
2011-06,Wiltshire Police,EV,0,0,1,4,13,10
2011-06,Wiltshire Police,EP,5,2,10,24,170,87
2011-06,Wiltshire Police,ES,33,1,23,52,214,153
2011-06,Wiltshire Police,ER,12,0,2,9,78,49
