Month,Force,Neighbourhood,Burglary,Robbery,Vehicle crime,Violent crime,Anti-social behaviour,Other crime
2011-07,Derbyshire Constabulary,BX02,2,0,2,7,28,10
2011-07,Derbyshire Constabulary,BX03,2,0,2,2,25,10
2011-07,Derbyshire Constabulary,BX01,3,0,5,1,12,20
2011-07,Derbyshire Constabulary,BX06,1,0,5,11,39,24
2011-07,Derbyshire Constabulary,BX07,0,0,1,1,4,5
2011-07,Derbyshire Constabulary,BX04,1,0,3,1,11,7
2011-07,Derbyshire Constabulary,BX05,5,0,4,14,98,73
2011-07,Derbyshire Constabulary,DL04,11,0,4,19,60,27
2011-07,Derbyshire Constabulary,DL05,18,5,19,13,76,40
2011-07,Derbyshire Constabulary,DL06,14,2,8,19,46,42
2011-07,Derbyshire Constabulary,DL01,2,0,6,5,25,15
2011-07,Derbyshire Constabulary,DL02,7,0,5,2,29,29
2011-07,Derbyshire Constabulary,DL03,1,2,3,6,38,16
2011-07,Derbyshire Constabulary,DK03,7,0,3,13,44,29
2011-07,Derbyshire Constabulary,DK02,14,0,8,16,106,32
2011-07,Derbyshire Constabulary,DK01,4,0,3,9,39,10
2011-07,Derbyshire Constabulary,DK05,12,0,7,14,82,31
2011-07,Derbyshire Constabulary,DK04,8,2,9,26,73,72
2011-07,Derbyshire Constabulary,DW05,15,4,5,38,169,86
2011-07,Derbyshire Constabulary,DW04,13,5,12,50,193,90
2011-07,Derbyshire Constabulary,DW03,17,2,8,16,87,74
2011-07,Derbyshire Constabulary,DW02,11,3,7,18,91,53
2011-07,Derbyshire Constabulary,CB07,20,0,11,16,65,57
2011-07,Derbyshire Constabulary,CB05,8,0,22,10,66,40
2011-07,Derbyshire Constabulary,CB04,10,0,6,3,34,18
2011-07,Derbyshire Constabulary,CB03,11,0,1,3,32,17
2011-07,Derbyshire Constabulary,CT04,2,0,4,7,32,10
2011-07,Derbyshire Constabulary,CB01,0,0,2,0,7,10
2011-07,Derbyshire Constabulary,CV10,6,1,11,10,68,27
2011-07,Derbyshire Constabulary,CV11,7,0,6,5,40,15
2011-07,Derbyshire Constabulary,CV12,5,1,1,1,18,14
2011-07,Derbyshire Constabulary,CV13,13,1,7,16,102,47
2011-07,Derbyshire Constabulary,CX08,7,0,4,7,65,32
2011-07,Derbyshire Constabulary,CX05,2,3,2,4,35,12
2011-07,Derbyshire Constabulary,CX04,2,0,1,2,9,5
2011-07,Derbyshire Constabulary,CX07,3,0,2,10,78,25
2011-07,Derbyshire Constabulary,CX06,4,0,4,19,62,25
2011-07,Derbyshire Constabulary,CX01,4,0,4,6,42,17
2011-07,Derbyshire Constabulary,CX03,2,0,3,9,50,27
2011-07,Derbyshire Constabulary,CX02,4,0,3,5,53,27
2011-07,Derbyshire Constabulary,DN04,11,1,12,39,197,103
2011-07,Derbyshire Constabulary,DN05,12,1,13,35,131,85
2011-07,Derbyshire Constabulary,DN02,22,1,20,40,135,81
2011-07,Derbyshire Constabulary,DN03,10,3,15,97,294,309
2011-07,Derbyshire Constabulary,DW01,4,0,0,3,52,18
2011-07,Derbyshire Constabulary,DN01,11,0,9,16,53,52
2011-07,Derbyshire Constabulary,CV03,1,0,3,1,8,14
2011-07,Derbyshire Constabulary,CV02,3,1,6,1,12,10
2011-07,Derbyshire Constabulary,CV01,3,0,1,0,5,6
2011-07,Derbyshire Constabulary,CV07,9,0,2,11,78,46
2011-07,Derbyshire Constabulary,CV06,17,0,10,19,91,42
2011-07,Derbyshire Constabulary,CV05,3,0,9,16,66,51
2011-07,Derbyshire Constabulary,CV04,8,0,3,12,64,48
2011-07,Derbyshire Constabulary,CV09,1,0,2,2,13,9
2011-07,Derbyshire Constabulary,CV08,17,0,3,20,103,40
2011-07,Derbyshire Constabulary,BS12,10,0,0,2,6,9
2011-07,Derbyshire Constabulary,BS10,3,0,0,1,8,4
2011-07,Derbyshire Constabulary,BS11,1,0,1,8,45,26
2011-07,Derbyshire Constabulary,DS03,12,0,8,6,40,34
2011-07,Derbyshire Constabulary,DS02,13,0,6,9,37,27
2011-07,Derbyshire Constabulary,DS01,9,0,13,9,38,26
2011-07,Derbyshire Constabulary,DS06,3,0,0,7,29,12
2011-07,Derbyshire Constabulary,DS05,3,1,6,15,83,37
2011-07,Derbyshire Constabulary,DS04,9,1,10,28,145,88
2011-07,Derbyshire Constabulary,BH02,11,0,6,20,78,40
2011-07,Derbyshire Constabulary,BH03,3,0,2,9,15,11
2011-07,Derbyshire Constabulary,BH01,6,2,1,13,65,22
2011-07,Derbyshire Constabulary,BH04,4,0,3,10,67,18
2011-07,Derbyshire Constabulary,CT10,11,0,1,17,74,43
2011-07,Derbyshire Constabulary,CT11,1,0,1,32,77,67
2011-07,Derbyshire Constabulary,BS09,3,0,0,1,6,3
2011-07,Derbyshire Constabulary,BS08,2,0,4,2,20,8
2011-07,Derbyshire Constabulary,BS01,3,0,8,2,27,15
2011-07,Derbyshire Constabulary,BS03,2,0,0,2,21,9
2011-07,Derbyshire Constabulary,BS02,3,0,0,1,14,6
2011-07,Derbyshire Constabulary,BS05,2,0,0,0,15,16
2011-07,Derbyshire Constabulary,BS04,2,0,0,0,17,8
2011-07,Derbyshire Constabulary,BS07,3,0,2,4,16,12
2011-07,Derbyshire Constabulary,BS06,2,0,1,14,59,48
2011-07,Derbyshire Constabulary,DE04,7,0,3,9,84,39
2011-07,Derbyshire Constabulary,DE01,24,2,20,38,130,104
2011-07,Derbyshire Constabulary,DE03,2,0,2,21,107,41
2011-07,Derbyshire Constabulary,DE02,12,0,10,25,162,94
2011-07,Derbyshire Constabulary,CT01,12,1,19,7,58,39
2011-07,Derbyshire Constabulary,CB06,0,0,4,2,19,8
2011-07,Derbyshire Constabulary,CT03,4,1,5,8,39,19
2011-07,Derbyshire Constabulary,CT02,0,1,2,4,47,12
2011-07,Derbyshire Constabulary,CT05,3,1,5,14,47,24
2011-07,Derbyshire Constabulary,CB02,1,0,1,6,25,10
2011-07,Derbyshire Constabulary,CT07,17,1,8,13,76,48
2011-07,Derbyshire Constabulary,CT06,12,0,0,18,110,58
2011-07,Derbyshire Constabulary,CT09,5,1,2,13,88,45
2011-07,Derbyshire Constabulary,CT08,2,0,0,2,26,16
2011-07,Derbyshire Constabulary,CB09,9,0,7,8,35,24
2011-07,Derbyshire Constabulary,CB08,4,0,0,3,17,9
