Month,Force,Neighbourhood,Burglary,Robbery,Vehicle crime,Violent crime,Anti-social behaviour,Other crime
2011-07,Hampshire Constabulary,2LE11,1,0,1,0,9,7
2011-07,Hampshire Constabulary,2LE10,0,0,0,1,13,5
2011-07,Hampshire Constabulary,2LE12,3,0,2,12,50,25
2011-07,Hampshire Constabulary,4PS02,23,1,12,41,79,62
2011-07,Hampshire Constabulary,4PS03,13,1,10,24,76,64
2011-07,Hampshire Constabulary,6EE02,1,0,0,7,34,13
2011-07,Hampshire Constabulary,4PS04,19,2,7,43,82,58
2011-07,Hampshire Constabulary,3BW03,4,0,1,4,14,13
2011-07,Hampshire Constabulary,3BW02,6,0,2,2,9,9
2011-07,Hampshire Constabulary,3BW01,4,0,1,0,16,12
2011-07,Hampshire Constabulary,3BW07,6,0,3,2,12,9
2011-07,Hampshire Constabulary,3BW06,5,0,1,3,15,5
2011-07,Hampshire Constabulary,3BW05,4,0,2,9,18,8
2011-07,Hampshire Constabulary,3BW04,1,0,2,1,8,13
2011-07,Hampshire Constabulary,3BW09,1,0,0,2,17,3
2011-07,Hampshire Constabulary,3BW08,8,0,1,10,38,27
2011-07,Hampshire Constabulary,6EE08,5,0,7,8,22,15
2011-07,Hampshire Constabulary,4PF05,11,0,12,13,47,51
2011-07,Hampshire Constabulary,4PF04,10,0,6,38,80,65
2011-07,Hampshire Constabulary,4PF03,7,0,11,20,64,63
2011-07,Hampshire Constabulary,4PF02,17,3,34,39,101,85
2011-07,Hampshire Constabulary,4PF01,7,3,6,17,63,46
2011-07,Hampshire Constabulary,6TR01,3,0,1,9,25,29
2011-07,Hampshire Constabulary,2LE06,3,0,0,2,5,5
2011-07,Hampshire Constabulary,2LE07,6,1,4,38,89,50
2011-07,Hampshire Constabulary,2LE04,10,0,4,3,17,9
2011-07,Hampshire Constabulary,2LE05,3,0,3,3,26,14
2011-07,Hampshire Constabulary,2LE02,6,0,1,6,22,13
2011-07,Hampshire Constabulary,2LE03,3,0,2,24,52,34
2011-07,Hampshire Constabulary,2LE01,4,0,4,6,51,26
2011-07,Hampshire Constabulary,2LE08,2,0,1,13,51,25
2011-07,Hampshire Constabulary,2LE09,0,0,1,8,43,24
2011-07,Hampshire Constabulary,1JH03,8,0,5,16,57,70
2011-07,Hampshire Constabulary,6NT03,1,0,5,4,19,16
2011-07,Hampshire Constabulary,3RA05,7,0,2,13,19,19
2011-07,Hampshire Constabulary,2LW11,5,0,6,9,44,18
2011-07,Hampshire Constabulary,2LW10,1,0,0,2,6,5
2011-07,Hampshire Constabulary,3HL01,2,0,15,14,26,29
2011-07,Hampshire Constabulary,3BB08,2,0,2,6,13,15
2011-07,Hampshire Constabulary,1FF03,5,0,0,2,10,9
2011-07,Hampshire Constabulary,6EE07,0,0,2,1,2,3
2011-07,Hampshire Constabulary,6TR03,2,0,2,6,25,19
2011-07,Hampshire Constabulary,5YN02,19,4,25,49,167,100
2011-07,Hampshire Constabulary,3BB07,3,0,5,2,16,12
2011-07,Hampshire Constabulary,3OL03,2,0,2,2,9,10
2011-07,Hampshire Constabulary,3OL02,1,0,2,0,5,7
2011-07,Hampshire Constabulary,3OL01,6,1,3,34,74,52
2011-07,Hampshire Constabulary,3OL05,7,0,6,0,6,7
2011-07,Hampshire Constabulary,3OL04,5,0,0,3,3,6
2011-07,Hampshire Constabulary,1FP02,2,0,0,7,24,13
2011-07,Hampshire Constabulary,1FP03,2,0,5,0,23,18
2011-07,Hampshire Constabulary,2LW06,3,0,3,12,46,19
2011-07,Hampshire Constabulary,1FP01,0,0,3,5,17,14
2011-07,Hampshire Constabulary,1FP06,1,0,2,6,16,21
2011-07,Hampshire Constabulary,2LW01,2,0,2,32,61,54
2011-07,Hampshire Constabulary,1FP04,1,0,0,8,18,22
2011-07,Hampshire Constabulary,1FP05,5,0,1,1,22,25
2011-07,Hampshire Constabulary,1FF08,1,0,2,8,14,13
2011-07,Hampshire Constabulary,1FP08,1,0,5,7,29,25
2011-07,Hampshire Constabulary,2LW08,5,0,4,6,20,15
2011-07,Hampshire Constabulary,2LW09,0,0,3,5,13,8
2011-07,Hampshire Constabulary,3BB03,2,1,2,6,28,15
2011-07,Hampshire Constabulary,3OW08,6,0,3,1,7,13
2011-07,Hampshire Constabulary,6TR02,2,0,2,8,36,13
2011-07,Hampshire Constabulary,5SE01,7,4,4,19,97,46
2011-07,Hampshire Constabulary,3OW01,12,0,2,21,51,33
2011-07,Hampshire Constabulary,3OW02,2,0,0,2,5,3
2011-07,Hampshire Constabulary,3OW03,0,0,0,2,2,0
2011-07,Hampshire Constabulary,3OW04,5,3,3,12,23,13
2011-07,Hampshire Constabulary,3OW05,2,0,5,2,22,14
2011-07,Hampshire Constabulary,3OW06,2,0,1,5,14,9
2011-07,Hampshire Constabulary,3OW07,6,1,13,21,66,60
2011-07,Hampshire Constabulary,6EH01,3,1,8,7,27,19
2011-07,Hampshire Constabulary,6EH02,5,1,10,23,87,48
2011-07,Hampshire Constabulary,6EH03,6,0,4,1,18,23
2011-07,Hampshire Constabulary,6EH04,6,0,3,10,34,28
2011-07,Hampshire Constabulary,6EH05,1,1,2,13,22,13
2011-07,Hampshire Constabulary,6EH06,7,0,2,10,25,20
2011-07,Hampshire Constabulary,5SW03,12,5,5,56,113,94
2011-07,Hampshire Constabulary,3RF08,11,0,4,16,50,38
2011-07,Hampshire Constabulary,5SE02,2,3,12,10,32,19
2011-07,Hampshire Constabulary,6TA03,2,0,2,24,50,26
2011-07,Hampshire Constabulary,4PS01,14,0,17,19,67,71
2011-07,Hampshire Constabulary,3RA04,3,0,0,3,18,5
2011-07,Hampshire Constabulary,3RA06,2,1,0,3,18,5
2011-07,Hampshire Constabulary,3RA01,6,1,0,27,74,73
2011-07,Hampshire Constabulary,3RA03,5,1,3,10,53,27
2011-07,Hampshire Constabulary,3RA02,9,0,6,9,40,24
2011-07,Hampshire Constabulary,3RF02,5,0,0,8,24,15
2011-07,Hampshire Constabulary,5SE03,3,8,4,37,78,35
2011-07,Hampshire Constabulary,4PC03,25,1,33,45,160,98
2011-07,Hampshire Constabulary,1JW01,3,1,3,27,82,34
2011-07,Hampshire Constabulary,1JH04,6,0,2,14,47,30
2011-07,Hampshire Constabulary,1JW02,5,0,5,9,28,31
2011-07,Hampshire Constabulary,1JH02,8,0,1,4,29,20
2011-07,Hampshire Constabulary,1JW04,10,0,5,9,63,34
2011-07,Hampshire Constabulary,1JW06,1,0,5,4,9,10
2011-07,Hampshire Constabulary,4PC01,4,4,5,37,84,72
2011-07,Hampshire Constabulary,1GW02,4,1,3,32,92,73
2011-07,Hampshire Constabulary,1GW01,6,3,4,27,99,33
2011-07,Hampshire Constabulary,6EE04,10,0,10,18,42,28
2011-07,Hampshire Constabulary,4PC04,2,2,10,78,66,178
2011-07,Hampshire Constabulary,3BB14,9,0,4,12,44,28
2011-07,Hampshire Constabulary,6TA11,6,1,1,2,4,17
2011-07,Hampshire Constabulary,6TA10,0,0,2,1,4,2
2011-07,Hampshire Constabulary,6TA13,1,0,0,2,5,4
2011-07,Hampshire Constabulary,6TA12,2,0,4,3,12,13
2011-07,Hampshire Constabulary,2LW04,3,0,5,8,22,12
2011-07,Hampshire Constabulary,5AN01,8,1,12,21,54,42
2011-07,Hampshire Constabulary,3BB16,1,0,4,2,12,5
2011-07,Hampshire Constabulary,2LW05,4,0,0,6,25,25
2011-07,Hampshire Constabulary,6NH01,3,0,8,12,58,51
2011-07,Hampshire Constabulary,6TA05,4,2,3,10,45,14
2011-07,Hampshire Constabulary,6NH03,4,0,2,9,16,19
2011-07,Hampshire Constabulary,6NH02,3,0,3,5,28,8
2011-07,Hampshire Constabulary,6NH05,4,0,5,9,36,21
2011-07,Hampshire Constabulary,6NH04,2,0,2,11,28,29
2011-07,Hampshire Constabulary,5YN01,11,1,18,38,93,74
2011-07,Hampshire Constabulary,2LW07,2,0,1,0,9,2
