Month,Force,Neighbourhood,Burglary,Robbery,Vehicle crime,Violent crime,Anti-social behaviour,Other crime
2011-07,Kent Police,216,2,0,1,2,8,8
2011-07,Kent Police,217,4,0,2,3,16,10
2011-07,Kent Police,214,5,0,1,4,4,13
2011-07,Kent Police,215,1,0,1,6,20,28
2011-07,Kent Police,265,6,0,1,7,16,8
2011-07,Kent Police,210,2,0,0,12,17,35
2011-07,Kent Police,165,15,0,14,8,28,39
2011-07,Kent Police,127,2,0,0,8,27,15
2011-07,Kent Police,178,5,0,4,2,14,18
2011-07,Kent Police,218,3,0,0,5,5,7
2011-07,Kent Police,219,2,0,0,1,4,6
2011-07,Kent Police,133,2,0,1,2,20,19
2011-07,Kent Police,91,0,0,0,3,8,6
2011-07,Kent Police,131,1,0,0,1,1,2
2011-07,Kent Police,130,0,0,3,6,11,5
2011-07,Kent Police,137,3,0,0,2,7,13
2011-07,Kent Police,136,7,1,8,38,87,73
2011-07,Kent Police,135,7,1,5,22,55,27
2011-07,Kent Police,226,0,0,0,1,6,4
2011-07,Kent Police,139,0,0,1,5,21,26
2011-07,Kent Police,138,1,0,0,9,22,14
2011-07,Kent Police,93,3,0,0,1,1,8
2011-07,Kent Police,24,2,0,3,4,12,11
2011-07,Kent Police,25,0,0,2,7,18,8
2011-07,Kent Police,26,1,0,3,0,6,4
2011-07,Kent Police,92,2,0,0,0,6,1
2011-07,Kent Police,20,10,0,3,11,62,48
2011-07,Kent Police,21,2,0,4,5,37,20
2011-07,Kent Police,22,3,1,4,8,22,24
2011-07,Kent Police,23,1,0,6,10,26,29
2011-07,Kent Police,95,0,0,1,3,10,10
2011-07,Kent Police,198,12,0,3,1,8,11
2011-07,Kent Police,28421,0,0,2,1,8,1
2011-07,Kent Police,29,4,0,2,3,14,11
2011-07,Kent Police,222,0,0,2,2,3,9
2011-07,Kent Police,289,8,1,11,15,63,64
2011-07,Kent Police,288,1,0,4,4,17,12
2011-07,Kent Police,4,7,0,13,23,132,81
2011-07,Kent Police,281,5,0,1,0,12,8
2011-07,Kent Police,280,2,0,1,0,8,3
2011-07,Kent Police,283,5,1,3,21,85,86
2011-07,Kent Police,96,0,0,0,1,11,12
2011-07,Kent Police,285,2,0,1,2,14,8
2011-07,Kent Police,284,9,0,7,3,36,30
2011-07,Kent Police,287,4,0,2,8,16,18
2011-07,Kent Police,286,3,0,1,0,11,4
2011-07,Kent Police,119,2,0,2,7,19,24
2011-07,Kent Police,10,5,0,2,8,22,20
2011-07,Kent Police,40702,6,0,2,2,21,8
2011-07,Kent Police,40703,3,0,2,6,29,22
2011-07,Kent Police,40700,8,0,4,3,5,7
2011-07,Kent Police,40701,1,1,3,3,4,12
2011-07,Kent Police,263,4,0,0,1,5,6
2011-07,Kent Police,262,5,4,2,16,56,33
2011-07,Kent Police,261,1,0,1,2,8,2
2011-07,Kent Police,12,6,0,10,3,27,21
2011-07,Kent Police,267,1,1,1,2,23,16
2011-07,Kent Police,266,1,0,1,9,25,21
2011-07,Kent Police,126,5,1,5,14,47,49
2011-07,Kent Police,264,4,0,2,4,12,33
2011-07,Kent Police,114,3,0,3,4,36,14
2011-07,Kent Police,129,0,0,3,1,13,10
2011-07,Kent Police,269,12,0,2,13,35,27
2011-07,Kent Police,268,2,0,1,1,4,4
2011-07,Kent Police,167,9,0,4,3,26,10
2011-07,Kent Police,161,2,0,3,10,26,18
2011-07,Kent Police,59,5,0,6,8,35,28
2011-07,Kent Police,58,3,0,2,26,49,30
2011-07,Kent Police,132,2,0,3,6,43,22
2011-07,Kent Police,55,7,0,5,15,45,36
2011-07,Kent Police,54,5,0,0,5,18,34
2011-07,Kent Police,57,8,4,4,48,111,122
2011-07,Kent Police,56,2,0,4,6,12,26
2011-07,Kent Police,51,4,0,5,1,8,15
2011-07,Kent Police,62,1,0,1,1,5,4
2011-07,Kent Police,53,0,0,1,2,6,7
2011-07,Kent Police,52,1,0,3,2,7,7
2011-07,Kent Police,124,4,2,3,8,60,18
2011-07,Kent Police,259,2,0,0,3,6,5
2011-07,Kent Police,298,1,2,1,2,26,17
2011-07,Kent Police,299,4,0,4,7,22,26
2011-07,Kent Police,296,2,1,1,1,5,3
2011-07,Kent Police,145,1,0,0,0,1,2
2011-07,Kent Police,294,6,3,2,30,82,44
2011-07,Kent Police,295,0,0,2,5,17,18
2011-07,Kent Police,293,8,2,2,17,26,26
2011-07,Kent Police,290,1,0,0,1,11,8
2011-07,Kent Police,291,1,0,0,0,23,0
2011-07,Kent Police,164,0,0,1,0,3,8
2011-07,Kent Police,199,4,0,4,0,6,6
2011-07,Kent Police,179,7,1,4,28,77,54
2011-07,Kent Police,147,5,0,0,4,11,7
2011-07,Kent Police,134,4,1,2,9,28,24
2011-07,Kent Police,194,2,0,1,1,8,14
2011-07,Kent Police,197,1,0,7,4,10,5
2011-07,Kent Police,196,3,0,1,5,1,7
2011-07,Kent Police,191,2,0,3,0,7,0
2011-07,Kent Police,144,1,0,2,3,16,12
2011-07,Kent Police,193,1,1,2,5,12,28
2011-07,Kent Police,50,3,0,2,1,2,13
2011-07,Kent Police,365118,0,1,2,2,22,10
2011-07,Kent Police,68,1,0,1,3,25,24
2011-07,Kent Police,88,0,0,3,0,7,3
2011-07,Kent Police,89,3,0,0,8,15,41
2011-07,Kent Police,274,2,0,3,0,4,11
2011-07,Kent Police,275,4,0,7,9,33,65
2011-07,Kent Police,113,2,0,2,2,8,16
2011-07,Kent Police,69,6,0,6,13,38,29
2011-07,Kent Police,82,3,0,3,3,10,5
2011-07,Kent Police,83,0,0,4,2,17,12
2011-07,Kent Police,80,0,0,0,0,4,1
2011-07,Kent Police,81,2,0,0,1,1,4
2011-07,Kent Police,86,0,0,2,3,1,1
2011-07,Kent Police,87,0,0,1,1,7,4
2011-07,Kent Police,84,1,0,2,1,15,6
2011-07,Kent Police,85,3,0,1,1,11,7
2011-07,Kent Police,117,7,0,4,19,55,35
2011-07,Kent Police,174,4,0,5,3,3,22
2011-07,Kent Police,140,0,0,1,4,19,5
2011-07,Kent Police,173,1,0,0,1,4,5
2011-07,Kent Police,141,0,0,1,2,16,13
2011-07,Kent Police,257,2,0,2,6,31,24
2011-07,Kent Police,27,0,0,1,4,6,11
2011-07,Kent Police,177,5,0,5,7,29,22
2011-07,Kent Police,171,4,0,5,6,12,14
2011-07,Kent Police,7,5,0,10,20,133,42
2011-07,Kent Police,273,1,0,2,0,10,14
2011-07,Kent Police,170,0,0,0,1,7,1
2011-07,Kent Police,166,5,0,5,20,60,61
2011-07,Kent Police,149473,0,0,0,0,0,0
2011-07,Kent Police,115,1,0,2,2,5,12
2011-07,Kent Police,300,8,1,1,12,34,39
2011-07,Kent Police,301,1,0,2,6,27,48
2011-07,Kent Police,302,2,0,2,9,30,15
2011-07,Kent Police,303,11,0,5,7,33,15
2011-07,Kent Police,305,3,0,2,4,24,24
2011-07,Kent Police,306,8,0,1,11,32,18
2011-07,Kent Police,307,4,0,4,8,38,19
2011-07,Kent Police,245,9,0,2,16,57,47
2011-07,Kent Police,244,1,0,1,3,6,7
2011-07,Kent Police,108,1,0,0,4,3,4
2011-07,Kent Police,246,1,0,1,0,0,4
2011-07,Kent Police,241,0,0,2,3,14,7
2011-07,Kent Police,240,1,0,2,0,4,2
2011-07,Kent Police,243,2,0,6,9,13,23
2011-07,Kent Police,242,2,0,2,0,15,7
2011-07,Kent Police,102,3,2,3,26,73,72
2011-07,Kent Police,103,0,0,0,1,13,1
2011-07,Kent Police,100,0,0,0,0,5,8
2011-07,Kent Police,101,0,0,0,2,10,9
2011-07,Kent Police,249,0,0,3,7,15,4
2011-07,Kent Police,107,8,0,2,1,7,2
2011-07,Kent Police,104,2,0,2,0,6,12
2011-07,Kent Police,105,0,0,0,0,2,0
2011-07,Kent Police,39,6,0,3,3,16,26
2011-07,Kent Police,38,1,0,4,0,1,6
2011-07,Kent Police,33,6,6,6,22,48,35
2011-07,Kent Police,32,10,1,10,2,37,21
2011-07,Kent Police,31,1,0,2,6,18,15
2011-07,Kent Police,368635,12,1,4,37,117,85
2011-07,Kent Police,37,3,0,1,0,9,10
2011-07,Kent Police,247,1,0,1,0,3,8
2011-07,Kent Police,35,4,0,4,10,29,12
2011-07,Kent Police,34,9,0,2,23,59,28
2011-07,Kent Police,109,3,0,3,3,13,9
2011-07,Kent Police,162,0,1,5,15,39,33
2011-07,Kent Police,160,5,0,4,1,7,9
2011-07,Kent Police,205,2,0,0,0,1,1
2011-07,Kent Police,368390,9,0,11,27,90,71
2011-07,Kent Police,271,4,0,4,23,84,41
2011-07,Kent Police,28,6,0,6,4,22,20
2011-07,Kent Police,169,8,0,5,18,57,41
2011-07,Kent Police,176,11,0,5,11,49,19
2011-07,Kent Police,60,6,0,4,4,52,15
2011-07,Kent Police,61,4,0,2,3,19,15
2011-07,Kent Police,258,3,1,1,6,20,17
2011-07,Kent Police,63,6,0,5,6,24,17
2011-07,Kent Police,64,3,0,2,9,27,41
2011-07,Kent Police,65,4,1,3,4,8,8
2011-07,Kent Police,66,0,0,0,0,15,9
2011-07,Kent Police,67,2,0,3,11,34,28
2011-07,Kent Police,252,1,0,3,17,48,43
2011-07,Kent Police,253,0,0,0,2,19,10
2011-07,Kent Police,250,1,0,3,0,8,2
2011-07,Kent Police,251,1,0,1,8,16,11
2011-07,Kent Police,256,1,1,3,2,18,21
2011-07,Kent Police,172,2,0,0,1,12,5
2011-07,Kent Police,254,1,0,0,2,15,7
2011-07,Kent Police,255,1,0,0,4,13,22
2011-07,Kent Police,181,6,0,2,6,14,7
2011-07,Kent Police,183,10,0,6,9,51,23
2011-07,Kent Police,106,1,0,2,1,3,4
2011-07,Kent Police,175,7,0,1,1,5,3
2011-07,Kent Police,28422,1,0,0,2,17,7
2011-07,Kent Police,248,1,0,4,1,7,11
2011-07,Kent Police,182,2,0,2,2,7,10
2011-07,Kent Police,195,3,0,4,5,22,9
2011-07,Kent Police,180,8,1,11,23,95,42
2011-07,Kent Police,2,2,0,2,4,14,15
2011-07,Kent Police,186,7,0,4,0,23,12
2011-07,Kent Police,187,0,0,0,0,0,0
2011-07,Kent Police,184,5,1,2,7,34,12
2011-07,Kent Police,6,4,0,2,4,35,15
2011-07,Kent Police,189,2,0,0,3,11,8
2011-07,Kent Police,221,1,0,1,5,7,11
2011-07,Kent Police,185,6,0,0,2,21,14
2011-07,Kent Police,192,4,0,1,2,2,2
2011-07,Kent Police,99,2,0,2,5,10,18
2011-07,Kent Police,98,0,0,1,8,18,17
2011-07,Kent Police,163,4,0,5,6,22,13
2011-07,Kent Police,168,5,1,0,5,6,6
2011-07,Kent Police,8,7,0,8,13,26,29
