Month,Force,Neighbourhood,Burglary,Robbery,Vehicle crime,Violent crime,Anti-social behaviour,Other crime
2011-07,Northamptonshire Police,SCT112,4,0,5,5,48,42
2011-07,Northamptonshire Police,SCT141,26,0,13,46,167,112
2011-07,Northamptonshire Police,SCT164,71,8,62,90,371,263
2011-07,Northamptonshire Police,SCT152,15,1,12,13,70,75
2011-07,Northamptonshire Police,SCT165,41,11,38,57,304,207
2011-07,Northamptonshire Police,SCT151,28,0,20,44,153,164
2011-07,Northamptonshire Police,SCT101,5,0,2,6,33,33
2011-07,Northamptonshire Police,SCT103,8,0,11,23,106,78
2011-07,Northamptonshire Police,SCT102,18,1,12,58,189,129
2011-07,Northamptonshire Police,SCT163,36,9,54,91,309,259
2011-07,Northamptonshire Police,SCT162,23,11,20,172,378,339
2011-07,Northamptonshire Police,SCT111,32,3,28,112,328,226
2011-07,Northamptonshire Police,SCT122,13,1,10,35,139,95
2011-07,Northamptonshire Police,SCT121,30,4,34,95,257,266
2011-07,Northamptonshire Police,SCT142,37,0,28,34,148,126
2011-07,Northamptonshire Police,SCT131,49,4,44,86,339,298
2011-07,Northamptonshire Police,SCT132,7,0,15,17,100,57
