Month,Force,Neighbourhood,Burglary,Robbery,Vehicle crime,Violent crime,Anti-social behaviour,Other crime
2011-07,Sussex Police,CE3NH12,6,1,16,12,119,45
2011-07,Sussex Police,EW2NH30,4,0,1,3,29,14
2011-07,Sussex Police,CW2NH1,12,1,6,12,73,52
2011-07,Sussex Police,CW2NH2,7,1,1,7,73,31
2011-07,Sussex Police,EE3NH21,0,0,0,4,27,23
2011-07,Sussex Police,ES2NH4,0,0,6,4,23,8
2011-07,Sussex Police,ER3NH38,5,0,2,1,22,7
2011-07,Sussex Police,ER3NH39,3,0,0,4,34,22
2011-07,Sussex Police,WH2NH11,7,0,3,4,56,34
2011-07,Sussex Police,WH2NH10,4,0,8,2,34,33
2011-07,Sussex Police,EW1NH19,2,2,3,7,22,13
2011-07,Sussex Police,WW2NH6,12,0,7,9,53,21
2011-07,Sussex Police,ER3NH31,2,0,2,3,14,2
2011-07,Sussex Police,WH1NH2,1,1,6,9,43,25
2011-07,Sussex Police,ES2NH30,1,0,4,2,11,4
2011-07,Sussex Police,WW2NH12,4,0,4,4,34,10
2011-07,Sussex Police,WW2NH13,4,0,9,2,29,16
2011-07,Sussex Police,WW2NH10,2,0,1,5,37,19
2011-07,Sussex Police,WW2NH11,1,0,3,7,19,9
2011-07,Sussex Police,EW2NH22,3,0,2,4,35,22
2011-07,Sussex Police,ES1NH22,2,0,5,0,13,10
2011-07,Sussex Police,EW2NH24,2,0,0,1,8,3
2011-07,Sussex Police,WH1NH1,3,0,5,4,27,8
2011-07,Sussex Police,CC2NH4,1,0,1,3,15,5
2011-07,Sussex Police,CC2NH5,1,1,2,0,14,6
2011-07,Sussex Police,CC2NH6,2,0,5,6,48,14
2011-07,Sussex Police,CE2NH1,4,0,4,11,85,40
2011-07,Sussex Police,CE2NH6,0,0,0,3,10,6
2011-07,Sussex Police,ER2NH2,0,0,0,1,9,2
2011-07,Sussex Police,CE2NH4,0,0,1,0,11,4
2011-07,Sussex Police,CC2NH3,2,0,0,8,67,19
2011-07,Sussex Police,EH3NH13,1,0,0,2,36,12
2011-07,Sussex Police,CC2NH8,3,1,7,13,73,39
2011-07,Sussex Police,EH3NH15,5,0,0,5,36,13
2011-07,Sussex Police,EE2NH1,1,0,0,1,13,4
2011-07,Sussex Police,WH1NH4,2,0,5,9,57,19
2011-07,Sussex Police,EH3NH8,1,0,1,12,83,36
2011-07,Sussex Police,EH3NH9,2,0,2,4,24,7
2011-07,Sussex Police,EW2NH36,1,0,3,1,17,9
2011-07,Sussex Police,EW2NH37,0,0,0,0,4,2
2011-07,Sussex Police,EW2NH35,1,0,1,2,11,12
2011-07,Sussex Police,EE3NH22,1,0,0,2,7,0
2011-07,Sussex Police,EW2NH33,4,0,2,7,36,21
2011-07,Sussex Police,EE3NH20,0,0,0,1,6,1
2011-07,Sussex Police,EW2NH31,0,0,0,1,6,1
2011-07,Sussex Police,EW2NH39,0,0,0,0,4,3
2011-07,Sussex Police,WA3NH36,0,0,0,0,5,12
2011-07,Sussex Police,CE3NH21,5,4,11,4,76,34
2011-07,Sussex Police,ES1NH7,3,0,5,3,44,23
2011-07,Sussex Police,ES1NH6,0,0,1,2,11,9
2011-07,Sussex Police,ES1NH5,4,0,1,0,11,6
2011-07,Sussex Police,ES1NH4,5,0,2,0,19,5
2011-07,Sussex Police,ES1NH3,0,0,1,1,16,12
2011-07,Sussex Police,ES1NH2,0,0,0,2,29,6
2011-07,Sussex Police,ES1NH1,0,0,1,4,182,16
2011-07,Sussex Police,ES2NH40,1,0,2,5,16,8
2011-07,Sussex Police,ES1NH9,1,0,3,1,20,3
2011-07,Sussex Police,WW2NH9,4,0,3,10,43,31
2011-07,Sussex Police,ER1NH2,0,0,0,2,6,4
2011-07,Sussex Police,ER1NH3,0,0,2,1,11,11
2011-07,Sussex Police,ER1NH1,3,0,1,15,63,38
2011-07,Sussex Police,ER1NH6,0,0,2,3,16,16
2011-07,Sussex Police,ER1NH7,1,0,1,1,19,13
2011-07,Sussex Police,ER1NH4,1,0,0,1,7,8
2011-07,Sussex Police,ER1NH5,0,0,1,1,12,11
2011-07,Sussex Police,ER1NH8,0,0,1,3,31,15
2011-07,Sussex Police,ER1NH9,9,0,1,12,60,24
2011-07,Sussex Police,WR1NH1,2,0,9,4,52,29
2011-07,Sussex Police,WR1NH2,7,0,8,10,56,32
2011-07,Sussex Police,EW2NH43,1,0,4,13,47,25
2011-07,Sussex Police,WA1NH7,7,0,3,16,62,35
2011-07,Sussex Police,WC1NH2,1,0,1,4,16,9
2011-07,Sussex Police,EW2NH45,2,0,1,8,27,13
2011-07,Sussex Police,EW2NH44,4,0,4,4,34,5
2011-07,Sussex Police,WC1NH5,1,0,2,9,30,27
2011-07,Sussex Police,WA2NH13,2,0,4,7,35,20
2011-07,Sussex Police,EH4NH7,1,1,3,7,30,19
2011-07,Sussex Police,WA1NH5,4,1,4,22,106,72
2011-07,Sussex Police,EH4NH5,6,1,21,11,65,34
2011-07,Sussex Police,EH4NH4,10,0,24,14,109,59
2011-07,Sussex Police,ER2NH17,8,0,2,1,19,8
2011-07,Sussex Police,WA3NH40,0,0,2,2,6,4
2011-07,Sussex Police,WW2NH7,4,0,0,4,36,15
2011-07,Sussex Police,CC2NH23,1,0,0,4,13,9
2011-07,Sussex Police,CC2NH22,0,0,1,2,14,6
2011-07,Sussex Police,ER2NH11,1,0,0,1,10,3
2011-07,Sussex Police,WA1NH3,2,0,1,4,19,11
2011-07,Sussex Police,CE3NH13,8,1,10,6,83,20
2011-07,Sussex Police,ES2NH5,1,0,3,2,33,13
2011-07,Sussex Police,WA1NH2,2,0,3,2,36,11
2011-07,Sussex Police,CC1NH5,4,0,4,9,75,47
2011-07,Sussex Police,CC1NH4,4,1,2,5,36,19
2011-07,Sussex Police,CC1NH7,4,1,4,9,48,42
2011-07,Sussex Police,CC1NH6,2,1,1,5,20,10
2011-07,Sussex Police,CC1NH1,16,4,4,62,169,236
2011-07,Sussex Police,WW1NH3,3,0,5,3,40,26
2011-07,Sussex Police,CC1NH3,0,1,1,17,23,70
2011-07,Sussex Police,CC1NH2,8,1,2,18,113,89
2011-07,Sussex Police,EH1NH6,0,0,3,4,23,23
2011-07,Sussex Police,CC1NH8,1,0,0,3,6,6
2011-07,Sussex Police,EH1NH2,9,4,9,37,178,116
2011-07,Sussex Police,EH1NH3,3,0,4,5,51,22
2011-07,Sussex Police,WC1NH1,1,0,3,9,45,61
2011-07,Sussex Police,ES2NH3,0,0,2,8,36,17
2011-07,Sussex Police,EH1NH14,1,0,1,2,15,7
2011-07,Sussex Police,ES2NH1,2,0,6,2,14,18
2011-07,Sussex Police,ES2NH6,0,0,4,0,9,9
2011-07,Sussex Police,WC1NH4,4,0,7,2,22,12
2011-07,Sussex Police,WC1NH7,2,0,1,2,16,14
2011-07,Sussex Police,WC1NH6,4,0,1,0,12,11
2011-07,Sussex Police,WM3NH2,4,0,1,5,23,23
2011-07,Sussex Police,EE3NH19,2,0,0,4,30,7
2011-07,Sussex Police,EH2NH11,0,0,3,1,37,12
2011-07,Sussex Police,EW2NH56,1,0,1,0,9,1
2011-07,Sussex Police,EH2NH10,4,0,12,2,121,13
2011-07,Sussex Police,WC1NH3,2,0,4,19,54,36
2011-07,Sussex Police,EW2NH59,1,0,0,1,9,4
2011-07,Sussex Police,WA3NH32,1,0,4,5,26,6
2011-07,Sussex Police,EE1NH20,4,0,1,1,19,12
2011-07,Sussex Police,EH4NH16,8,0,2,2,30,15
2011-07,Sussex Police,GA1NH1,1,0,11,15,58,136
2011-07,Sussex Police,WM1NH3,0,0,0,2,26,9
2011-07,Sussex Police,WR4NH12,5,1,1,8,55,27
2011-07,Sussex Police,WR4NH11,5,0,4,6,22,5
2011-07,Sussex Police,WR4NH10,8,1,3,12,64,38
2011-07,Sussex Police,WA2NH16,2,0,1,6,25,20
2011-07,Sussex Police,WM1NH6,7,0,5,1,23,15
2011-07,Sussex Police,WM1NH5,5,0,3,7,18,19
2011-07,Sussex Police,WM1NH4,1,0,1,1,151,7
2011-07,Sussex Police,EW1NH12,3,0,3,1,10,8
2011-07,Sussex Police,EW1NH11,3,0,2,0,21,11
2011-07,Sussex Police,EW1NH10,2,0,2,1,10,5
2011-07,Sussex Police,EW1NH17,1,0,0,3,6,11
2011-07,Sussex Police,WA3NH31,8,0,2,5,30,14
2011-07,Sussex Police,WH1NH3,7,0,3,14,66,60
