Month,Force,Neighbourhood,Burglary,Robbery,Vehicle crime,Violent crime,Anti-social behaviour,Other crime
2011-07,Thames Valley Police,N305,1,1,2,10,10,20
2011-07,Thames Valley Police,N176,3,0,8,6,11,31
2011-07,Thames Valley Police,N174,1,0,6,8,36,42
2011-07,Thames Valley Police,N306,1,0,2,13,39,25
2011-07,Thames Valley Police,N172,2,1,3,2,13,5
2011-07,Thames Valley Police,N300,3,0,3,2,8,14
2011-07,Thames Valley Police,N268,2,0,2,3,36,8
2011-07,Thames Valley Police,N302,3,0,3,23,43,85
2011-07,Thames Valley Police,N266,1,0,1,2,12,8
2011-07,Thames Valley Police,N267,13,1,11,5,48,35
2011-07,Thames Valley Police,N264,0,0,0,6,11,7
2011-07,Thames Valley Police,N265,5,1,0,10,28,34
2011-07,Thames Valley Police,N262,1,0,2,2,10,6
2011-07,Thames Valley Police,N263,0,0,2,18,27,41
2011-07,Thames Valley Police,N260,1,0,5,3,13,13
2011-07,Thames Valley Police,N261,1,0,1,1,4,5
2011-07,Thames Valley Police,N181,3,0,1,7,10,18
2011-07,Thames Valley Police,N334,5,0,3,1,7,7
2011-07,Thames Valley Police,N175,10,0,2,6,22,13
2011-07,Thames Valley Police,N311,9,1,7,13,30,38
2011-07,Thames Valley Police,N124,11,0,12,11,47,41
2011-07,Thames Valley Police,N301,6,0,6,8,44,17
2011-07,Thames Valley Police,N127,1,0,1,23,29,14
2011-07,Thames Valley Police,N173,3,0,4,5,12,17
2011-07,Thames Valley Police,N126,5,0,26,10,12,25
2011-07,Thames Valley Police,N303,4,1,2,5,17,16
2011-07,Thames Valley Police,N121,4,0,5,13,28,30
2011-07,Thames Valley Police,N269,4,0,4,10,43,51
2011-07,Thames Valley Police,N120,9,0,6,6,25,19
2011-07,Thames Valley Police,N366,1,0,3,2,6,17
2011-07,Thames Valley Police,N123,6,0,7,9,23,25
2011-07,Thames Valley Police,N122,5,0,2,1,13,6
2011-07,Thames Valley Police,N151,23,0,12,8,38,28
2011-07,Thames Valley Police,N161,6,1,3,6,34,34
2011-07,Thames Valley Police,N278,7,0,5,14,27,25
2011-07,Thames Valley Police,N163,1,0,4,8,21,17
2011-07,Thames Valley Police,N162,8,0,1,9,15,18
2011-07,Thames Valley Police,N165,5,0,5,5,24,31
2011-07,Thames Valley Police,N164,4,0,5,1,12,22
2011-07,Thames Valley Police,N167,4,0,4,1,19,8
2011-07,Thames Valley Police,N166,8,3,14,21,42,47
2011-07,Thames Valley Police,N271,4,0,1,3,10,9
2011-07,Thames Valley Police,N309,3,1,4,11,19,18
2011-07,Thames Valley Police,N273,0,0,0,3,2,3
2011-07,Thames Valley Police,N272,15,0,6,11,41,17
2011-07,Thames Valley Police,N275,5,0,1,9,17,27
2011-07,Thames Valley Police,N274,2,2,2,25,50,72
2011-07,Thames Valley Police,N277,1,0,4,4,11,20
2011-07,Thames Valley Police,N276,4,0,3,4,18,15
2011-07,Thames Valley Police,N178,3,0,7,8,38,38
2011-07,Thames Valley Police,N168,4,0,3,4,3,18
2011-07,Thames Valley Police,N370,3,0,2,10,19,19
2011-07,Thames Valley Police,N179,5,0,7,5,13,21
2011-07,Thames Valley Police,N148,2,0,2,3,10,10
2011-07,Thames Valley Police,N170,5,0,11,9,29,28
2011-07,Thames Valley Police,N130,5,0,1,1,16,12
2011-07,Thames Valley Police,N138,0,0,0,1,13,7
2011-07,Thames Valley Police,N363,6,2,10,12,55,51
2011-07,Thames Valley Police,N362,3,0,4,7,34,21
2011-07,Thames Valley Police,N361,0,1,0,4,13,9
2011-07,Thames Valley Police,N360,5,0,3,14,39,46
2011-07,Thames Valley Police,N198,6,0,0,0,2,4
2011-07,Thames Valley Police,N199,11,1,3,13,33,46
2011-07,Thames Valley Police,N365,13,11,7,33,71,62
2011-07,Thames Valley Police,N364,3,0,3,7,40,21
2011-07,Thames Valley Police,N194,2,0,5,5,29,9
2011-07,Thames Valley Police,N195,7,1,13,17,74,48
2011-07,Thames Valley Police,N369,2,0,7,12,19,25
2011-07,Thames Valley Police,N197,1,0,2,8,20,26
2011-07,Thames Valley Police,N190,3,0,4,3,6,13
2011-07,Thames Valley Police,N191,23,2,6,9,37,40
2011-07,Thames Valley Police,N192,13,0,13,12,28,32
2011-07,Thames Valley Police,N193,7,0,4,27,30,70
2011-07,Thames Valley Police,N114,19,0,6,3,22,25
2011-07,Thames Valley Police,N115,6,1,16,8,40,38
2011-07,Thames Valley Police,N116,8,1,9,7,24,41
2011-07,Thames Valley Police,N117,7,0,2,3,13,4
2011-07,Thames Valley Police,N208,8,0,9,16,63,51
2011-07,Thames Valley Police,N209,15,1,14,22,57,50
2011-07,Thames Valley Police,N112,3,1,1,7,19,20
2011-07,Thames Valley Police,N113,3,0,7,5,18,30
2011-07,Thames Valley Police,N205,7,1,4,1,20,10
