Month,Force,Neighbourhood,Burglary,Robbery,Vehicle crime,Violent crime,Anti-social behaviour,Other crime
2011-07,Warwickshire Police,rte,15,0,4,11,24,28
2011-07,Warwickshire Police,rrn,8,1,6,6,34,26
2011-07,Warwickshire Police,nww,28,4,12,10,53,53
2011-07,Warwickshire Police,rtc,0,0,1,15,33,36
2011-07,Warwickshire Police,nws,23,1,15,8,37,34
2011-07,Warwickshire Police,lsn,16,0,13,12,91,73
2011-07,Warwickshire Police,ken,8,1,15,3,44,27
2011-07,Warwickshire Police,rtn,16,2,7,29,148,77
2011-07,Warwickshire Police,rrc,4,1,4,3,40,18
2011-07,Warwickshire Police,an,13,1,11,8,27,35
2011-07,Warwickshire Police,nwe,16,1,9,16,79,48
2011-07,Warwickshire Police,rtw,25,1,15,21,91,61
2011-07,Warwickshire Police,lstc,5,1,0,28,52,63
2011-07,Warwickshire Police,lss,15,4,25,24,105,61
2011-07,Warwickshire Police,btc,0,0,1,5,21,11
2011-07,Warwickshire Police,ship,13,9,10,7,25,371
2011-07,Warwickshire Police,rrs,7,0,8,1,13,14
2011-07,Warwickshire Police,whit,4,0,1,5,14,11
2011-07,Warwickshire Police,wre,12,0,5,3,18,17
2011-07,Warwickshire Police,wrc,16,0,28,27,120,104
2011-07,Warwickshire Police,nn,27,4,12,11,86,52
2011-07,Warwickshire Police,nc,4,2,0,19,52,30
2011-07,Warwickshire Police,ne,13,1,5,6,50,35
2011-07,Warwickshire Police,wrw,15,0,11,8,21,22
2011-07,Warwickshire Police,ns,18,0,14,36,157,80
2011-07,Warwickshire Police,nw,7,1,5,15,94,33
2011-07,Warwickshire Police,be,9,1,16,19,76,52
2011-07,Warwickshire Police,bw,26,0,7,13,110,94
2011-07,Warwickshire Police,ntc,5,0,1,22,40,62
2011-07,Warwickshire Police,well,5,0,8,1,27,24
2011-07,Warwickshire Police,as,11,0,3,13,66,38
2011-07,Warwickshire Police,st,16,1,13,31,139,91
2011-07,Warwickshire Police,nwn,17,0,10,9,44,24
2011-07,Warwickshire Police,sou,13,0,9,13,43,43
