Month,Force,Neighbourhood,Burglary,Robbery,Vehicle crime,Violent crime,Anti-social behaviour,Other crime
2011-07,West Mercia Police,G20,3,0,1,1,8,7
2011-07,West Mercia Police,E18,1,0,2,5,12,17
2011-07,West Mercia Police,F23,7,0,3,3,36,29
2011-07,West Mercia Police,F22,6,0,5,14,80,51
2011-07,West Mercia Police,F21,1,0,0,4,23,9
2011-07,West Mercia Police,F20,1,0,1,1,7,4
2011-07,West Mercia Police,F27,0,0,1,0,15,3
2011-07,West Mercia Police,F26,5,0,1,0,17,11
2011-07,West Mercia Police,F25,4,0,0,3,17,11
2011-07,West Mercia Police,F24,3,0,1,2,15,13
2011-07,West Mercia Police,F29,0,0,4,9,27,5
2011-07,West Mercia Police,F28,7,1,5,14,77,40
2011-07,West Mercia Police,C31,6,0,2,3,15,16
2011-07,West Mercia Police,C30,7,1,9,2,9,23
2011-07,West Mercia Police,C32,4,0,5,3,17,9
2011-07,West Mercia Police,E19,1,0,1,7,38,16
2011-07,West Mercia Police,C22,5,0,12,7,66,30
2011-07,West Mercia Police,C23,5,0,3,3,36,18
2011-07,West Mercia Police,C20,4,1,5,0,62,28
2011-07,West Mercia Police,C21,8,0,4,6,27,23
2011-07,West Mercia Police,C26,4,0,10,6,14,17
2011-07,West Mercia Police,C27,6,0,8,10,51,29
2011-07,West Mercia Police,C24,2,1,2,19,108,48
2011-07,West Mercia Police,C25,4,0,6,12,59,24
2011-07,West Mercia Police,C28,1,0,0,3,12,5
2011-07,West Mercia Police,C29,4,0,2,4,23,11
2011-07,West Mercia Police,F30,2,0,0,7,16,7
2011-07,West Mercia Police,F31,0,0,0,1,7,4
2011-07,West Mercia Police,F32,2,0,0,6,14,4
2011-07,West Mercia Police,F33,1,0,3,0,4,5
2011-07,West Mercia Police,F34,4,0,0,1,10,8
2011-07,West Mercia Police,F35,18,0,5,10,43,45
2011-07,West Mercia Police,F36,9,1,10,12,42,21
2011-07,West Mercia Police,F37,3,0,0,8,23,12
2011-07,West Mercia Police,F38,1,1,7,2,26,8
2011-07,West Mercia Police,F39,6,1,0,3,16,5
2011-07,West Mercia Police,C11,3,1,1,7,70,30
2011-07,West Mercia Police,F05,5,0,8,14,60,27
2011-07,West Mercia Police,F04,9,0,3,10,28,31
2011-07,West Mercia Police,F07,10,0,2,7,16,19
