Month,Force,Neighbourhood,Burglary,Robbery,Vehicle crime,Violent crime,Anti-social behaviour,Other crime
2011-07,West Midlands Police,SWBR,8,3,1,8,22,16
2011-07,West Midlands Police,CVCF,5,2,4,14,48,29
2011-07,West Midlands Police,CVCD,7,1,17,23,68,63
2011-07,West Midlands Police,CVCE,12,3,12,5,29,40
2011-07,West Midlands Police,CVCB,31,3,11,29,79,46
2011-07,West Midlands Police,CVCC,36,6,12,31,105,73
2011-07,West Midlands Police,CVCA,17,1,14,20,64,29
2011-07,West Midlands Police,BWDA,40,20,29,66,161,110
2011-07,West Midlands Police,BEBD,7,9,29,54,104,102
2011-07,West Midlands Police,BWDC,18,7,16,18,70,74
2011-07,West Midlands Police,BWDB,13,10,50,34,54,73
2011-07,West Midlands Police,BEBA,10,7,12,31,117,72
2011-07,West Midlands Police,BWDD,13,2,32,38,58,85
2011-07,West Midlands Police,BEBC,11,3,21,37,116,68
2011-07,West Midlands Police,BEBB,22,5,20,36,113,88
2011-07,West Midlands Police,SWBK,10,4,10,9,31,24
2011-07,West Midlands Police,WVBG,30,3,10,22,42,65
2011-07,West Midlands Police,DYBC,8,1,4,4,17,13
2011-07,West Midlands Police,DYBB,5,3,3,16,59,33
2011-07,West Midlands Police,DYBA,12,2,10,22,75,80
2011-07,West Midlands Police,WVBF,9,0,6,5,21,16
2011-07,West Midlands Police,DYBF,3,1,3,6,26,12
2011-07,West Midlands Police,DYBE,7,5,10,21,49,45
2011-07,West Midlands Police,DYBD,3,0,1,2,24,12
2011-07,West Midlands Police,WVBA,4,0,10,12,17,35
2011-07,West Midlands Police,WVBC,6,1,7,7,36,31
2011-07,West Midlands Police,SHAE,18,1,14,25,106,93
2011-07,West Midlands Police,WSDF,4,1,6,4,15,9
2011-07,West Midlands Police,WSDG,14,4,7,24,37,37
2011-07,West Midlands Police,BECB,14,3,24,18,47,63
2011-07,West Midlands Police,BECC,30,8,38,34,123,97
2011-07,West Midlands Police,BECA,14,4,11,28,105,71
2011-07,West Midlands Police,WSDJ,25,3,13,73,91,157
2011-07,West Midlands Police,BECD,15,6,18,34,88,87
2011-07,West Midlands Police,BWEB,22,19,25,51,136,97
2011-07,West Midlands Police,BWEC,21,30,26,58,177,118
2011-07,West Midlands Police,BWEA,18,2,5,8,30,27
2011-07,West Midlands Police,WVAA,4,5,9,46,65,105
2011-07,West Midlands Police,DYCA,2,0,3,13,54,19
2011-07,West Midlands Police,DYCB,6,1,7,10,22,29
2011-07,West Midlands Police,DYCC,9,0,2,9,33,32
2011-07,West Midlands Police,DYCD,3,1,3,3,22,8
2011-07,West Midlands Police,WSDH,5,1,7,29,34,55
2011-07,West Midlands Police,WSCG,5,4,11,5,54,46
2011-07,West Midlands Police,WSCL,32,9,17,22,79,65
2011-07,West Midlands Police,WSCK,10,0,7,8,33,44
2011-07,West Midlands Police,WSCJ,9,2,5,12,28,30
2011-07,West Midlands Police,WSCH,13,1,11,16,80,51
2011-07,West Midlands Police,BSBC,16,10,13,37,123,72
2011-07,West Midlands Police,BSBB,19,7,17,39,92,97
2011-07,West Midlands Police,BSBA,22,7,12,55,159,103
2011-07,West Midlands Police,SHAA,4,2,15,6,44,58
2011-07,West Midlands Police,SHAF,6,0,6,7,16,13
2011-07,West Midlands Police,SHAD,6,5,15,13,32,26
2011-07,West Midlands Police,BSBD,19,5,28,28,97,76
2011-07,West Midlands Police,SHAJ,5,0,1,8,11,23
2011-07,West Midlands Police,SHAK,8,0,10,9,22,14
2011-07,West Midlands Police,SHAH,17,7,8,26,78,56
2011-07,West Midlands Police,SHAL,2,0,6,2,4,8
2011-07,West Midlands Police,SHAM,14,3,11,11,71,37
2011-07,West Midlands Police,WSBF,15,2,7,20,66,54
2011-07,West Midlands Police,WSBG,16,3,7,19,70,37
2011-07,West Midlands Police,SWBP,10,10,10,31,64,66
2011-07,West Midlands Police,WSBH,17,0,4,25,46,51
2011-07,West Midlands Police,SWBQ,17,7,7,15,49,43
2011-07,West Midlands Police,WSBJ,26,1,4,18,53,42
2011-07,West Midlands Police,BWCD,20,5,16,25,58,67
2011-07,West Midlands Police,SWBM,8,4,12,18,34,25
2011-07,West Midlands Police,SWBN,12,2,5,13,42,31
2011-07,West Midlands Police,SWBH,11,0,12,12,32,38
2011-07,West Midlands Police,BWCA,21,8,27,38,116,69
2011-07,West Midlands Police,BWCB,19,30,27,54,135,87
2011-07,West Midlands Police,BWCC,22,3,21,21,75,73
2011-07,West Midlands Police,CVBA,29,4,19,26,131,89
2011-07,West Midlands Police,SWBE,13,6,14,13,33,40
2011-07,West Midlands Police,CVBC,30,2,13,28,103,62
2011-07,West Midlands Police,CVBB,31,2,23,28,118,103
2011-07,West Midlands Police,CVBE,15,4,8,30,63,47
2011-07,West Midlands Police,CVBD,13,4,13,20,62,42
2011-07,West Midlands Police,CVBF,14,1,12,12,46,52
2011-07,West Midlands Police,SWBL,14,2,12,15,40,57
2011-07,West Midlands Police,WVCB,18,6,6,12,37,25
2011-07,West Midlands Police,WVCC,13,13,6,16,35,34
2011-07,West Midlands Police,WVCA,19,4,6,18,63,76
2011-07,West Midlands Police,WVCF,11,2,4,11,30,22
2011-07,West Midlands Police,WVCD,18,5,8,21,51,44
2011-07,West Midlands Police,WVCE,14,8,14,21,59,44
2011-07,West Midlands Police,SHBG,3,0,4,11,26,23
2011-07,West Midlands Police,BSCA,24,8,15,40,116,89
2011-07,West Midlands Police,BSCB,19,3,25,20,96,68
2011-07,West Midlands Police,BSCC,21,8,17,23,85,65
2011-07,West Midlands Police,BSCD,18,6,31,19,48,66
2011-07,West Midlands Police,SHBB,4,0,7,13,39,27
2011-07,West Midlands Police,SHBA,8,0,10,11,32,22
2011-07,West Midlands Police,SHBD,7,0,10,3,24,29
2011-07,West Midlands Police,DYAF,15,3,4,25,67,33
2011-07,West Midlands Police,DYAG,7,2,2,6,25,17
2011-07,West Midlands Police,DYAD,7,2,2,6,37,31
2011-07,West Midlands Police,DYAE,10,4,11,48,85,63
2011-07,West Midlands Police,DYAB,12,2,1,17,32,36
2011-07,West Midlands Police,DYAC,9,2,5,8,59,19
2011-07,West Midlands Police,DYAA,15,3,6,15,66,38
2011-07,West Midlands Police,WSAM,10,0,0,10,22,19
2011-07,West Midlands Police,WSAL,8,0,5,7,23,14
2011-07,West Midlands Police,WSAN,13,3,9,5,5,12
2011-07,West Midlands Police,WSAH,7,0,7,11,19,22
2011-07,West Midlands Police,WSAK,9,0,7,11,28,13
2011-07,West Midlands Police,WSAJ,6,0,8,9,33,35
2011-07,West Midlands Police,WSAG,7,0,4,10,27,29
2011-07,West Midlands Police,BNAD,23,1,10,27,108,79
2011-07,West Midlands Police,BNAC,22,10,29,43,98,89
2011-07,West Midlands Police,BNAB,25,6,14,40,126,98
2011-07,West Midlands Police,BNAA,17,7,16,37,141,59
2011-07,West Midlands Police,SWBF,14,1,10,16,38,50
2011-07,West Midlands Police,SWAU,11,6,4,13,39,50
2011-07,West Midlands Police,SWBG,6,0,6,8,26,28
2011-07,West Midlands Police,SWAT,11,1,14,23,72,34
2011-07,West Midlands Police,SWAM,6,2,8,12,22,20
2011-07,West Midlands Police,SWAL,3,1,6,11,30,30
2011-07,West Midlands Police,WVBE,9,4,3,12,24,21
2011-07,West Midlands Police,SWAW,12,11,13,39,87,109
2011-07,West Midlands Police,SWAK,10,0,8,6,27,29
2011-07,West Midlands Police,WVDC,13,6,11,19,25,29
2011-07,West Midlands Police,WVDB,5,1,2,4,11,11
2011-07,West Midlands Police,WVDA,7,3,4,13,43,28
2011-07,West Midlands Police,SWAV,15,1,11,24,46,24
2011-07,West Midlands Police,WVDG,7,0,1,5,17,15
2011-07,West Midlands Police,WVDF,5,0,4,2,13,13
2011-07,West Midlands Police,WVDE,7,5,3,18,43,34
2011-07,West Midlands Police,WVDD,3,1,3,7,13,17
2011-07,West Midlands Police,SWAQ,12,7,8,15,46,48
2011-07,West Midlands Police,SWAP,13,5,17,13,52,33
2011-07,West Midlands Police,SWAS,9,4,5,15,59,24
2011-07,West Midlands Police,WVBD,5,1,11,24,47,40
2011-07,West Midlands Police,CVDE,9,1,14,22,70,42
2011-07,West Midlands Police,CVDD,7,1,11,5,21,25
2011-07,West Midlands Police,CVDC,8,5,15,11,39,43
2011-07,West Midlands Police,CVDB,7,0,6,13,30,41
2011-07,West Midlands Police,CVDA,43,4,10,30,96,78
2011-07,West Midlands Police,BWAB,0,10,2,46,57,84
2011-07,West Midlands Police,BWAC,5,4,17,37,60,62
2011-07,West Midlands Police,BWAA,10,15,7,53,112,259
2011-07,West Midlands Police,BSAD,32,2,31,29,96,56
2011-07,West Midlands Police,BSAB,30,5,17,25,91,76
2011-07,West Midlands Police,BSAC,20,5,42,15,81,59
2011-07,West Midlands Police,BSAA,12,3,20,39,165,77
2011-07,West Midlands Police,CVAA,27,15,38,114,277,201
2011-07,West Midlands Police,SHBF,10,0,9,1,28,29
2011-07,West Midlands Police,SHBE,8,0,11,9,20,64
2011-07,West Midlands Police,DYDE,7,0,7,5,30,19
2011-07,West Midlands Police,DYDD,9,0,6,4,19,17
2011-07,West Midlands Police,DYDG,15,0,11,10,52,68
2011-07,West Midlands Police,DYDF,5,1,5,12,48,17
2011-07,West Midlands Police,DYDA,11,0,9,3,34,23
2011-07,West Midlands Police,DYDC,10,2,7,7,47,27
2011-07,West Midlands Police,DYDB,10,4,7,7,49,21
2011-07,West Midlands Police,SHBC,12,1,5,8,32,26
2011-07,West Midlands Police,SWBJ,17,3,8,13,37,32
