Month,Force,Neighbourhood,Burglary,Robbery,Vehicle crime,Violent crime,Anti-social behaviour,Other crime
2011-07,West Yorkshire Police,AAN_HP,71,20,28,35,135,103
2011-07,West Yorkshire Police,DA_CEN,78,5,34,133,267,340
2011-07,West Yorkshire Police,CAN_MOR,61,2,74,63,259,206
2011-07,West Yorkshire Police,BA_GH,44,9,30,74,309,167
2011-07,West Yorkshire Police,FAN_UCV,46,1,28,31,187,122
2011-07,West Yorkshire Police,AAN_WI,171,4,54,93,319,237
2011-07,West Yorkshire Police,AAN_WO,117,1,85,53,271,203
2011-07,West Yorkshire Police,BA_CA,46,2,36,38,137,118
2011-07,West Yorkshire Police,EA_SPN,48,4,44,32,238,157
2011-07,West Yorkshire Police,DA_CAS,29,3,25,69,233,193
2011-07,West Yorkshire Police,HAN_EC,71,1,54,46,347,198
2011-07,West Yorkshire Police,BA_BRH,62,2,66,46,218,150
2011-07,West Yorkshire Police,AAN_NI,126,8,68,70,250,269
2011-07,West Yorkshire Police,DA_RUR,43,0,33,31,320,116
2011-07,West Yorkshire Police,DA_PK,74,3,29,60,286,194
2011-07,West Yorkshire Police,DA_NF,41,2,39,48,269,145
2011-07,West Yorkshire Police,AAN_NOA,96,1,49,34,303,206
2011-07,West Yorkshire Police,EA_KDD,19,0,14,11,75,45
2011-07,West Yorkshire Police,CAN_CH,55,7,78,130,382,270
2011-07,West Yorkshire Police,DA_SE,36,0,38,56,304,193
2011-07,West Yorkshire Police,CAN_CITY,27,5,54,132,286,554
2011-07,West Yorkshire Police,HAN_KE,50,5,37,63,302,179
2011-07,West Yorkshire Police,GAN_04,58,3,54,35,218,170
2011-07,West Yorkshire Police,CAN_RTH,42,1,40,77,290,152
2011-07,West Yorkshire Police,EA_HS,109,14,57,104,482,426
2011-07,West Yorkshire Police,FAN_LCV,55,0,32,35,199,167
2011-07,West Yorkshire Police,HAN_BW,37,0,28,39,157,78
2011-07,West Yorkshire Police,EA_HN,91,10,60,56,262,200
2011-07,West Yorkshire Police,BA_CWT,74,3,17,50,235,164
2011-07,West Yorkshire Police,EA_VYS,65,2,48,48,247,187
2011-07,West Yorkshire Police,BA_WH,33,0,24,11,106,54
2011-07,West Yorkshire Police,EA_DM,111,9,76,91,443,357
2011-07,West Yorkshire Police,HAN_SBWW,63,0,71,46,240,131
2011-07,West Yorkshire Police,DA_NW,35,4,77,50,242,123
2011-07,West Yorkshire Police,EA_BBB,34,4,21,60,250,152
2011-07,West Yorkshire Police,BA_RAM,84,0,87,33,224,145
2011-07,West Yorkshire Police,BA_KS,76,5,17,48,264,168
2011-07,West Yorkshire Police,HAN_WC,26,0,16,7,79,31
2011-07,West Yorkshire Police,GAN_06,41,4,33,38,159,120
2011-07,West Yorkshire Police,GAN_05,41,6,27,47,148,152
2011-07,West Yorkshire Police,BA_GKSM,24,1,20,22,144,69
2011-07,West Yorkshire Police,GAN_03,50,1,28,46,211,150
2011-07,West Yorkshire Police,GAN_02,31,3,43,51,226,198
2011-07,West Yorkshire Police,GAN_01,46,13,43,64,187,245
2011-07,West Yorkshire Police,FAN_HO,74,1,48,38,325,175
2011-07,West Yorkshire Police,FAN_HI,66,5,52,89,399,299
2011-07,West Yorkshire Police,HAN_NB,47,1,40,45,223,128
