Month,Force,Neighbourhood,Burglary,Robbery,Vehicle crime,Violent crime,Anti-social behaviour,Other crime
2011-08,Cumbria Constabulary,GARS07,4,0,2,4,14,11
2011-08,Cumbria Constabulary,GARS06,6,0,2,19,71,48
2011-08,Cumbria Constabulary,GARS05,2,0,1,7,40,13
2011-08,Cumbria Constabulary,GARS04,7,0,3,20,47,19
2011-08,Cumbria Constabulary,GARS03,6,0,4,22,85,28
2011-08,Cumbria Constabulary,GARS02,0,0,2,11,87,25
2011-08,Cumbria Constabulary,GARS01,16,1,4,63,238,103
2011-08,Cumbria Constabulary,GARX08,0,0,0,16,40,41
2011-08,Cumbria Constabulary,GARS09,3,0,3,8,63,44
2011-08,Cumbria Constabulary,GARS08,0,0,2,4,16,9
2011-08,Cumbria Constabulary,GARX10,7,0,2,19,55,47
2011-08,Cumbria Constabulary,GARU01,12,0,7,13,51,49
2011-08,Cumbria Constabulary,GARU03,9,0,10,33,137,88
2011-08,Cumbria Constabulary,GARU02,3,0,7,21,63,47
2011-08,Cumbria Constabulary,GARU05,11,0,4,19,60,26
2011-08,Cumbria Constabulary,GARU04,14,0,7,19,93,61
2011-08,Cumbria Constabulary,GARY08,4,0,5,11,75,31
2011-08,Cumbria Constabulary,GARV02,3,0,3,9,55,33
2011-08,Cumbria Constabulary,GARV03,2,0,1,15,62,38
2011-08,Cumbria Constabulary,GARV01,9,0,5,8,65,23
2011-08,Cumbria Constabulary,GARV04,3,0,7,7,23,23
2011-08,Cumbria Constabulary,GARV05,1,0,10,38,145,74
2011-08,Cumbria Constabulary,GARX04,6,0,3,17,73,35
2011-08,Cumbria Constabulary,GARX05,6,1,4,10,70,38
2011-08,Cumbria Constabulary,GARX06,2,0,2,4,25,11
2011-08,Cumbria Constabulary,GARX07,6,0,5,7,52,40
2011-08,Cumbria Constabulary,GARY09,6,0,2,2,11,15
2011-08,Cumbria Constabulary,GARX01,2,0,2,1,15,12
2011-08,Cumbria Constabulary,GARX02,2,2,5,4,37,12
2011-08,Cumbria Constabulary,GARX03,4,0,2,66,162,106
2011-08,Cumbria Constabulary,GARY05,4,0,0,13,25,17
2011-08,Cumbria Constabulary,GARY04,5,0,1,12,14,12
2011-08,Cumbria Constabulary,GARY07,4,0,1,0,7,4
2011-08,Cumbria Constabulary,GARY06,1,0,10,13,16,51
2011-08,Cumbria Constabulary,GARY01,0,0,0,0,3,1
2011-08,Cumbria Constabulary,GARX09,2,0,5,18,70,34
2011-08,Cumbria Constabulary,GARY03,2,0,4,10,26,16
2011-08,Cumbria Constabulary,GARY02,1,0,1,4,26,12
2011-08,Cumbria Constabulary,GARZ04,4,0,4,0,17,19
2011-08,Cumbria Constabulary,GARZ05,1,0,2,1,7,9
2011-08,Cumbria Constabulary,GARZ02,11,0,11,26,73,82
2011-08,Cumbria Constabulary,GARZ03,4,0,1,2,3,7
2011-08,Cumbria Constabulary,GARZ01,7,0,2,17,59,49
