Month,Force,Neighbourhood,Burglary,Robbery,Vehicle crime,Violent crime,Anti-social behaviour,Other crime
2011-08,Devon and Cornwall Constabulary,431.08,2,0,0,1,16,9
2011-08,Devon and Cornwall Constabulary,132.01,5,0,3,5,19,14
2011-08,Devon and Cornwall Constabulary,431.04,6,0,3,45,71,73
2011-08,Devon and Cornwall Constabulary,431.05,1,0,0,1,10,3
2011-08,Devon and Cornwall Constabulary,431.06,3,0,0,7,20,15
2011-08,Devon and Cornwall Constabulary,341.01,5,0,5,16,71,40
2011-08,Devon and Cornwall Constabulary,423.10,1,0,2,1,22,10
2011-08,Devon and Cornwall Constabulary,423.11,0,0,1,3,8,5
2011-08,Devon and Cornwall Constabulary,431.02,1,0,1,2,10,9
2011-08,Devon and Cornwall Constabulary,431.03,4,0,4,3,10,22
2011-08,Devon and Cornwall Constabulary,114.06,12,0,4,5,25,30
2011-08,Devon and Cornwall Constabulary,114.04,2,0,0,4,14,5
2011-08,Devon and Cornwall Constabulary,132.02,0,1,1,0,13,7
2011-08,Devon and Cornwall Constabulary,134.04,4,0,5,3,17,27
2011-08,Devon and Cornwall Constabulary,111.04,8,1,1,25,95,60
2011-08,Devon and Cornwall Constabulary,134.06,4,1,3,4,45,31
2011-08,Devon and Cornwall Constabulary,134.07,5,0,4,12,40,20
2011-08,Devon and Cornwall Constabulary,111.01,2,0,4,4,23,10
2011-08,Devon and Cornwall Constabulary,111.03,8,0,0,12,58,50
2011-08,Devon and Cornwall Constabulary,111.02,0,0,0,9,10,11
2011-08,Devon and Cornwall Constabulary,134.09,1,0,3,2,26,14
2011-08,Devon and Cornwall Constabulary,341.02,1,0,7,1,18,6
2011-08,Devon and Cornwall Constabulary,341.03,4,0,2,12,37,28
2011-08,Devon and Cornwall Constabulary,216.01,12,2,11,54,107,89
2011-08,Devon and Cornwall Constabulary,216.02,10,4,8,106,139,237
2011-08,Devon and Cornwall Constabulary,421.04,0,0,0,4,21,18
2011-08,Devon and Cornwall Constabulary,423.09,2,0,2,1,13,19
2011-08,Devon and Cornwall Constabulary,423.08,4,0,2,2,6,7
2011-08,Devon and Cornwall Constabulary,343.01,6,0,0,24,69,70
2011-08,Devon and Cornwall Constabulary,343.02,2,0,4,13,19,22
2011-08,Devon and Cornwall Constabulary,343.03,3,0,3,8,17,22
2011-08,Devon and Cornwall Constabulary,423.03,2,0,2,4,9,11
2011-08,Devon and Cornwall Constabulary,423.02,12,0,3,2,20,4
2011-08,Devon and Cornwall Constabulary,423.01,3,0,0,2,15,13
2011-08,Devon and Cornwall Constabulary,421.06,3,0,3,38,67,46
2011-08,Devon and Cornwall Constabulary,423.06,0,0,0,1,30,9
2011-08,Devon and Cornwall Constabulary,423.05,1,0,1,2,13,8
2011-08,Devon and Cornwall Constabulary,423.04,2,0,2,4,21,18
2011-08,Devon and Cornwall Constabulary,433.02,9,0,4,8,14,21
2011-08,Devon and Cornwall Constabulary,433.03,5,0,7,10,30,23
2011-08,Devon and Cornwall Constabulary,433.01,11,0,3,6,21,26
2011-08,Devon and Cornwall Constabulary,423.12,1,0,1,7,22,7
2011-08,Devon and Cornwall Constabulary,433.04,4,0,3,4,22,7
2011-08,Devon and Cornwall Constabulary,433.05,3,1,1,25,60,43
2011-08,Devon and Cornwall Constabulary,134.10,8,0,0,1,15,9
2011-08,Devon and Cornwall Constabulary,123.21,9,1,4,14,48,36
2011-08,Devon and Cornwall Constabulary,113.07,11,0,10,4,43,25
2011-08,Devon and Cornwall Constabulary,113.06,23,0,10,11,62,42
2011-08,Devon and Cornwall Constabulary,113.05,2,0,4,2,19,8
2011-08,Devon and Cornwall Constabulary,113.04,2,2,4,13,27,23
2011-08,Devon and Cornwall Constabulary,113.03,6,0,10,8,52,38
2011-08,Devon and Cornwall Constabulary,113.02,0,1,3,12,67,34
2011-08,Devon and Cornwall Constabulary,113.01,4,0,2,7,36,25
2011-08,Devon and Cornwall Constabulary,131.01,2,0,1,9,28,15
2011-08,Devon and Cornwall Constabulary,121.08,2,1,1,17,56,28
2011-08,Devon and Cornwall Constabulary,121.07,1,0,1,4,20,12
2011-08,Devon and Cornwall Constabulary,121.04,4,0,2,10,34,23
2011-08,Devon and Cornwall Constabulary,121.05,0,0,0,1,1,1
2011-08,Devon and Cornwall Constabulary,121.02,3,0,3,2,24,16
2011-08,Devon and Cornwall Constabulary,121.03,7,0,2,1,16,5
2011-08,Devon and Cornwall Constabulary,121.01,6,0,0,7,28,24
2011-08,Devon and Cornwall Constabulary,215.03,6,0,4,12,44,29
2011-08,Devon and Cornwall Constabulary,133.01,3,0,2,10,59,40
2011-08,Devon and Cornwall Constabulary,342.03,4,0,3,4,22,14
2011-08,Devon and Cornwall Constabulary,133.03,4,0,1,2,25,18
2011-08,Devon and Cornwall Constabulary,133.02,2,0,0,0,7,9
2011-08,Devon and Cornwall Constabulary,133.05,7,0,1,20,27,33
2011-08,Devon and Cornwall Constabulary,133.04,2,0,0,0,4,9
2011-08,Devon and Cornwall Constabulary,342.02,3,0,2,3,11,8
2011-08,Devon and Cornwall Constabulary,421.01,3,0,4,0,10,16
2011-08,Devon and Cornwall Constabulary,421.03,0,0,0,7,18,16
2011-08,Devon and Cornwall Constabulary,421.02,1,0,2,4,9,14
2011-08,Devon and Cornwall Constabulary,421.05,2,0,1,6,22,15
2011-08,Devon and Cornwall Constabulary,215.06,3,1,6,6,25,43
2011-08,Devon and Cornwall Constabulary,123.01,4,2,6,48,81,92
2011-08,Devon and Cornwall Constabulary,215.02,19,4,8,46,95,70
2011-08,Devon and Cornwall Constabulary,131.03,0,0,1,4,14,14
