Month,Force,Neighbourhood,Burglary,Robbery,Vehicle crime,Violent crime,Anti-social behaviour,Other crime
2011-08,Leicestershire Constabulary,L65,2,0,10,8,16,35
2011-08,Leicestershire Constabulary,L52,7,1,5,13,46,61
2011-08,Leicestershire Constabulary,L79,25,1,14,12,46,71
2011-08,Leicestershire Constabulary,L54,12,0,14,21,36,34
2011-08,Leicestershire Constabulary,L55,16,0,20,9,34,54
2011-08,Leicestershire Constabulary,L51,11,1,7,14,34,40
2011-08,Leicestershire Constabulary,L58,2,0,4,2,16,5
2011-08,Leicestershire Constabulary,L59,6,0,5,2,30,11
2011-08,Leicestershire Constabulary,L70,6,0,12,12,59,66
2011-08,Leicestershire Constabulary,L17,8,0,1,14,30,29
2011-08,Leicestershire Constabulary,L10,17,4,15,31,56,81
2011-08,Leicestershire Constabulary,L67,3,0,2,16,35,55
2011-08,Leicestershire Constabulary,L74,2,0,2,15,8,21
2011-08,Leicestershire Constabulary,L75,14,3,14,42,66,78
2011-08,Leicestershire Constabulary,C19,7,6,18,6,24,32
2011-08,Leicestershire Constabulary,C18,8,2,7,16,47,38
2011-08,Leicestershire Constabulary,C13,15,1,12,14,69,48
2011-08,Leicestershire Constabulary,C12,8,3,7,24,59,60
2011-08,Leicestershire Constabulary,C11,9,1,13,9,60,43
2011-08,Leicestershire Constabulary,C10,4,2,3,17,46,32
2011-08,Leicestershire Constabulary,C17,5,2,5,14,41,22
2011-08,Leicestershire Constabulary,C16,12,2,4,30,82,66
2011-08,Leicestershire Constabulary,C15,8,6,7,24,67,50
2011-08,Leicestershire Constabulary,C14,8,0,1,12,50,31
2011-08,Leicestershire Constabulary,L21,4,0,3,4,13,20
2011-08,Leicestershire Constabulary,L18,6,0,9,3,12,20
2011-08,Leicestershire Constabulary,L19,5,0,1,4,12,8
2011-08,Leicestershire Constabulary,L66,16,0,6,22,53,53
2011-08,Leicestershire Constabulary,L11,12,0,18,12,24,40
2011-08,Leicestershire Constabulary,L14,17,1,2,12,31,40
2011-08,Leicestershire Constabulary,L23,5,0,1,12,23,18
2011-08,Leicestershire Constabulary,L22,1,0,3,25,20,43
2011-08,Leicestershire Constabulary,L25,9,0,5,7,10,23
2011-08,Leicestershire Constabulary,L24,4,0,6,12,35,19
2011-08,Leicestershire Constabulary,L15,13,1,6,6,37,39
2011-08,Leicestershire Constabulary,L16,0,0,2,4,0,12
2011-08,Leicestershire Constabulary,C22,12,2,8,9,45,59
2011-08,Leicestershire Constabulary,L64,4,0,3,6,11,20
2011-08,Leicestershire Constabulary,C20,9,0,8,23,41,67
2011-08,Leicestershire Constabulary,C21,5,0,4,29,64,61
2011-08,Leicestershire Constabulary,L09,13,1,12,25,49,81
2011-08,Leicestershire Constabulary,L08,10,0,1,15,16,29
2011-08,Leicestershire Constabulary,L07,31,1,13,55,77,154
2011-08,Leicestershire Constabulary,L06,22,2,3,43,80,92
2011-08,Leicestershire Constabulary,L05,10,0,3,4,19,19
2011-08,Leicestershire Constabulary,L04,12,1,6,11,32,39
2011-08,Leicestershire Constabulary,L03,2,1,1,2,19,9
2011-08,Leicestershire Constabulary,L02,5,1,4,11,34,30
2011-08,Leicestershire Constabulary,L01,11,0,5,6,17,22
2011-08,Leicestershire Constabulary,L68,3,0,4,9,24,29
2011-08,Leicestershire Constabulary,C08,12,4,13,13,47,72
2011-08,Leicestershire Constabulary,C09,11,1,6,15,49,53
2011-08,Leicestershire Constabulary,L12,12,1,10,21,20,50
2011-08,Leicestershire Constabulary,L77,15,2,13,30,35,38
2011-08,Leicestershire Constabulary,C01,12,0,13,46,66,89
2011-08,Leicestershire Constabulary,C02,19,2,18,20,73,93
2011-08,Leicestershire Constabulary,C03,8,2,7,33,70,115
2011-08,Leicestershire Constabulary,C04,37,18,36,167,224,552
2011-08,Leicestershire Constabulary,C05,8,0,8,36,101,90
2011-08,Leicestershire Constabulary,C06,23,1,12,23,51,46
2011-08,Leicestershire Constabulary,C07,12,1,8,17,45,42
2011-08,Leicestershire Constabulary,L13,22,0,15,27,60,85
2011-08,Leicestershire Constabulary,L69,9,3,10,28,44,73
2011-08,Leicestershire Constabulary,L78,6,1,7,10,15,26
2011-08,Leicestershire Constabulary,L20,1,0,0,3,2,8
