Month,Force,Neighbourhood,Burglary,Robbery,Vehicle crime,Violent crime,Anti-social behaviour,Other crime
2011-08,Norfolk Constabulary,K13,1,0,0,0,18,1
2011-08,Norfolk Constabulary,K12,8,0,4,5,35,23
2011-08,Norfolk Constabulary,K11,9,1,3,16,102,39
2011-08,Norfolk Constabulary,K31,6,0,9,23,144,47
2011-08,Norfolk Constabulary,K32,3,0,6,10,39,22
2011-08,Norfolk Constabulary,L11,10,0,11,33,156,75
2011-08,Norfolk Constabulary,M31,2,0,7,24,91,48
2011-08,Norfolk Constabulary,Y41,6,0,9,16,50,30
2011-08,Norfolk Constabulary,Y21,24,1,8,20,84,66
2011-08,Norfolk Constabulary,Y22,16,1,12,76,299,144
2011-08,Norfolk Constabulary,N61,2,0,7,19,91,42
2011-08,Norfolk Constabulary,N41,29,1,13,31,188,109
2011-08,Norfolk Constabulary,S11,13,0,11,15,111,48
2011-08,Norfolk Constabulary,S31,17,0,3,5,37,24
2011-08,Norfolk Constabulary,S33,5,0,2,6,28,13
2011-08,Norfolk Constabulary,S32,1,0,11,13,66,31
2011-08,Norfolk Constabulary,L21,6,0,2,15,87,28
2011-08,Norfolk Constabulary,P11,7,0,5,1,27,12
2011-08,Norfolk Constabulary,P12,11,0,5,4,54,25
2011-08,Norfolk Constabulary,P13,0,0,0,7,38,12
2011-08,Norfolk Constabulary,P14,1,0,4,9,41,43
2011-08,Norfolk Constabulary,K21,12,0,8,25,198,88
2011-08,Norfolk Constabulary,L22,6,0,7,13,87,37
2011-08,Norfolk Constabulary,N21,10,1,16,44,189,113
2011-08,Norfolk Constabulary,L31,12,1,17,35,191,74
2011-08,Norfolk Constabulary,Y51,0,0,0,1,34,5
2011-08,Norfolk Constabulary,Y52,5,0,5,18,87,24
2011-08,Norfolk Constabulary,M21,4,0,0,2,38,19
2011-08,Norfolk Constabulary,M22,6,1,4,11,54,61
2011-08,Norfolk Constabulary,M32,5,0,2,8,50,30
2011-08,Norfolk Constabulary,S22,7,0,2,7,55,22
2011-08,Norfolk Constabulary,S23,6,0,2,3,24,14
2011-08,Norfolk Constabulary,S21,7,0,4,10,65,35
2011-08,Norfolk Constabulary,K42,11,1,4,16,124,49
2011-08,Norfolk Constabulary,S24,1,0,4,4,47,19
2011-08,Norfolk Constabulary,Y32,7,4,2,15,77,40
2011-08,Norfolk Constabulary,Y31,2,0,0,9,38,12
2011-08,Norfolk Constabulary,K43,9,0,3,6,60,13
2011-08,Norfolk Constabulary,Y11,1,0,1,2,31,7
2011-08,Norfolk Constabulary,Y12,10,0,1,14,70,32
2011-08,Norfolk Constabulary,N12,5,2,4,7,49,24
2011-08,Norfolk Constabulary,N11,10,2,3,22,99,64
2011-08,Norfolk Constabulary,L32,10,0,8,7,93,34
2011-08,Norfolk Constabulary,N51,5,3,2,89,192,213
2011-08,Norfolk Constabulary,M11,1,0,1,6,24,13
2011-08,Norfolk Constabulary,M13,6,0,3,7,78,47
2011-08,Norfolk Constabulary,M12,5,0,0,2,31,16
2011-08,Norfolk Constabulary,P21,10,1,2,3,67,29
2011-08,Norfolk Constabulary,P23,7,0,3,11,62,21
2011-08,Norfolk Constabulary,P22,6,0,4,5,44,17
2011-08,Norfolk Constabulary,N31,15,1,14,37,195,131
2011-08,Norfolk Constabulary,K41,12,0,5,5,57,27
