Month,Force,Neighbourhood,Burglary,Robbery,Vehicle crime,Violent crime,Anti-social behaviour,Other crime
2011-08,Northumbria Police,A1,28,1,17,85,266,270
2011-08,Northumbria Police,A3,35,0,16,45,344,208
2011-08,Northumbria Police,A2,18,0,5,27,113,106
2011-08,Northumbria Police,A5,35,1,10,42,251,181
2011-08,Northumbria Police,E8,37,1,14,44,376,191
2011-08,Northumbria Police,A7,23,1,20,30,270,99
2011-08,Northumbria Police,A6,19,0,19,43,299,141
2011-08,Northumbria Police,C3,25,2,15,28,243,119
2011-08,Northumbria Police,C2,20,0,24,19,175,73
2011-08,Northumbria Police,C1,29,1,35,50,294,184
2011-08,Northumbria Police,E6,30,0,25,104,495,402
2011-08,Northumbria Police,E1,42,1,26,35,286,97
2011-08,Northumbria Police,C6,29,0,10,15,166,79
2011-08,Northumbria Police,E3,22,0,5,25,182,102
2011-08,Northumbria Police,E2,15,0,8,26,150,131
2011-08,Northumbria Police,E5,34,2,38,45,419,154
2011-08,Northumbria Police,E4,21,0,14,27,188,111
2011-08,Northumbria Police,E7,36,0,19,7,164,93
2011-08,Northumbria Police,F1,12,1,7,25,201,61
2011-08,Northumbria Police,F2,40,0,18,21,342,142
2011-08,Northumbria Police,F3,15,0,19,20,366,117
2011-08,Northumbria Police,F4,4,0,5,14,175,58
2011-08,Northumbria Police,F5,11,1,9,9,80,40
2011-08,Northumbria Police,F6,9,0,6,9,128,31
2011-08,Northumbria Police,F7,6,0,9,25,157,52
2011-08,Northumbria Police,F8,9,0,7,14,100,35
2011-08,Northumbria Police,F9,18,0,13,10,99,62
2011-08,Northumbria Police,C5,16,1,10,16,154,101
2011-08,Northumbria Police,B1,22,0,18,46,391,153
2011-08,Northumbria Police,B2,17,0,5,13,194,88
2011-08,Northumbria Police,B3,22,0,12,22,277,113
2011-08,Northumbria Police,D4,9,0,13,14,255,58
2011-08,Northumbria Police,D2,22,0,11,25,256,87
2011-08,Northumbria Police,D3,19,0,6,34,308,107
2011-08,Northumbria Police,D1,23,0,8,41,322,145
