Month,Force,Neighbourhood,Burglary,Robbery,Vehicle crime,Violent crime,Anti-social behaviour,Other crime
2011-08,South Yorkshire,CB2,24,1,31,17,188,75
2011-08,South Yorkshire,CB3,21,3,11,17,239,86
2011-08,South Yorkshire,KA1,21,8,33,24,287,98
2011-08,South Yorkshire,CB1,28,1,15,13,217,68
2011-08,South Yorkshire,KC1,58,2,46,27,296,147
2011-08,South Yorkshire,KC2,39,0,20,23,323,122
2011-08,South Yorkshire,KE2,39,0,14,15,277,102
2011-08,South Yorkshire,KE1,29,2,18,34,330,95
2011-08,South Yorkshire,KP1,36,5,14,21,356,120
2011-08,South Yorkshire,KP2,36,2,18,30,289,113
2011-08,South Yorkshire,AD2,44,0,9,13,117,76
2011-08,South Yorkshire,AD3,42,0,18,6,34,29
2011-08,South Yorkshire,AD1,28,0,11,7,92,39
2011-08,South Yorkshire,AB1,20,3,9,15,151,88
2011-08,South Yorkshire,AB2,30,2,26,12,147,78
2011-08,South Yorkshire,AB3,15,0,12,13,90,92
2011-08,South Yorkshire,BD1,15,0,6,8,57,38
2011-08,South Yorkshire,KL1,20,4,20,11,173,63
2011-08,South Yorkshire,KL2,38,0,25,19,209,135
2011-08,South Yorkshire,BD2,9,0,8,20,100,42
2011-08,South Yorkshire,BB2,14,0,18,13,159,74
2011-08,South Yorkshire,BB1,29,1,16,22,220,113
2011-08,South Yorkshire,KF2,15,2,14,3,89,51
2011-08,South Yorkshire,KF3,34,1,37,6,130,78
2011-08,South Yorkshire,KF1,54,11,30,17,321,136
2011-08,South Yorkshire,KL3,5,0,7,5,103,28
2011-08,South Yorkshire,KO1,25,3,32,21,210,124
2011-08,South Yorkshire,AE2,24,1,13,16,110,64
2011-08,South Yorkshire,KA2,0,0,0,0,5,56
2011-08,South Yorkshire,KB2,26,0,16,20,153,74
2011-08,South Yorkshire,KB3,14,1,10,24,178,91
2011-08,South Yorkshire,KB1,6,1,6,6,77,32
2011-08,South Yorkshire,KD1,26,6,19,71,318,300
2011-08,South Yorkshire,AE1,25,0,13,16,117,92
2011-08,South Yorkshire,AC3,38,2,14,16,120,84
2011-08,South Yorkshire,AE3,12,0,8,9,35,30
2011-08,South Yorkshire,KO2,15,1,22,16,141,109
2011-08,South Yorkshire,BA2,20,3,8,17,188,65
2011-08,South Yorkshire,BA1,27,1,12,63,243,158
2011-08,South Yorkshire,CA2,27,1,25,28,317,145
2011-08,South Yorkshire,CA1,38,1,22,22,261,94
2011-08,South Yorkshire,CC1,37,0,26,43,284,98
2011-08,South Yorkshire,CC3,10,0,8,34,89,85
2011-08,South Yorkshire,CC2,32,4,20,32,358,118
2011-08,South Yorkshire,AA5,1,0,6,1,29,6
2011-08,South Yorkshire,AA4,15,2,23,17,98,55
2011-08,South Yorkshire,AC1,39,1,7,18,101,92
2011-08,South Yorkshire,AA6,33,0,22,18,164,64
2011-08,South Yorkshire,AA1,9,0,16,16,97,62
2011-08,South Yorkshire,AA3,22,3,17,53,236,177
2011-08,South Yorkshire,AA2,23,1,16,29,118,79
2011-08,South Yorkshire,BE2,5,0,4,6,45,20
2011-08,South Yorkshire,KO3,13,1,19,11,111,60
2011-08,South Yorkshire,BE1,11,0,27,15,134,68
2011-08,South Yorkshire,BC1,29,0,14,23,192,79
2011-08,South Yorkshire,BC2,15,0,12,10,134,47
2011-08,South Yorkshire,AC2,34,0,20,27,132,77
