Month,Force,Neighbourhood,Burglary,Robbery,Vehicle crime,Violent crime,Anti-social behaviour,Other crime
2011-08,Suffolk Constabulary,bw1,11,0,8,14,59,33
2011-08,Suffolk Constabulary,ise1,29,1,20,30,179,154
2011-08,Suffolk Constabulary,lc1,27,0,14,91,264,198
2011-08,Suffolk Constabulary,h1,10,1,17,42,144,108
2011-08,Suffolk Constabulary,lad1,8,0,5,19,73,72
2011-08,Suffolk Constabulary,b1,12,0,15,15,70,66
2011-08,Suffolk Constabulary,ers1,3,0,7,6,27,24
2011-08,Suffolk Constabulary,ern1,7,0,8,17,69,56
2011-08,Suffolk Constabulary,saf1,13,0,3,12,52,49
2011-08,Suffolk Constabulary,msn1,7,0,8,11,43,34
2011-08,Suffolk Constabulary,s1,19,0,3,21,104,74
2011-08,Suffolk Constabulary,inw1,9,1,12,34,112,65
2011-08,Suffolk Constabulary,fd1,20,1,23,22,150,121
2011-08,Suffolk Constabulary,m1,10,0,25,14,68,65
2011-08,Suffolk Constabulary,sah1,4,0,2,14,46,38
2011-08,Suffolk Constabulary,isw1,11,4,13,96,276,135
2011-08,Suffolk Constabulary,be1,22,0,18,25,148,59
2011-08,Suffolk Constabulary,bc1,7,0,8,37,109,102
2011-08,Suffolk Constabulary,sgc1,13,0,13,37,129,101
2011-08,Suffolk Constabulary,kad1,14,0,15,9,70,41
2011-08,Suffolk Constabulary,msc1,10,0,2,6,32,26
2011-08,Suffolk Constabulary,ln1,23,0,14,35,145,92
2011-08,Suffolk Constabulary,wad1,17,0,12,16,125,71
2011-08,Suffolk Constabulary,bew1,13,1,6,30,106,74
2011-08,Suffolk Constabulary,ls1,31,2,8,32,115,58
2011-08,Suffolk Constabulary,mss1,14,0,11,16,90,44
2011-08,Suffolk Constabulary,n1,6,2,17,48,108,111
2011-08,Suffolk Constabulary,ic1,55,3,13,129,309,298
2011-08,Suffolk Constabulary,ine1,10,0,9,27,79,48
2011-08,Suffolk Constabulary,bb1,14,1,13,27,112,66
