Month,Force,Neighbourhood,Burglary,Robbery,Vehicle crime,Violent crime,Anti-social behaviour,Criminal damage and arson,Shoplifting,Other theft,Drugs,Public disorder and weapons,Other crime
2011-09,Cambridgeshire Constabulary,214,27,0,11,9,43,9,0,15,2,2,3
2011-09,Cambridgeshire Constabulary,215,10,0,13,10,44,10,4,19,2,2,1
2011-09,Cambridgeshire Constabulary,212,23,0,11,11,95,24,3,24,2,4,3
2011-09,Cambridgeshire Constabulary,213,9,1,10,5,34,5,1,16,4,0,3
2011-09,Cambridgeshire Constabulary,211,10,0,10,8,50,18,1,20,2,1,4
2011-09,Cambridgeshire Constabulary,312,27,2,13,31,184,49,27,37,10,5,4
2011-09,Cambridgeshire Constabulary,311,12,0,5,17,118,19,2,22,3,0,0
2011-09,Cambridgeshire Constabulary,322,21,6,14,29,170,52,1,33,10,13,1
2011-09,Cambridgeshire Constabulary,323,12,0,18,9,76,21,6,30,7,1,9
2011-09,Cambridgeshire Constabulary,324,4,2,10,37,72,32,47,55,7,20,4
2011-09,Cambridgeshire Constabulary,451,31,0,7,27,119,15,6,21,5,5,1
2011-09,Cambridgeshire Constabulary,421,20,2,23,37,174,34,23,38,20,6,4
2011-09,Cambridgeshire Constabulary,422,3,0,2,7,72,14,2,13,9,0,2
2011-09,Cambridgeshire Constabulary,452,9,1,5,4,39,8,3,7,4,0,2
2011-09,Cambridgeshire Constabulary,201,18,1,22,32,167,24,10,44,4,8,1
2011-09,Cambridgeshire Constabulary,203,16,1,11,42,199,30,27,81,16,11,5
2011-09,Cambridgeshire Constabulary,202,11,0,9,40,101,13,46,171,11,23,4
2011-09,Cambridgeshire Constabulary,204,10,1,23,18,88,12,2,43,1,6,2
2011-09,Cambridgeshire Constabulary,443,8,1,5,10,71,13,1,16,0,3,5
2011-09,Cambridgeshire Constabulary,301,29,0,30,34,198,44,12,56,13,7,11
2011-09,Cambridgeshire Constabulary,441,16,2,9,15,92,16,15,28,4,3,6
2011-09,Cambridgeshire Constabulary,325,9,1,4,26,70,18,13,14,9,6,4
2011-09,Cambridgeshire Constabulary,442,10,1,9,23,88,25,12,26,5,6,4
2011-09,Cambridgeshire Constabulary,222,16,1,9,9,61,5,4,15,3,1,3
2011-09,Cambridgeshire Constabulary,221,47,0,27,19,114,23,21,55,13,8,7
2011-09,Cambridgeshire Constabulary,302,14,1,18,35,146,33,5,26,5,9,6
2011-09,Cambridgeshire Constabulary,411,6,0,12,21,95,32,15,28,6,7,6
2011-09,Cambridgeshire Constabulary,412,6,1,5,8,58,11,7,8,5,1,0
2011-09,Cambridgeshire Constabulary,413,5,0,3,10,66,13,2,15,2,0,0
2011-09,Cambridgeshire Constabulary,432,5,0,10,13,68,23,0,5,1,2,1
2011-09,Cambridgeshire Constabulary,431,13,0,7,15,83,20,1,22,4,3,3
