Month,Force,Neighbourhood,Burglary,Robbery,Vehicle crime,Violent crime,Anti-social behaviour,Criminal damage and arson,Shoplifting,Other theft,Drugs,Public disorder and weapons,Other crime
2011-09,Cheshire Constabulary,N020,2,0,1,4,9,0,2,1,0,0,0
2011-09,Cheshire Constabulary,N021,13,1,9,15,78,10,9,14,3,2,2
2011-09,Cheshire Constabulary,N022,12,0,7,10,56,13,0,4,2,1,1
2011-09,Cheshire Constabulary,N023,11,1,6,12,47,20,6,8,2,2,0
2011-09,Cheshire Constabulary,N024,2,0,2,19,66,12,22,30,20,16,7
2011-09,Cheshire Constabulary,N025,7,0,13,7,59,16,11,14,6,1,2
2011-09,Cheshire Constabulary,N008,11,0,4,5,41,3,0,16,3,2,1
2011-09,Cheshire Constabulary,N009,4,1,7,13,42,5,2,11,3,1,4
2011-09,Cheshire Constabulary,N006,1,0,2,3,10,1,2,5,1,0,0
2011-09,Cheshire Constabulary,N007,6,0,5,19,63,19,5,11,0,9,6
2011-09,Cheshire Constabulary,N004,47,1,13,87,328,106,36,87,13,17,9
2011-09,Cheshire Constabulary,N005,2,0,0,5,13,1,0,3,0,0,0
2011-09,Cheshire Constabulary,N002,13,1,22,26,119,28,3,27,4,2,8
2011-09,Cheshire Constabulary,N003,18,0,7,12,55,10,2,16,4,2,5
2011-09,Cheshire Constabulary,N001,13,0,22,12,102,16,8,26,3,6,4
2011-09,Cheshire Constabulary,N048,18,0,5,11,26,7,1,14,1,0,3
2011-09,Cheshire Constabulary,N049,25,1,22,60,212,59,43,44,10,9,18
2011-09,Cheshire Constabulary,N042,20,0,6,24,178,34,64,69,12,16,15
2011-09,Cheshire Constabulary,N043,13,0,8,21,61,11,4,10,5,3,7
2011-09,Cheshire Constabulary,N040,6,1,8,13,59,9,13,6,9,2,1
2011-09,Cheshire Constabulary,N041,8,0,11,12,24,3,2,8,7,0,0
2011-09,Cheshire Constabulary,N046,15,1,2,4,48,19,2,14,9,3,5
2011-09,Cheshire Constabulary,N047,9,0,11,5,44,9,0,14,8,3,1
2011-09,Cheshire Constabulary,N044,23,0,14,15,66,7,10,20,5,3,2
2011-09,Cheshire Constabulary,N045,10,0,5,10,34,6,13,12,2,2,6
2011-09,Cheshire Constabulary,N033,7,0,5,14,31,13,1,3,2,0,2
2011-09,Cheshire Constabulary,N026,9,0,7,5,53,8,5,10,2,0,1
2011-09,Cheshire Constabulary,N050,13,1,1,9,46,9,0,12,2,4,4
2011-09,Cheshire Constabulary,N027,12,1,10,22,86,17,15,21,3,4,4
2011-09,Cheshire Constabulary,N028,2,0,2,11,39,6,3,9,2,0,5
2011-09,Cheshire Constabulary,N029,9,0,9,4,44,11,4,3,0,1,2
2011-09,Cheshire Constabulary,N039,6,0,9,4,34,5,1,5,3,1,2
2011-09,Cheshire Constabulary,N032,11,0,13,6,31,9,2,9,0,1,0
2011-09,Cheshire Constabulary,N019,9,0,13,8,38,12,2,4,6,2,3
2011-09,Cheshire Constabulary,N018,6,0,10,4,39,7,9,11,0,0,1
2011-09,Cheshire Constabulary,N031,4,1,1,3,18,6,1,9,1,0,0
2011-09,Cheshire Constabulary,N030,5,0,6,4,20,3,0,8,4,1,5
2011-09,Cheshire Constabulary,N037,32,3,14,23,183,49,37,34,10,9,9
2011-09,Cheshire Constabulary,N036,18,2,11,19,86,21,9,16,2,1,0
2011-09,Cheshire Constabulary,N035,1,0,3,4,8,2,0,6,12,0,1
2011-09,Cheshire Constabulary,N034,9,0,8,23,74,11,4,19,2,4,6
2011-09,Cheshire Constabulary,N011,4,1,4,6,19,8,5,4,1,0,2
2011-09,Cheshire Constabulary,N010,4,1,6,10,29,4,4,8,1,3,2
2011-09,Cheshire Constabulary,N013,5,0,9,33,101,28,16,32,4,6,2
2011-09,Cheshire Constabulary,N012,6,0,3,4,29,6,0,5,2,0,0
2011-09,Cheshire Constabulary,N015,3,0,4,1,18,2,0,7,0,0,1
2011-09,Cheshire Constabulary,N014,5,0,2,9,54,4,3,4,0,0,1
2011-09,Cheshire Constabulary,N017,6,0,4,8,26,3,0,2,2,2,5
2011-09,Cheshire Constabulary,N016,11,0,8,2,18,2,1,5,2,0,1
2011-09,Cheshire Constabulary,N052,10,0,12,28,186,38,11,28,7,3,6
2011-09,Cheshire Constabulary,N038,11,0,9,38,126,13,26,29,12,2,6
2011-09,Cheshire Constabulary,N051,32,0,15,30,208,42,23,52,9,8,8
