Month,Force,Neighbourhood,Burglary,Robbery,Vehicle crime,Violent crime,Anti-social behaviour,Criminal damage and arson,Shoplifting,Other theft,Drugs,Public disorder and weapons,Other crime
2011-09,Cumbria Constabulary,GARS07,3,0,3,2,18,2,2,7,1,1,2
2011-09,Cumbria Constabulary,GARS06,3,0,2,16,39,54,7,11,4,2,3
2011-09,Cumbria Constabulary,GARS05,0,0,1,11,36,4,0,4,0,0,0
2011-09,Cumbria Constabulary,GARS04,2,0,1,11,50,9,1,4,1,3,0
2011-09,Cumbria Constabulary,GARS03,4,0,7,19,56,12,3,8,5,2,3
2011-09,Cumbria Constabulary,GARS02,2,0,1,10,53,11,2,4,1,2,4
2011-09,Cumbria Constabulary,GARS01,8,0,3,48,194,27,25,24,7,17,7
2011-09,Cumbria Constabulary,GARY01,2,0,0,3,3,3,0,0,0,0,0
2011-09,Cumbria Constabulary,GARS09,7,0,3,12,56,14,5,7,2,1,1
2011-09,Cumbria Constabulary,GARS08,1,0,2,0,5,1,1,7,0,1,2
2011-09,Cumbria Constabulary,GARZ05,3,0,0,2,8,1,0,3,3,1,0
2011-09,Cumbria Constabulary,GARX10,7,0,3,6,61,12,5,5,2,5,0
2011-09,Cumbria Constabulary,GARZ04,2,0,1,5,10,4,0,10,3,0,0
2011-09,Cumbria Constabulary,GARU01,8,0,5,11,79,29,5,10,16,5,1
2011-09,Cumbria Constabulary,GARU03,9,0,10,18,126,25,29,19,18,10,1
2011-09,Cumbria Constabulary,GARU02,5,0,8,16,64,26,0,9,11,2,3
2011-09,Cumbria Constabulary,GARU07,2,0,0,8,21,10,2,6,5,0,0
2011-09,Cumbria Constabulary,GARY08,4,1,5,18,77,21,5,6,10,7,6
2011-09,Cumbria Constabulary,GARU09,4,0,1,11,26,9,0,5,4,1,1
2011-09,Cumbria Constabulary,GARU08,1,0,1,6,29,8,2,4,7,2,0
2011-09,Cumbria Constabulary,GARV02,5,0,0,9,65,13,0,4,1,3,0
2011-09,Cumbria Constabulary,GARV03,1,0,8,7,50,20,0,5,3,1,0
2011-09,Cumbria Constabulary,GARV01,6,0,1,7,32,10,0,13,6,0,1
2011-09,Cumbria Constabulary,GARV04,8,0,1,9,23,22,1,4,1,2,1
2011-09,Cumbria Constabulary,GARV05,5,0,7,23,91,25,10,12,9,6,3
2011-09,Cumbria Constabulary,GARX04,6,0,0,17,72,11,2,6,3,7,5
2011-09,Cumbria Constabulary,GARX05,4,0,4,9,71,18,2,6,5,4,4
2011-09,Cumbria Constabulary,GARX06,0,0,1,7,30,5,1,3,2,2,2
2011-09,Cumbria Constabulary,GARX07,1,0,4,10,58,26,1,5,4,1,1
2011-09,Cumbria Constabulary,GARY09,4,0,2,2,17,6,0,7,1,2,2
2011-09,Cumbria Constabulary,GARX01,2,0,0,1,13,0,6,1,0,0,2
2011-09,Cumbria Constabulary,GARX02,5,0,2,3,26,5,0,5,0,0,1
2011-09,Cumbria Constabulary,GARX03,0,0,4,28,134,11,56,18,9,28,8
2011-09,Cumbria Constabulary,GARY05,2,0,1,3,11,2,1,6,1,1,0
2011-09,Cumbria Constabulary,GARY04,10,0,13,2,19,6,0,8,1,1,2
2011-09,Cumbria Constabulary,GARY07,2,0,4,2,8,1,0,9,2,0,1
2011-09,Cumbria Constabulary,GARY06,3,0,0,5,11,2,0,8,1,1,0
2011-09,Cumbria Constabulary,GARX08,1,1,1,12,66,22,8,9,3,4,1
2011-09,Cumbria Constabulary,GARX09,0,2,2,10,56,12,6,5,4,1,2
2011-09,Cumbria Constabulary,GARY03,3,0,3,7,22,4,1,6,2,0,1
2011-09,Cumbria Constabulary,GARY02,4,0,1,1,18,4,1,3,0,3,1
2011-09,Cumbria Constabulary,GARU10,2,0,2,4,16,4,1,10,1,0,0
2011-09,Cumbria Constabulary,GARU11,2,0,1,5,18,2,0,2,0,0,0
2011-09,Cumbria Constabulary,GARZ02,11,0,5,19,69,34,10,11,4,12,3
2011-09,Cumbria Constabulary,GARZ03,0,0,2,3,8,2,1,3,1,2,1
2011-09,Cumbria Constabulary,GARZ01,4,0,5,10,63,23,5,7,0,3,3
