Month,Force,Neighbourhood,Burglary,Robbery,Vehicle crime,Violent crime,Anti-social behaviour,Criminal damage and arson,Shoplifting,Other theft,Drugs,Public disorder and weapons,Other crime
2011-09,Gloucestershire Constabulary,FA9,4,0,3,3,22,10,1,8,0,0,0
2011-09,Gloucestershire Constabulary,CB2,2,0,2,2,18,6,0,7,3,0,3
2011-09,Gloucestershire Constabulary,CB3,4,0,3,2,8,3,3,3,2,0,0
2011-09,Gloucestershire Constabulary,CB1,0,0,2,0,9,1,1,1,0,0,1
2011-09,Gloucestershire Constabulary,CB4,18,0,3,13,78,12,3,15,2,1,2
2011-09,Gloucestershire Constabulary,AB1,9,0,11,2,12,3,0,5,0,0,1
2011-09,Gloucestershire Constabulary,AB2,26,2,12,38,133,17,61,61,8,13,8
2011-09,Gloucestershire Constabulary,AB3,8,0,5,4,9,5,0,4,0,1,3
2011-09,Gloucestershire Constabulary,AB4,14,0,9,1,19,5,0,6,2,0,1
2011-09,Gloucestershire Constabulary,AB5,9,0,5,3,34,14,5,11,0,1,5
2011-09,Gloucestershire Constabulary,AB6,11,0,11,3,26,6,3,3,0,0,1
2011-09,Gloucestershire Constabulary,AB7,14,0,3,0,32,3,4,12,0,1,0
2011-09,Gloucestershire Constabulary,BB7,8,0,6,4,42,8,2,7,3,1,0
2011-09,Gloucestershire Constabulary,BB6,5,0,9,1,30,8,3,6,0,0,1
2011-09,Gloucestershire Constabulary,BB5,8,0,4,7,43,9,4,13,2,1,3
2011-09,Gloucestershire Constabulary,BB4,8,2,2,9,66,8,4,6,3,1,1
2011-09,Gloucestershire Constabulary,BB3,18,1,8,14,81,11,8,25,2,5,5
2011-09,Gloucestershire Constabulary,BB2,1,0,5,8,52,1,1,7,2,2,0
2011-09,Gloucestershire Constabulary,BB1,4,0,6,4,20,8,0,8,0,0,0
2011-09,Gloucestershire Constabulary,FA8,2,0,2,4,9,0,0,2,0,0,0
2011-09,Gloucestershire Constabulary,FA1,4,0,7,1,4,2,1,8,0,0,0
2011-09,Gloucestershire Constabulary,FA2,2,0,3,1,12,1,0,6,4,0,2
2011-09,Gloucestershire Constabulary,FA3,2,0,0,2,20,3,1,4,0,0,1
2011-09,Gloucestershire Constabulary,BB8,10,0,2,6,55,16,0,7,2,2,4
2011-09,Gloucestershire Constabulary,FA6,7,1,7,17,85,14,12,17,5,2,4
2011-09,Gloucestershire Constabulary,FA7,5,0,0,0,9,4,0,6,0,0,1
2011-09,Gloucestershire Constabulary,FA4,6,0,4,7,29,7,1,8,2,0,2
2011-09,Gloucestershire Constabulary,FA5,5,0,2,4,10,5,2,8,2,0,3
2011-09,Gloucestershire Constabulary,DA4,3,0,3,0,10,1,0,0,0,0,0
2011-09,Gloucestershire Constabulary,DA5,2,0,4,1,10,3,0,2,0,0,0
2011-09,Gloucestershire Constabulary,DA6,2,0,10,6,29,2,2,5,1,1,1
2011-09,Gloucestershire Constabulary,DA7,7,0,5,12,24,8,1,5,0,1,2
2011-09,Gloucestershire Constabulary,DA1,5,0,7,16,95,12,8,10,3,1,3
2011-09,Gloucestershire Constabulary,DA2,8,0,1,4,20,3,0,9,2,1,1
2011-09,Gloucestershire Constabulary,DA3,15,0,2,7,39,4,5,7,2,0,3
2011-09,Gloucestershire Constabulary,EA1,16,1,5,7,31,6,1,9,1,1,0
2011-09,Gloucestershire Constabulary,EA3,11,0,6,7,66,17,5,8,2,1,3
2011-09,Gloucestershire Constabulary,EA2,15,1,10,18,78,9,5,8,2,3,1
2011-09,Gloucestershire Constabulary,EA5,1,0,1,2,21,6,1,4,1,0,0
2011-09,Gloucestershire Constabulary,EA4,6,0,7,11,47,9,4,5,2,0,1
2011-09,Gloucestershire Constabulary,BA4,17,4,15,31,116,22,12,25,8,8,3
2011-09,Gloucestershire Constabulary,BA2,0,0,4,5,15,3,7,9,1,0,2
2011-09,Gloucestershire Constabulary,BA3,11,0,14,11,68,8,1,13,1,0,1
2011-09,Gloucestershire Constabulary,BA1,17,1,10,49,210,17,52,52,11,15,5
2011-09,Gloucestershire Constabulary,CA3,6,0,4,2,26,1,1,3,0,0,1
2011-09,Gloucestershire Constabulary,CA2,13,0,8,4,56,14,0,9,1,0,1
2011-09,Gloucestershire Constabulary,CA1,22,0,22,33,167,39,17,24,14,10,2
2011-09,Gloucestershire Constabulary,CA4,5,1,8,6,45,3,2,8,1,0,5
2011-09,Gloucestershire Constabulary,AA5,14,0,3,9,36,9,0,7,1,0,2
2011-09,Gloucestershire Constabulary,AA4,9,1,3,0,19,5,11,1,4,1,1
2011-09,Gloucestershire Constabulary,AA7,36,0,9,5,56,14,1,8,4,4,2
2011-09,Gloucestershire Constabulary,AA6,5,0,2,2,7,2,0,13,0,0,1
2011-09,Gloucestershire Constabulary,AA1,6,0,4,8,60,16,3,8,8,2,1
2011-09,Gloucestershire Constabulary,AA3,24,1,9,13,61,13,10,11,7,4,2
2011-09,Gloucestershire Constabulary,AA2,5,0,4,1,12,1,0,4,0,0,0
