Month,Force,Neighbourhood,Burglary,Robbery,Vehicle crime,Violent crime,Anti-social behaviour,Criminal damage and arson,Shoplifting,Other theft,Drugs,Public disorder and weapons,Other crime
2011-09,Greater Manchester Police,Q1,86,22,57,159,529,113,54,127,45,45,38
2011-09,Greater Manchester Police,Q2,115,13,78,82,432,114,30,80,29,24,57
2011-09,Greater Manchester Police,K3,69,0,50,105,390,100,19,73,17,23,20
2011-09,Greater Manchester Police,K2,103,7,80,109,411,112,29,95,24,21,29
2011-09,Greater Manchester Police,K1,80,2,50,101,272,81,58,116,31,47,29
2011-09,Greater Manchester Police,M1,42,10,46,89,273,70,68,140,36,33,43
2011-09,Greater Manchester Police,M2,83,5,49,76,316,89,65,94,33,14,33
2011-09,Greater Manchester Police,G2,113,15,45,109,556,126,44,84,36,27,48
2011-09,Greater Manchester Police,G1,68,7,49,171,597,124,62,98,44,35,34
2011-09,Greater Manchester Police,I1,0,0,5,2,38,6,3,31,0,25,25
2011-09,Greater Manchester Police,A1,60,35,117,129,265,63,143,451,29,50,28
2011-09,Greater Manchester Police,A3,103,25,49,132,379,97,37,96,47,24,26
2011-09,Greater Manchester Police,A2,153,23,114,157,538,150,50,112,49,37,43
2011-09,Greater Manchester Police,E4,81,14,49,108,399,105,32,96,23,34,23
2011-09,Greater Manchester Police,E1,54,22,40,111,344,68,32,130,44,46,22
2011-09,Greater Manchester Police,E3,87,10,49,54,237,51,17,74,19,20,25
2011-09,Greater Manchester Police,E2,105,12,29,84,262,62,54,76,16,18,20
2011-09,Greater Manchester Police,P2,73,6,36,106,375,118,11,46,14,28,27
2011-09,Greater Manchester Police,P3,71,3,47,95,286,87,27,72,29,23,35
2011-09,Greater Manchester Police,P1,47,7,29,91,274,60,36,66,22,39,25
2011-09,Greater Manchester Police,L2,117,11,94,125,643,173,27,117,31,22,32
2011-09,Greater Manchester Police,L1,128,8,78,143,647,182,66,140,28,44,30
2011-09,Greater Manchester Police,N1,60,6,54,99,270,96,47,98,45,31,24
2011-09,Greater Manchester Police,N2,83,7,76,69,301,88,25,54,34,17,23
2011-09,Greater Manchester Police,F1,138,5,74,149,523,151,35,149,61,47,42
2011-09,Greater Manchester Police,F2,99,14,112,119,475,161,24,122,59,47,20
2011-09,Greater Manchester Police,J1,75,14,68,81,358,73,62,74,16,19,30
2011-09,Greater Manchester Police,J2,104,5,48,82,316,82,12,62,9,14,34
2011-09,Greater Manchester Police,J3,103,8,55,72,297,92,36,64,16,11,35
