Month,Force,Neighbourhood,Burglary,Robbery,Vehicle crime,Violent crime,Anti-social behaviour,Criminal damage and arson,Shoplifting,Other theft,Drugs,Public disorder and weapons,Other crime
2011-09,Gwent Police,GB83,8,0,3,2,24,2,1,5,2,1,0
2011-09,Gwent Police,GB82,4,0,1,2,35,8,3,12,3,0,0
2011-09,Gwent Police,GB81,5,0,12,1,53,11,6,8,8,0,0
2011-09,Gwent Police,MM88,1,0,0,1,4,1,0,1,0,0,1
2011-09,Gwent Police,MM89,1,0,2,0,3,0,0,1,0,0,0
2011-09,Gwent Police,CP84,1,0,2,0,29,2,0,2,1,0,0
2011-09,Gwent Police,CP81,1,0,3,3,33,3,8,5,1,1,4
2011-09,Gwent Police,CP83,1,0,3,0,28,3,0,0,0,1,1
2011-09,Gwent Police,CP82,1,0,7,4,32,2,14,5,0,0,2
2011-09,Gwent Police,CG82,7,1,0,1,10,2,0,0,0,0,1
2011-09,Gwent Police,CG83,4,0,2,2,19,4,0,3,3,0,0
2011-09,Gwent Police,CG81,8,0,2,5,34,4,3,3,3,0,0
2011-09,Gwent Police,GT81,8,0,4,1,92,8,3,7,3,0,1
2011-09,Gwent Police,GT83,4,0,3,0,12,3,0,2,0,0,0
2011-09,Gwent Police,GT82,5,0,4,1,32,7,0,4,2,1,1
2011-09,Gwent Police,NM83,7,0,1,2,65,7,1,4,1,1,1
2011-09,Gwent Police,NM82,14,1,12,1,56,13,2,9,9,1,0
2011-09,Gwent Police,NM81,13,1,5,2,86,17,5,13,5,0,1
2011-09,Gwent Police,NM84,14,0,5,4,136,14,19,14,5,0,1
2011-09,Gwent Police,GE84,2,0,1,2,15,3,1,2,1,0,0
2011-09,Gwent Police,GE85,3,0,3,1,13,2,0,5,2,0,0
2011-09,Gwent Police,GE86,4,0,1,1,28,5,0,1,0,1,0
2011-09,Gwent Police,GE81,8,0,5,2,45,8,10,3,8,0,1
2011-09,Gwent Police,GE82,6,0,4,1,30,8,16,8,1,0,3
2011-09,Gwent Police,GE83,2,0,3,0,10,2,2,1,5,0,0
2011-09,Gwent Police,MH83,1,0,0,0,4,1,0,0,1,0,0
2011-09,Gwent Police,MH82,0,0,0,1,0,2,0,1,0,0,0
2011-09,Gwent Police,GA81,2,0,7,0,36,9,1,4,3,0,2
2011-09,Gwent Police,GA82,4,0,2,2,29,5,1,2,0,0,0
2011-09,Gwent Police,GA83,3,0,1,0,9,0,0,0,0,0,0
2011-09,Gwent Police,GA84,7,0,0,2,25,1,0,4,3,0,0
2011-09,Gwent Police,MH81,0,0,0,1,23,6,5,1,4,0,2
2011-09,Gwent Police,CC86,4,0,1,0,32,8,0,4,3,0,0
2011-09,Gwent Police,CC85,3,0,1,1,19,6,0,4,0,0,0
2011-09,Gwent Police,CC82,6,0,0,1,6,1,0,2,2,0,0
2011-09,Gwent Police,CC83,3,0,4,4,39,6,0,8,1,0,1
2011-09,Gwent Police,CC81,9,0,2,3,72,13,15,7,2,3,1
2011-09,Gwent Police,CY81,2,0,3,2,20,2,3,2,7,0,2
2011-09,Gwent Police,CY82,1,0,0,0,10,4,0,6,1,0,0
2011-09,Gwent Police,MH84,0,0,1,0,11,2,0,1,1,0,0
2011-09,Gwent Police,MM87,1,0,0,1,2,1,0,1,2,0,0
2011-09,Gwent Police,MM84,0,0,0,0,17,3,2,2,3,0,1
2011-09,Gwent Police,MM85,0,0,0,0,1,1,0,2,0,0,0
2011-09,Gwent Police,MM82,1,0,1,0,4,0,0,1,4,0,0
2011-09,Gwent Police,MM83,1,0,0,0,5,3,1,1,0,0,0
2011-09,Gwent Police,MM81,2,0,0,0,14,1,10,2,5,0,0
2011-09,Gwent Police,MA82,0,0,4,0,6,2,0,1,1,0,0
2011-09,Gwent Police,MA83,2,0,2,2,26,3,8,4,0,0,1
2011-09,Gwent Police,MA81,2,0,3,0,19,6,1,3,1,1,2
2011-09,Gwent Police,MA86,0,0,0,0,7,0,1,0,0,0,1
2011-09,Gwent Police,MA87,2,0,0,0,1,0,0,0,1,0,0
2011-09,Gwent Police,MA84,1,0,3,1,13,2,0,1,0,0,0
2011-09,Gwent Police,MA85,2,0,0,2,20,3,0,3,0,0,0
2011-09,Gwent Police,CR87,3,0,3,0,16,0,0,6,1,0,0
2011-09,Gwent Police,CR86,4,0,2,2,28,9,1,0,1,0,1
2011-09,Gwent Police,CR85,1,0,3,2,37,8,0,5,0,0,0
2011-09,Gwent Police,CR84,4,0,2,1,45,9,0,10,0,0,0
2011-09,Gwent Police,CR83,4,0,4,1,10,1,0,0,0,0,1
2011-09,Gwent Police,CR82,4,0,2,2,35,7,0,6,0,0,1
2011-09,Gwent Police,CR81,2,0,4,2,30,6,3,7,1,3,3
2011-09,Gwent Police,MA91,6,0,6,0,8,2,0,2,0,0,0
2011-09,Gwent Police,MA90,2,0,3,1,20,6,0,2,0,1,4
2011-09,Gwent Police,MA93,2,0,0,0,1,0,0,3,0,0,0
2011-09,Gwent Police,NC84,12,0,9,1,79,12,7,7,4,0,1
2011-09,Gwent Police,MM91,3,0,0,0,7,2,0,0,0,0,0
2011-09,Gwent Police,MM90,0,0,0,0,3,0,0,0,0,0,0
2011-09,Gwent Police,MM93,0,0,1,0,0,0,0,0,0,0,0
2011-09,Gwent Police,MM92,3,0,0,0,0,0,0,0,0,0,0
2011-09,Gwent Police,NL82,5,0,2,2,28,7,0,12,0,0,2
2011-09,Gwent Police,NL83,9,0,2,2,38,6,0,2,0,0,0
2011-09,Gwent Police,NL81,15,1,13,4,67,19,10,10,4,0,0
2011-09,Gwent Police,MC89,3,0,3,0,8,3,0,0,2,0,1
2011-09,Gwent Police,MA92,1,0,1,0,9,0,1,0,0,0,0
2011-09,Gwent Police,CD81,9,0,3,0,43,7,3,6,2,0,1
2011-09,Gwent Police,CD82,3,0,4,1,53,6,0,5,1,0,0
2011-09,Gwent Police,TP89,1,0,0,0,7,0,0,0,0,0,0
2011-09,Gwent Police,CH85,7,0,6,0,40,6,0,3,3,1,1
2011-09,Gwent Police,CH84,0,0,1,0,15,3,0,2,0,0,0
2011-09,Gwent Police,CH81,3,0,3,4,40,6,1,4,1,0,2
2011-09,Gwent Police,CH83,3,0,0,0,13,1,0,0,0,0,1
2011-09,Gwent Police,CH82,3,0,3,5,29,5,0,5,3,0,0
2011-09,Gwent Police,MH88,0,0,0,0,0,0,0,0,0,0,0
2011-09,Gwent Police,CY84,1,0,1,0,8,4,3,7,4,0,0
2011-09,Gwent Police,CY85,7,0,4,2,42,10,2,1,2,0,2
2011-09,Gwent Police,CY86,0,0,2,2,48,4,0,4,2,0,1
2011-09,Gwent Police,MH87,2,0,0,1,2,1,0,2,1,0,0
2011-09,Gwent Police,MH86,1,0,3,0,2,1,0,1,0,0,0
2011-09,Gwent Police,MH85,0,0,2,0,20,3,3,0,0,0,1
2011-09,Gwent Police,CY83,0,0,0,0,0,0,0,0,0,0,0
2011-09,Gwent Police,TC90,7,0,1,3,53,8,1,2,1,0,0
2011-09,Gwent Police,TC91,0,0,0,1,11,1,0,3,1,0,0
2011-09,Gwent Police,TC92,2,0,2,1,44,4,1,1,0,0,0
2011-09,Gwent Police,NC81,20,0,9,15,158,23,61,47,17,2,3
2011-09,Gwent Police,NC83,4,0,3,2,42,4,1,2,2,0,3
2011-09,Gwent Police,NC82,13,0,3,3,30,7,6,8,1,0,3
2011-09,Gwent Police,MC88,2,0,0,0,3,1,0,1,0,0,0
2011-09,Gwent Police,TP81,8,0,8,5,35,2,4,4,1,0,4
2011-09,Gwent Police,TP82,2,0,6,0,26,2,0,1,0,0,0
2011-09,Gwent Police,TP83,3,0,2,0,11,0,0,2,2,0,0
2011-09,Gwent Police,TP84,1,0,1,0,3,4,0,1,0,0,0
2011-09,Gwent Police,TP85,0,0,2,1,18,2,1,2,2,0,0
2011-09,Gwent Police,TP86,0,0,1,1,33,12,0,2,6,0,0
2011-09,Gwent Police,TP87,8,0,6,1,36,8,0,4,3,0,0
2011-09,Gwent Police,TP88,11,0,8,0,20,6,1,4,1,0,0
2011-09,Gwent Police,MC81,2,0,0,0,16,3,3,2,2,0,0
2011-09,Gwent Police,MC82,2,0,0,0,10,3,0,1,0,0,0
2011-09,Gwent Police,MC83,2,0,0,0,4,2,0,3,0,0,0
2011-09,Gwent Police,MC84,0,0,3,0,3,0,0,0,0,0,0
2011-09,Gwent Police,MC85,1,0,1,0,5,0,0,0,3,0,0
2011-09,Gwent Police,MC86,1,0,0,1,2,0,0,0,0,0,0
2011-09,Gwent Police,MC87,2,0,0,0,2,0,0,1,1,0,0
2011-09,Gwent Police,NA85,4,0,0,0,8,2,0,2,0,0,1
2011-09,Gwent Police,NA84,1,0,2,0,6,3,0,4,0,0,0
2011-09,Gwent Police,NA83,7,0,9,1,30,6,1,7,1,0,5
2011-09,Gwent Police,NA82,1,0,7,7,64,14,4,11,2,1,4
2011-09,Gwent Police,NA81,4,0,2,1,34,11,1,6,4,2,0
2011-09,Gwent Police,CG85,9,0,6,4,12,3,0,6,0,0,0
2011-09,Gwent Police,TC89,4,0,1,2,22,3,3,1,2,0,0
2011-09,Gwent Police,TC88,0,0,1,3,26,11,2,5,1,0,0
2011-09,Gwent Police,TC83,1,0,0,0,14,0,0,0,0,0,0
2011-09,Gwent Police,TC82,4,0,0,0,2,0,0,2,0,0,0
2011-09,Gwent Police,TC81,19,0,12,4,81,11,31,9,16,1,2
2011-09,Gwent Police,TC87,8,1,1,2,45,5,0,2,3,0,1
2011-09,Gwent Police,TC86,3,0,6,10,42,11,1,1,4,0,1
2011-09,Gwent Police,TC85,0,0,0,0,17,1,0,3,0,0,0
2011-09,Gwent Police,TC84,1,0,1,1,8,0,0,0,0,0,0
2011-09,Gwent Police,TP92,5,0,6,2,23,1,0,2,3,0,1
2011-09,Gwent Police,TP91,5,0,6,0,23,4,0,1,1,0,1
2011-09,Gwent Police,TP90,1,0,1,0,28,0,0,3,2,0,1
2011-09,Gwent Police,MC90,1,0,2,0,5,2,0,0,3,0,1
2011-09,Gwent Police,MA88,3,0,0,0,3,0,0,1,1,0,0
2011-09,Gwent Police,MA89,0,0,0,0,0,1,0,0,0,0,0
2011-09,Gwent Police,NB84,4,0,0,0,12,4,0,1,0,0,5
2011-09,Gwent Police,NB81,4,0,12,4,75,6,0,6,4,2,0
2011-09,Gwent Police,NB82,5,0,2,1,38,8,3,2,2,0,1
2011-09,Gwent Police,NB83,6,0,4,0,42,8,5,7,2,0,3
