Month,Force,Neighbourhood,Burglary,Robbery,Vehicle crime,Violent crime,Anti-social behaviour,Criminal damage and arson,Shoplifting,Other theft,Drugs,Public disorder and weapons,Other crime
2011-09,Hertfordshire Constabulary,24,5,1,6,6,36,8,0,18,3,1,1
2011-09,Hertfordshire Constabulary,25,9,0,9,9,52,6,8,13,3,1,3
2011-09,Hertfordshire Constabulary,26,5,1,6,15,58,6,4,14,2,0,6
2011-09,Hertfordshire Constabulary,27,10,0,2,8,75,6,3,13,2,0,3
2011-09,Hertfordshire Constabulary,21,8,2,9,48,148,33,67,66,30,1,20
2011-09,Hertfordshire Constabulary,22,5,0,3,2,19,2,0,1,2,0,0
2011-09,Hertfordshire Constabulary,23,16,1,9,14,68,17,0,11,8,2,12
2011-09,Hertfordshire Constabulary,28,5,0,3,2,19,1,6,0,0,0,1
2011-09,Hertfordshire Constabulary,29,5,0,3,3,4,1,0,1,1,0,0
2011-09,Hertfordshire Constabulary,4,2,0,0,17,61,13,10,9,7,0,2
2011-09,Hertfordshire Constabulary,8,1,0,3,3,26,5,1,9,6,0,2
2011-09,Hertfordshire Constabulary,59,2,0,0,0,5,0,0,2,0,0,0
2011-09,Hertfordshire Constabulary,58,7,0,2,2,13,5,0,4,0,0,0
2011-09,Hertfordshire Constabulary,55,2,0,1,0,4,1,0,2,1,0,0
2011-09,Hertfordshire Constabulary,54,6,0,9,25,90,13,15,28,7,0,13
2011-09,Hertfordshire Constabulary,57,7,0,5,17,34,8,2,7,8,0,1
2011-09,Hertfordshire Constabulary,56,11,0,0,7,33,11,7,11,7,1,5
2011-09,Hertfordshire Constabulary,51,9,0,10,9,41,9,7,16,2,0,10
2011-09,Hertfordshire Constabulary,50,6,0,2,6,23,4,7,7,1,0,3
2011-09,Hertfordshire Constabulary,53,2,0,9,11,33,5,2,14,5,0,7
2011-09,Hertfordshire Constabulary,52,1,0,3,4,46,2,1,5,1,0,1
2011-09,Hertfordshire Constabulary,88,5,0,8,8,35,12,1,9,2,0,6
2011-09,Hertfordshire Constabulary,89,8,1,7,15,22,4,1,8,1,0,1
2011-09,Hertfordshire Constabulary,82,4,0,7,2,17,4,0,3,5,0,6
2011-09,Hertfordshire Constabulary,83,3,0,16,10,35,8,2,19,6,1,7
2011-09,Hertfordshire Constabulary,80,11,1,5,7,45,10,5,4,3,0,0
2011-09,Hertfordshire Constabulary,81,11,0,25,16,53,11,0,14,2,0,2
2011-09,Hertfordshire Constabulary,86,1,0,4,5,20,0,1,4,2,0,1
2011-09,Hertfordshire Constabulary,87,1,0,3,1,11,3,2,8,2,0,0
2011-09,Hertfordshire Constabulary,84,4,0,4,15,66,12,12,11,3,1,4
2011-09,Hertfordshire Constabulary,85,5,0,7,4,34,5,1,3,5,0,3
2011-09,Hertfordshire Constabulary,3,5,0,3,9,39,10,3,9,1,0,2
2011-09,Hertfordshire Constabulary,7,5,0,4,3,23,2,0,3,2,0,1
2011-09,Hertfordshire Constabulary,39,10,0,8,7,49,7,2,9,3,0,4
2011-09,Hertfordshire Constabulary,38,6,3,12,9,81,25,2,8,2,1,6
2011-09,Hertfordshire Constabulary,33,1,0,3,3,14,0,2,6,2,0,2
2011-09,Hertfordshire Constabulary,32,4,0,3,3,39,3,4,3,3,1,1
2011-09,Hertfordshire Constabulary,31,8,0,15,4,39,5,0,6,3,0,9
2011-09,Hertfordshire Constabulary,30,1,1,8,16,87,13,3,2,6,0,5
2011-09,Hertfordshire Constabulary,37,0,0,7,11,40,5,3,5,4,0,5
2011-09,Hertfordshire Constabulary,36,23,0,11,12,57,18,2,8,7,0,11
2011-09,Hertfordshire Constabulary,35,9,3,9,26,151,20,30,32,11,1,15
2011-09,Hertfordshire Constabulary,34,5,0,12,13,0,12,2,8,4,0,9
2011-09,Hertfordshire Constabulary,60,8,0,3,1,34,7,0,6,2,0,1
2011-09,Hertfordshire Constabulary,61,2,0,1,6,22,6,2,3,6,0,1
2011-09,Hertfordshire Constabulary,62,6,1,0,11,26,13,2,7,0,0,2
2011-09,Hertfordshire Constabulary,63,3,0,2,3,13,7,1,6,0,0,2
2011-09,Hertfordshire Constabulary,64,5,0,3,1,18,6,0,4,6,0,2
2011-09,Hertfordshire Constabulary,65,13,0,5,7,37,8,6,8,3,0,9
2011-09,Hertfordshire Constabulary,66,9,0,5,19,63,18,11,13,7,2,5
2011-09,Hertfordshire Constabulary,67,8,1,20,13,62,11,1,14,5,0,9
2011-09,Hertfordshire Constabulary,68,0,1,6,8,27,4,3,5,7,1,8
2011-09,Hertfordshire Constabulary,69,6,0,10,14,85,12,18,14,8,0,7
2011-09,Hertfordshire Constabulary,2,2,0,1,4,34,2,2,1,2,0,1
2011-09,Hertfordshire Constabulary,6,1,0,0,3,27,6,1,8,3,0,3
2011-09,Hertfordshire Constabulary,91,6,0,1,7,15,1,0,3,3,0,1
2011-09,Hertfordshire Constabulary,90,4,0,20,5,43,8,3,3,4,1,10
2011-09,Hertfordshire Constabulary,93,3,0,2,7,36,4,1,0,2,1,4
2011-09,Hertfordshire Constabulary,92,11,0,1,7,31,8,1,4,2,0,2
2011-09,Hertfordshire Constabulary,95,0,0,0,0,4,1,0,0,0,0,0
2011-09,Hertfordshire Constabulary,94,3,0,2,5,16,14,0,2,4,0,0
2011-09,Hertfordshire Constabulary,11,8,0,1,6,33,2,0,1,5,0,4
2011-09,Hertfordshire Constabulary,10,3,1,2,19,74,11,12,14,1,1,4
2011-09,Hertfordshire Constabulary,13,4,0,1,4,17,4,3,5,1,0,2
2011-09,Hertfordshire Constabulary,12,8,0,7,1,12,4,0,5,2,0,0
2011-09,Hertfordshire Constabulary,15,5,0,8,14,48,7,1,6,6,1,5
2011-09,Hertfordshire Constabulary,14,13,0,2,7,18,8,0,10,2,0,1
2011-09,Hertfordshire Constabulary,17,4,0,2,5,18,3,0,3,0,0,4
2011-09,Hertfordshire Constabulary,16,11,0,4,11,49,7,4,9,5,0,8
2011-09,Hertfordshire Constabulary,19,7,1,7,11,55,20,2,10,11,0,3
2011-09,Hertfordshire Constabulary,18,4,1,6,19,40,12,10,11,0,0,1
2011-09,Hertfordshire Constabulary,48,6,0,2,17,46,18,3,8,4,0,4
2011-09,Hertfordshire Constabulary,49,4,0,4,12,69,12,11,11,1,0,8
2011-09,Hertfordshire Constabulary,46,4,0,2,9,54,10,8,4,1,0,6
2011-09,Hertfordshire Constabulary,47,2,1,1,4,35,17,0,6,2,0,5
2011-09,Hertfordshire Constabulary,44,10,1,7,55,140,34,43,37,9,5,10
2011-09,Hertfordshire Constabulary,45,8,1,5,32,87,13,9,19,2,0,7
2011-09,Hertfordshire Constabulary,42,1,0,4,2,17,5,0,10,2,0,1
2011-09,Hertfordshire Constabulary,43,7,0,7,4,41,6,3,8,7,0,3
2011-09,Hertfordshire Constabulary,40,10,1,14,10,48,7,1,7,5,0,3
2011-09,Hertfordshire Constabulary,41,14,0,10,3,26,6,4,9,2,0,5
2011-09,Hertfordshire Constabulary,5,5,1,3,7,27,12,4,9,3,1,2
2011-09,Hertfordshire Constabulary,9,11,2,9,19,64,14,9,10,6,0,4
2011-09,Hertfordshire Constabulary,77,6,0,1,20,45,11,20,19,4,0,1
2011-09,Hertfordshire Constabulary,76,12,6,28,37,92,14,18,22,11,1,6
2011-09,Hertfordshire Constabulary,75,13,4,6,15,78,12,27,17,9,0,6
2011-09,Hertfordshire Constabulary,74,4,1,7,10,45,12,0,3,5,1,3
2011-09,Hertfordshire Constabulary,73,18,1,16,19,118,13,1,14,7,2,3
2011-09,Hertfordshire Constabulary,72,8,2,6,4,48,8,0,17,5,0,6
2011-09,Hertfordshire Constabulary,71,6,2,7,8,59,14,2,9,5,0,3
2011-09,Hertfordshire Constabulary,70,7,0,7,13,69,17,6,8,5,0,8
2011-09,Hertfordshire Constabulary,79,6,0,1,2,22,1,1,7,0,0,2
2011-09,Hertfordshire Constabulary,78,7,0,5,11,72,15,1,19,6,0,5
