Month,Force,Neighbourhood,Burglary,Robbery,Vehicle crime,Violent crime,Anti-social behaviour,Criminal damage and arson,Shoplifting,Other theft,Drugs,Public disorder and weapons,Other crime
2011-09,Metropolitan Police,00ASHD,11,10,10,26,52,9,9,10,8,5,5
2011-09,Metropolitan Police,00ASHE,18,1,26,20,65,8,3,16,2,4,7
2011-09,Metropolitan Police,00ASHB,18,2,14,25,58,14,0,9,5,1,5
2011-09,Metropolitan Police,00ASHC,9,0,24,5,33,8,4,10,0,2,1
2011-09,Metropolitan Police,00ASHA,17,9,9,48,74,12,4,28,10,8,6
2011-09,Metropolitan Police,00BBGW,5,4,12,13,35,8,0,6,4,1,0
2011-09,Metropolitan Police,00BFGS,2,1,4,9,20,3,0,3,3,2,0
2011-09,Metropolitan Police,00BDGD,5,2,5,6,26,1,0,6,2,0,5
2011-09,Metropolitan Police,00ALHA,18,2,20,19,26,6,0,9,1,2,4
2011-09,Metropolitan Police,00ALHC,17,1,16,40,70,16,6,10,8,8,7
2011-09,Metropolitan Police,00ALHB,7,5,25,29,59,9,21,36,4,6,13
2011-09,Metropolitan Police,00ALHE,13,8,14,34,65,20,2,19,4,7,7
2011-09,Metropolitan Police,00ALHD,8,4,13,42,75,30,0,13,10,3,8
2011-09,Metropolitan Police,00ALHG,12,1,9,25,44,14,2,16,3,5,8
2011-09,Metropolitan Police,00ALHF,12,3,6,36,105,20,17,18,12,9,12
2011-09,Metropolitan Police,00BFGP,1,0,4,7,28,5,0,4,2,0,3
2011-09,Metropolitan Police,00BFGW,7,2,1,11,21,8,0,3,2,6,1
2011-09,Metropolitan Police,00BFGU,8,1,8,11,33,9,3,5,4,4,1
2011-09,Metropolitan Police,00BBGU,19,28,30,59,115,18,36,93,17,15,29
2011-09,Metropolitan Police,00BFGT,8,1,4,7,22,10,6,10,1,2,0
2011-09,Metropolitan Police,00BGFY,9,3,9,19,84,9,6,15,17,3,10
2011-09,Metropolitan Police,00BGFX,12,10,17,32,161,7,8,38,19,10,9
2011-09,Metropolitan Police,00BGFZ,16,7,20,16,52,11,2,17,11,4,6
2011-09,Metropolitan Police,00BHFZ,10,11,21,15,34,6,1,12,4,5,3
2011-09,Metropolitan Police,00BHFX,10,5,29,15,37,9,0,6,1,5,2
2011-09,Metropolitan Police,00BHFY,6,7,7,22,55,5,2,11,5,1,6
2011-09,Metropolitan Police,00BGFW,16,8,29,24,71,8,3,32,9,9,8
2011-09,Metropolitan Police,00BFGF,3,0,5,13,19,7,11,9,2,1,3
2011-09,Metropolitan Police,00BBGG,9,12,18,27,112,9,13,73,4,5,13
2011-09,Metropolitan Police,00BBGF,23,18,23,32,43,14,0,15,9,3,6
2011-09,Metropolitan Police,00BBGE,7,6,24,27,54,12,0,22,10,5,14
2011-09,Metropolitan Police,00BBGD,17,7,19,26,76,12,9,31,11,9,6
2011-09,Metropolitan Police,00BBGC,10,10,41,27,54,17,2,23,4,3,3
2011-09,Metropolitan Police,00BBGB,26,2,33,37,111,10,18,26,7,5,8
2011-09,Metropolitan Police,00BBGN,8,4,18,19,52,8,6,18,7,3,6
2011-09,Metropolitan Police,00BBGM,6,14,9,21,56,6,1,10,3,1,4
2011-09,Metropolitan Police,00BBGL,20,7,31,35,102,14,2,22,14,8,5
2011-09,Metropolitan Police,00BBGK,5,9,21,15,88,10,1,9,5,5,2
