Month,Force,Neighbourhood,Burglary,Robbery,Vehicle crime,Violent crime,Anti-social behaviour,Criminal damage and arson,Shoplifting,Other theft,Drugs,Public disorder and weapons,Other crime
2011-10,Bedfordshire Police,56,6,2,6,3,25,4,1,7,4,1,1
2011-10,Bedfordshire Police,54,4,0,3,4,23,2,0,8,0,0,1
2011-10,Bedfordshire Police,42,0,0,0,0,3,0,0,0,0,0,0
2011-10,Bedfordshire Police,48,6,0,1,1,16,1,2,3,0,0,1
2011-10,Bedfordshire Police,43,4,0,2,7,27,8,0,4,0,1,1
2011-10,Bedfordshire Police,60,27,0,20,36,136,24,8,31,13,3,6
2011-10,Bedfordshire Police,61,6,0,2,6,24,4,0,5,2,0,2
2011-10,Bedfordshire Police,62,15,2,6,25,95,16,11,15,4,4,4
2011-10,Bedfordshire Police,63,2,0,3,2,19,1,1,4,0,1,0
2011-10,Bedfordshire Police,64,8,2,15,12,59,5,2,4,3,2,5
2011-10,Bedfordshire Police,49,0,0,0,6,15,2,6,8,4,0,0
2011-10,Bedfordshire Police,66,18,0,8,16,92,21,3,23,6,1,3
2011-10,Bedfordshire Police,67,14,2,26,28,168,21,22,29,4,5,7
2011-10,Bedfordshire Police,68,34,1,17,26,103,28,16,30,5,7,6
2011-10,Bedfordshire Police,69,32,0,16,8,62,12,1,11,3,1,7
2011-10,Bedfordshire Police,52,3,0,4,12,30,5,0,6,4,0,1
2011-10,Bedfordshire Police,53,2,0,4,4,26,9,0,6,4,1,2
2011-10,Bedfordshire Police,24,3,5,8,9,37,10,9,11,1,0,12
2011-10,Bedfordshire Police,25,1,3,0,2,13,1,2,3,0,0,1
2011-10,Bedfordshire Police,26,1,1,1,2,10,3,1,1,0,0,0
2011-10,Bedfordshire Police,27,1,0,0,0,4,0,0,0,0,0,0
2011-10,Bedfordshire Police,20,3,0,1,1,9,1,0,1,0,0,0
2011-10,Bedfordshire Police,21,7,1,7,10,65,11,4,9,0,3,2
2011-10,Bedfordshire Police,22,10,3,9,17,69,6,0,8,0,0,2
2011-10,Bedfordshire Police,23,1,2,6,10,25,7,0,3,1,3,0
2011-10,Bedfordshire Police,46,2,0,2,1,35,6,0,5,1,0,1
2011-10,Bedfordshire Police,47,3,0,0,7,29,4,1,9,0,0,1
2011-10,Bedfordshire Police,44,4,0,1,4,16,4,2,4,0,0,3
2011-10,Bedfordshire Police,45,0,0,2,4,11,2,0,0,0,0,0
2011-10,Bedfordshire Police,28,6,0,2,3,19,4,1,1,0,0,1
2011-10,Bedfordshire Police,29,4,1,6,0,26,3,0,4,1,1,0
2011-10,Bedfordshire Police,40,1,0,4,3,21,1,2,13,0,5,10
2011-10,Bedfordshire Police,41,1,0,5,0,9,0,0,2,0,0,0
2011-10,Bedfordshire Police,51,6,0,3,9,72,4,3,5,12,1,8
2011-10,Bedfordshire Police,39,4,0,3,6,24,2,0,2,0,0,0
2011-10,Bedfordshire Police,65,46,4,75,80,406,83,29,69,19,18,18
2011-10,Bedfordshire Police,38,7,0,3,6,31,4,1,5,0,2,2
2011-10,Bedfordshire Police,70,17,0,11,16,110,15,3,17,7,2,5
2011-10,Bedfordshire Police,59,7,1,1,6,29,6,0,3,1,0,0
2011-10,Bedfordshire Police,58,3,2,1,7,81,9,0,8,5,0,0
2011-10,Bedfordshire Police,11,2,0,0,2,14,1,0,4,0,1,0
2011-10,Bedfordshire Police,10,27,8,16,50,141,22,90,60,14,15,2
2011-10,Bedfordshire Police,13,5,1,3,4,29,29,1,8,0,1,2
2011-10,Bedfordshire Police,12,3,2,5,10,53,25,0,7,1,3,7
2011-10,Bedfordshire Police,15,4,3,8,4,24,1,0,4,0,3,4
2011-10,Bedfordshire Police,14,11,1,5,8,53,9,4,8,0,3,5
2011-10,Bedfordshire Police,17,0,0,0,0,48,0,0,0,0,0,0
2011-10,Bedfordshire Police,16,14,0,7,7,38,13,0,6,3,2,2
2011-10,Bedfordshire Police,19,11,0,10,6,32,8,0,1,1,0,2
2011-10,Bedfordshire Police,18,0,0,0,0,42,0,0,0,0,0,0
2011-10,Bedfordshire Police,31,3,1,11,9,43,12,2,5,0,0,6
2011-10,Bedfordshire Police,30,2,1,1,1,14,2,9,2,0,1,2
2011-10,Bedfordshire Police,37,4,1,3,8,49,5,1,9,0,1,1
2011-10,Bedfordshire Police,36,14,0,13,17,57,11,0,6,2,1,3
2011-10,Bedfordshire Police,35,12,1,9,4,33,6,1,8,1,1,0
2011-10,Bedfordshire Police,34,5,4,5,7,29,7,0,2,2,4,2
2011-10,Bedfordshire Police,33,5,3,6,16,23,7,7,8,0,0,2
2011-10,Bedfordshire Police,55,3,0,2,2,24,9,2,6,0,0,1
2011-10,Bedfordshire Police,32,6,1,8,20,61,15,6,10,7,3,2
2011-10,Bedfordshire Police,57,3,4,4,43,66,8,32,34,12,16,4
2011-10,Bedfordshire Police,50,6,0,1,13,38,5,3,10,4,5,3
