Month,Force,Neighbourhood,Burglary,Robbery,Vehicle crime,Violent crime,Anti-social behaviour,Criminal damage and arson,Shoplifting,Other theft,Drugs,Public disorder and weapons,Other crime
2011-10,Dorset Police,10-12,24,2,18,83,345,34,34,171,18,21,10
2011-10,Dorset Police,10-13,17,0,10,13,75,16,7,28,2,2,1
2011-10,Dorset Police,10-10,13,0,15,11,50,6,5,12,1,0,2
2011-10,Dorset Police,10-11,11,1,8,5,36,5,0,16,1,1,1
2011-10,Dorset Police,10-16,21,0,9,19,124,12,10,22,5,3,5
2011-10,Dorset Police,10-17,11,0,7,11,50,16,3,15,4,4,1
2011-10,Dorset Police,10-14,13,2,20,31,176,27,40,57,1,8,6
2011-10,Dorset Police,10-73,14,0,1,19,64,11,0,9,5,2,1
2011-10,Dorset Police,10-30,7,0,7,2,29,0,0,3,1,0,0
2011-10,Dorset Police,10-31,2,0,3,4,20,8,0,3,2,0,0
2011-10,Dorset Police,10-18,7,0,16,14,60,14,0,6,2,1,4
2011-10,Dorset Police,10-19,5,0,8,14,69,13,2,8,2,2,3
2011-10,Dorset Police,10-35,1,0,3,3,38,7,1,4,1,2,11
2011-10,Dorset Police,10-76,1,0,1,1,4,0,0,2,0,0,0
2011-10,Dorset Police,10-36,6,0,1,0,8,1,0,1,1,0,1
2011-10,Dorset Police,10-37,6,0,4,1,14,5,0,4,0,0,2
2011-10,Dorset Police,10-63,6,3,2,49,144,26,20,23,6,15,3
2011-10,Dorset Police,10-77,6,1,1,8,34,2,4,2,1,0,1
2011-10,Dorset Police,10-47,2,0,2,5,33,7,6,4,0,0,1
2011-10,Dorset Police,10-58,4,0,2,11,56,16,2,6,4,0,0
2011-10,Dorset Police,10-59,4,0,0,4,34,15,7,6,3,1,0
2011-10,Dorset Police,10-56,6,0,8,9,26,8,2,11,0,0,1
2011-10,Dorset Police,10-70,4,0,5,9,29,21,0,3,0,0,1
2011-10,Dorset Police,10-62,9,3,10,14,86,14,5,11,0,1,2
2011-10,Dorset Police,10-55,7,0,5,2,9,4,4,2,0,0,0
2011-10,Dorset Police,10-52,9,0,4,11,42,10,0,10,2,2,0
2011-10,Dorset Police,10-53,0,0,0,5,33,5,3,1,1,4,0
2011-10,Dorset Police,10-50,3,0,2,5,49,6,4,16,3,1,2
2011-10,Dorset Police,10-71,2,0,1,0,9,3,0,2,1,0,0
2011-10,Dorset Police,10-38,5,0,10,2,18,2,1,8,0,0,0
2011-10,Dorset Police,10-39,2,0,2,2,25,3,4,3,0,0,1
2011-10,Dorset Police,10-72,0,0,0,0,0,0,0,0,0,0,0
2011-10,Dorset Police,10-54,1,0,1,2,30,8,0,4,0,2,1
2011-10,Dorset Police,10-67,14,0,3,3,19,2,0,17,0,0,1
2011-10,Dorset Police,10-15,24,0,24,27,79,25,11,29,4,3,7
2011-10,Dorset Police,10-40,0,1,2,8,30,16,0,5,1,3,0
2011-10,Dorset Police,10-46,3,0,1,8,29,12,4,4,1,3,1
2011-10,Dorset Police,10-43,7,0,1,1,11,2,0,6,0,1,0
2011-10,Dorset Police,10-64,7,0,4,7,41,7,1,5,1,2,1
2011-10,Dorset Police,10-51,0,0,0,0,0,0,0,0,0,0,0
2011-10,Dorset Police,10-32,1,0,1,3,26,12,0,4,0,0,2
2011-10,Dorset Police,10-74,3,0,6,4,23,8,1,4,1,1,1
2011-10,Dorset Police,10-33,6,0,3,0,16,0,1,6,0,0,0
2011-10,Dorset Police,10-29,2,0,4,13,42,8,3,15,1,2,0
2011-10,Dorset Police,10-27,1,0,4,7,24,3,3,3,1,0,2
2011-10,Dorset Police,10-26,3,0,2,1,14,4,1,1,0,1,1
2011-10,Dorset Police,10-25,5,0,2,2,28,8,4,7,3,1,3
2011-10,Dorset Police,10-24,2,0,3,3,4,1,2,2,0,0,0
2011-10,Dorset Police,10-23,3,0,1,10,29,5,3,6,1,0,1
2011-10,Dorset Police,10-22,3,0,2,0,12,3,0,3,0,0,0
2011-10,Dorset Police,10-21,9,0,2,6,11,1,0,2,0,1,0
2011-10,Dorset Police,10-20,1,0,1,2,20,2,1,0,0,0,2
2011-10,Dorset Police,10-41,6,1,4,3,2,2,0,3,0,0,0
2011-10,Dorset Police,10-69,14,1,5,17,59,16,8,11,2,1,3
2011-10,Dorset Police,10-68,2,0,4,0,20,5,0,9,1,0,1
2011-10,Dorset Police,10-49,5,0,7,4,23,4,0,5,0,1,1
2011-10,Dorset Police,10-48,2,0,1,1,3,2,0,3,0,0,1
2011-10,Dorset Police,10-45,0,0,1,0,7,4,0,1,0,0,0
2011-10,Dorset Police,10-44,8,0,1,0,26,8,0,4,1,0,1
2011-10,Dorset Police,10-61,3,0,1,4,13,5,3,2,0,0,0
2011-10,Dorset Police,10-60,6,0,0,2,7,2,4,6,1,0,0
2011-10,Dorset Police,10-75,2,0,6,8,18,5,5,2,1,0,3
2011-10,Dorset Police,10-66,3,0,5,2,26,3,4,21,0,0,2
2011-10,Dorset Police,10-65,2,0,3,3,25,4,0,13,0,0,0
2011-10,Dorset Police,10-42,2,0,1,6,23,6,3,1,0,1,1
2011-10,Dorset Police,10-57,1,1,3,11,28,10,1,7,1,3,0
2011-10,Dorset Police,10-34,3,0,2,2,22,4,0,2,0,0,0
2011-10,Dorset Police,10-8,12,1,14,56,247,13,25,43,7,11,6
2011-10,Dorset Police,10-9,15,1,23,24,115,20,4,25,7,2,4
2011-10,Dorset Police,10-0,6,0,2,12,69,15,6,4,2,3,2
2011-10,Dorset Police,10-1,7,0,13,5,50,11,6,17,2,0,1
2011-10,Dorset Police,10-2,4,0,3,4,42,14,0,7,1,1,3
2011-10,Dorset Police,10-3,1,0,0,4,26,5,0,8,0,0,0
2011-10,Dorset Police,10-4,2,0,3,3,24,7,14,8,0,0,2
2011-10,Dorset Police,10-5,4,0,11,3,27,3,1,2,0,0,1
2011-10,Dorset Police,10-6,5,1,9,9,73,13,12,12,6,5,3
2011-10,Dorset Police,10-7,0,0,3,2,23,1,1,2,0,2,1
