Month,Force,Neighbourhood,Burglary,Robbery,Vehicle crime,Violent crime,Anti-social behaviour,Criminal damage and arson,Shoplifting,Other theft,Drugs,Public disorder and weapons,Other crime
2011-10,Durham Constabulary,133,2,0,2,5,1,1,0,1,0,0,0
2011-10,Durham Constabulary,132,7,0,5,3,68,11,6,1,0,3,0
2011-10,Durham Constabulary,131,4,0,4,1,35,8,0,6,0,0,1
2011-10,Durham Constabulary,130,2,0,1,2,17,3,0,4,0,0,0
2011-10,Durham Constabulary,137,5,0,0,8,32,9,1,5,2,0,2
2011-10,Durham Constabulary,165,4,1,0,1,12,2,0,1,0,0,0
2011-10,Durham Constabulary,139,0,0,0,0,14,2,0,2,0,0,0
2011-10,Durham Constabulary,138,1,0,0,1,17,7,0,8,0,1,1
2011-10,Durham Constabulary,166,1,0,17,3,38,11,4,14,1,3,2
2011-10,Durham Constabulary,24,0,0,1,0,9,1,0,2,0,0,0
2011-10,Durham Constabulary,26,1,0,0,7,49,9,3,3,0,6,1
2011-10,Durham Constabulary,27,1,0,1,0,42,15,0,2,0,0,0
2011-10,Durham Constabulary,20,4,0,5,1,18,4,0,5,0,1,0
2011-10,Durham Constabulary,21,1,0,0,0,24,5,0,1,0,0,0
2011-10,Durham Constabulary,22,1,0,1,2,9,0,0,1,0,0,0
2011-10,Durham Constabulary,23,1,0,2,0,2,0,0,0,0,1,0
2011-10,Durham Constabulary,28,1,0,1,1,3,0,0,2,0,0,0
2011-10,Durham Constabulary,29,3,0,0,5,23,3,0,2,0,1,1
2011-10,Durham Constabulary,161,3,0,1,0,10,0,0,0,0,0,1
2011-10,Durham Constabulary,4,2,0,0,2,10,4,1,1,0,0,0
2011-10,Durham Constabulary,8,1,0,0,2,9,3,0,1,1,0,0
2011-10,Durham Constabulary,163,4,0,5,1,4,1,0,6,0,0,0
2011-10,Durham Constabulary,119,0,0,1,0,2,1,0,2,0,1,0
2011-10,Durham Constabulary,120,2,0,3,4,25,14,5,2,0,0,0
2011-10,Durham Constabulary,121,1,0,1,6,31,4,0,3,1,0,0
2011-10,Durham Constabulary,122,5,1,6,4,19,9,2,6,0,1,1
2011-10,Durham Constabulary,123,4,0,8,4,56,3,2,6,1,4,1
2011-10,Durham Constabulary,124,0,0,2,1,20,3,0,0,1,0,0
2011-10,Durham Constabulary,125,2,0,1,1,37,0,3,6,0,0,2
2011-10,Durham Constabulary,127,2,0,3,3,15,3,0,3,0,0,2
2011-10,Durham Constabulary,128,2,0,0,5,50,10,4,6,0,3,1
2011-10,Durham Constabulary,129,2,0,2,2,38,9,0,7,2,0,1
2011-10,Durham Constabulary,167,0,0,0,0,2,0,0,0,0,0,0
2011-10,Durham Constabulary,55,9,0,3,2,56,7,0,3,0,0,1
2011-10,Durham Constabulary,54,9,0,1,4,46,12,5,2,0,1,1
2011-10,Durham Constabulary,56,9,2,9,7,36,8,11,6,4,3,0
2011-10,Durham Constabulary,164,0,0,0,1,7,1,0,0,0,0,0
2011-10,Durham Constabulary,115,2,0,1,1,22,3,1,6,0,0,2
2011-10,Durham Constabulary,114,0,1,2,2,48,4,0,3,3,1,0
2011-10,Durham Constabulary,88,10,0,7,6,61,13,6,13,3,1,3
2011-10,Durham Constabulary,89,5,0,5,4,89,7,3,3,36,3,1
2011-10,Durham Constabulary,111,0,1,2,4,44,10,9,2,0,2,2
2011-10,Durham Constabulary,110,0,0,2,2,28,8,2,6,0,0,1
2011-10,Durham Constabulary,113,3,0,0,4,10,2,0,2,0,0,0
2011-10,Durham Constabulary,112,1,0,5,5,31,1,0,1,1,1,1
2011-10,Durham Constabulary,80,3,0,3,9,61,11,3,9,1,2,1
2011-10,Durham Constabulary,81,4,0,3,4,26,4,0,8,0,0,1
2011-10,Durham Constabulary,86,13,0,7,19,111,24,46,37,19,13,16
2011-10,Durham Constabulary,87,18,0,3,4,35,10,3,7,1,1,2
2011-10,Durham Constabulary,3,0,0,3,1,25,3,6,3,0,0,0
2011-10,Durham Constabulary,7,2,0,1,2,25,9,1,3,1,1,0
2011-10,Durham Constabulary,108,3,1,4,0,6,5,0,5,0,0,1
2011-10,Durham Constabulary,109,4,0,2,2,7,2,3,1,0,0,1
2011-10,Durham Constabulary,102,5,0,6,4,61,11,1,8,0,3,1
2011-10,Durham Constabulary,103,3,0,0,4,12,2,0,4,1,0,0
2011-10,Durham Constabulary,100,4,0,1,5,65,7,2,10,1,1,1
2011-10,Durham Constabulary,101,3,0,8,2,26,7,0,4,0,0,2
2011-10,Durham Constabulary,106,3,0,2,7,60,18,3,2,1,1,0
2011-10,Durham Constabulary,107,1,0,2,3,11,3,0,0,0,0,0
2011-10,Durham Constabulary,104,1,0,0,1,11,3,0,0,0,0,0
2011-10,Durham Constabulary,105,1,0,5,1,18,2,0,4,0,0,1
2011-10,Durham Constabulary,39,6,2,10,17,80,10,27,27,5,11,5
2011-10,Durham Constabulary,38,0,0,3,0,2,0,0,0,0,0,0
2011-10,Durham Constabulary,33,1,0,1,1,30,9,0,1,0,1,0
2011-10,Durham Constabulary,32,2,0,1,1,8,0,1,1,1,0,0
2011-10,Durham Constabulary,31,1,0,2,5,21,5,3,5,0,1,0
2011-10,Durham Constabulary,30,1,0,0,2,6,2,1,0,0,1,0
2011-10,Durham Constabulary,37,3,0,1,6,35,3,2,4,0,0,0
2011-10,Durham Constabulary,36,0,0,0,0,0,0,0,0,0,0,0
2011-10,Durham Constabulary,35,5,0,2,2,32,2,1,2,0,0,0
2011-10,Durham Constabulary,34,1,0,0,0,0,0,0,1,0,0,1
2011-10,Durham Constabulary,60,5,0,3,7,45,7,9,3,0,6,1
2011-10,Durham Constabulary,62,13,0,3,4,51,12,2,5,2,2,1
2011-10,Durham Constabulary,63,1,0,2,7,26,7,0,3,1,0,0
2011-10,Durham Constabulary,64,3,0,0,6,44,9,7,3,1,2,0
2011-10,Durham Constabulary,66,3,0,0,4,19,7,0,1,0,1,0
2011-10,Durham Constabulary,67,1,0,0,5,31,8,1,6,0,0,0
2011-10,Durham Constabulary,68,0,0,2,0,19,3,1,0,0,0,0
2011-10,Durham Constabulary,69,4,0,2,0,13,2,1,1,0,1,0
2011-10,Durham Constabulary,174,0,0,0,0,0,0,0,0,0,0,0
2011-10,Durham Constabulary,173,1,0,1,3,11,3,2,2,0,2,0
2011-10,Durham Constabulary,172,3,0,3,2,35,7,0,4,0,1,1
2011-10,Durham Constabulary,171,4,0,2,0,8,1,0,1,0,0,1
2011-10,Durham Constabulary,170,4,0,2,0,2,0,0,1,0,0,0
2011-10,Durham Constabulary,2,1,0,1,0,21,4,7,1,1,0,0
2011-10,Durham Constabulary,162,1,0,0,1,5,0,0,2,0,0,0
2011-10,Durham Constabulary,6,2,0,0,3,3,3,0,0,0,1,1
2011-10,Durham Constabulary,99,2,0,1,4,23,5,1,7,1,0,1
2011-10,Durham Constabulary,98,0,0,0,3,9,0,1,1,1,0,0
