Month,Force,Neighbourhood,Burglary,Robbery,Vehicle crime,Violent crime,Anti-social behaviour,Criminal damage and arson,Shoplifting,Other theft,Drugs,Public disorder and weapons,Other crime
2011-10,Hampshire Constabulary,2LE11,2,0,6,5,15,3,0,2,0,1,0
2011-10,Hampshire Constabulary,2LE10,0,0,1,3,5,2,1,1,4,0,0
2011-10,Hampshire Constabulary,2LE12,5,0,7,5,35,11,4,4,0,0,0
2011-10,Hampshire Constabulary,4PS02,16,0,4,39,126,35,24,29,4,9,4
2011-10,Hampshire Constabulary,4PS03,16,0,9,23,72,24,19,28,4,6,4
2011-10,Hampshire Constabulary,4PS01,8,0,7,23,70,10,24,27,3,2,4
2011-10,Hampshire Constabulary,4PS04,9,2,8,26,76,12,5,24,4,3,3
2011-10,Hampshire Constabulary,3BW03,4,0,2,2,8,3,2,2,0,1,1
2011-10,Hampshire Constabulary,3BW02,0,0,0,0,1,1,0,3,1,1,0
2011-10,Hampshire Constabulary,3BW01,5,0,0,2,8,1,0,5,0,1,1
2011-10,Hampshire Constabulary,3BW07,2,0,1,1,13,11,0,4,1,0,1
2011-10,Hampshire Constabulary,3BW06,4,0,2,5,10,5,0,4,1,1,0
2011-10,Hampshire Constabulary,3BW05,1,0,2,5,10,3,0,4,0,0,0
2011-10,Hampshire Constabulary,3BW04,2,0,2,1,8,4,2,5,1,1,0
2011-10,Hampshire Constabulary,3BW09,2,0,0,2,9,0,0,5,0,0,0
2011-10,Hampshire Constabulary,3BW08,3,0,1,5,32,9,2,2,2,1,1
2011-10,Hampshire Constabulary,6TR04,2,0,0,1,4,1,0,4,0,0,0
2011-10,Hampshire Constabulary,6NL13,6,0,10,1,15,2,1,2,0,0,3
2011-10,Hampshire Constabulary,6EE08,4,0,2,6,28,2,7,3,2,1,3
2011-10,Hampshire Constabulary,4PF05,6,0,10,16,57,13,11,12,2,5,3
2011-10,Hampshire Constabulary,4PF04,11,1,6,30,113,25,12,20,5,5,1
2011-10,Hampshire Constabulary,4PF03,9,0,3,15,71,28,15,14,2,2,3
2011-10,Hampshire Constabulary,4PF02,11,1,8,27,67,24,14,17,5,4,4
2011-10,Hampshire Constabulary,4PF01,6,0,9,23,78,14,10,11,6,8,1
2011-10,Hampshire Constabulary,6TR01,1,0,2,13,18,1,10,3,3,2,3
2011-10,Hampshire Constabulary,2LE06,1,0,2,2,4,2,0,2,3,0,0
2011-10,Hampshire Constabulary,2LE07,1,0,2,22,67,19,4,10,3,10,2
2011-10,Hampshire Constabulary,2LE04,0,0,0,2,12,1,0,0,0,1,0
2011-10,Hampshire Constabulary,2LE05,1,0,5,3,10,6,4,4,4,3,2
2011-10,Hampshire Constabulary,2LE02,1,0,0,6,19,10,0,0,1,0,0
2011-10,Hampshire Constabulary,2LE03,4,3,3,17,36,14,4,5,4,1,2
2011-10,Hampshire Constabulary,2LE01,8,2,5,18,52,14,10,5,3,1,2
2011-10,Hampshire Constabulary,2LE08,0,0,2,7,24,9,0,4,3,0,1
2011-10,Hampshire Constabulary,2LE09,0,2,1,10,48,13,2,2,3,0,1
2011-10,Hampshire Constabulary,2LW11,3,0,4,7,39,10,0,4,6,1,3
2011-10,Hampshire Constabulary,2LW10,3,0,2,1,4,1,0,0,3,0,0
2011-10,Hampshire Constabulary,3BB08,3,0,3,4,6,2,0,4,1,0,0
2011-10,Hampshire Constabulary,3BB09,4,0,0,8,16,13,0,4,4,1,1
2011-10,Hampshire Constabulary,6EE02,4,0,1,5,41,11,2,2,1,1,0
2011-10,Hampshire Constabulary,6TA08,0,0,2,0,1,1,0,1,0,0,2
2011-10,Hampshire Constabulary,6TR03,3,0,2,3,20,6,1,6,10,3,0
2011-10,Hampshire Constabulary,5YN02,38,1,14,35,122,31,26,37,10,8,8
2011-10,Hampshire Constabulary,3OL03,7,0,2,2,5,5,0,5,2,0,0
2011-10,Hampshire Constabulary,3OL02,1,0,1,1,2,5,0,1,0,3,3
2011-10,Hampshire Constabulary,3OL01,7,0,4,15,48,16,5,17,3,5,2
2011-10,Hampshire Constabulary,3OL05,7,0,3,1,5,3,1,6,1,1,1
