Month,Force,Neighbourhood,Burglary,Robbery,Vehicle crime,Violent crime,Anti-social behaviour,Criminal damage and arson,Shoplifting,Other theft,Drugs,Public disorder and weapons,Other crime
2011-10,Leicestershire Constabulary,L51,13,0,18,15,35,11,2,15,2,2,1
2011-10,Leicestershire Constabulary,L52,8,0,8,17,46,16,20,13,3,1,16
2011-10,Leicestershire Constabulary,L79,37,1,23,15,44,28,5,36,3,5,10
2011-10,Leicestershire Constabulary,L18,8,0,10,4,3,3,0,4,0,0,3
2011-10,Leicestershire Constabulary,L19,2,0,7,3,1,2,0,13,1,0,1
2011-10,Leicestershire Constabulary,L14,5,0,6,16,28,13,10,21,3,3,3
2011-10,Leicestershire Constabulary,L15,11,0,4,8,33,21,0,10,1,3,4
2011-10,Leicestershire Constabulary,L16,0,0,0,0,2,0,0,2,0,1,0
2011-10,Leicestershire Constabulary,L17,3,0,4,9,17,8,2,7,0,7,1
2011-10,Leicestershire Constabulary,L10,20,2,18,26,43,29,4,33,10,9,7
2011-10,Leicestershire Constabulary,L11,16,0,7,11,21,12,0,23,3,5,5
2011-10,Leicestershire Constabulary,L12,7,0,5,17,24,12,13,17,1,4,7
2011-10,Leicestershire Constabulary,L13,16,0,20,26,68,25,2,14,3,4,6
2011-10,Leicestershire Constabulary,C19,13,1,19,10,29,7,1,14,1,1,2
2011-10,Leicestershire Constabulary,C18,14,2,12,11,51,17,1,13,3,3,4
2011-10,Leicestershire Constabulary,C13,11,1,9,19,64,9,2,15,6,5,4
2011-10,Leicestershire Constabulary,C12,11,1,8,19,84,20,6,7,6,5,3
2011-10,Leicestershire Constabulary,C11,18,2,8,11,39,10,5,16,3,4,7
2011-10,Leicestershire Constabulary,C10,7,0,4,12,27,14,1,11,7,4,3
2011-10,Leicestershire Constabulary,C17,8,3,9,15,23,3,0,8,7,2,2
2011-10,Leicestershire Constabulary,C16,21,10,10,27,74,29,7,23,2,8,3
2011-10,Leicestershire Constabulary,C15,11,5,9,18,65,10,4,15,3,3,3
2011-10,Leicestershire Constabulary,C14,3,2,5,12,30,16,6,6,2,6,11
2011-10,Leicestershire Constabulary,L66,19,1,14,12,67,22,2,18,6,4,4
2011-10,Leicestershire Constabulary,L21,4,0,6,2,7,5,0,4,0,0,0
2011-10,Leicestershire Constabulary,L20,3,0,0,3,4,2,2,2,0,1,0
2011-10,Leicestershire Constabulary,L23,6,0,2,9,20,12,0,7,1,6,0
