Month,Force,Neighbourhood,Burglary,Robbery,Vehicle crime,Violent crime,Anti-social behaviour,Criminal damage and arson,Shoplifting,Other theft,Drugs,Public disorder and weapons,Other crime
2011-10,North Yorkshire Police,harrogate-town,8,2,14,29,156,27,34,38,11,12,5
2011-10,North Yorkshire Police,richmond-and-catterick,9,1,11,23,153,23,7,26,1,4,3
2011-10,North Yorkshire Police,york-west,72,1,40,52,330,58,17,75,24,7,8
2011-10,North Yorkshire Police,ryedale,18,0,22,26,151,25,3,24,4,4,3
2011-10,North Yorkshire Police,the-dales,7,0,5,8,65,2,0,15,1,1,0
2011-10,North Yorkshire Police,harrogate-outer,18,1,23,21,159,54,15,33,10,4,3
2011-10,North Yorkshire Police,skipton-town,14,0,3,15,83,14,8,11,6,0,5
2011-10,North Yorkshire Police,thirsk-and-easingwold,7,0,12,10,132,32,2,21,3,6,3
2011-10,North Yorkshire Police,craven-rural,14,0,15,9,87,18,1,14,10,3,6
2011-10,North Yorkshire Police,york-city-and-east,27,0,16,90,383,45,44,110,20,15,9
2011-10,North Yorkshire Police,filey-and-eastfield,12,0,11,24,157,47,3,34,4,6,3
2011-10,North Yorkshire Police,northallerton-and-stokesley,23,1,13,29,189,39,11,36,3,7,5
2011-10,North Yorkshire Police,selby-town,13,0,11,22,112,13,5,24,9,9,3
2011-10,North Yorkshire Police,whitby,1,1,3,26,135,20,3,15,3,2,5
2011-10,North Yorkshire Police,knaresborough-and-boroughbridge,23,0,27,9,106,12,2,14,3,1,4
2011-10,North Yorkshire Police,scarborough,24,2,28,84,424,50,50,64,19,13,9
2011-10,North Yorkshire Police,selby-rural,32,0,20,32,201,44,1,36,17,8,4
2011-10,North Yorkshire Police,york-north,58,2,63,56,429,79,52,91,12,12,18
2011-10,North Yorkshire Police,ripon-and-pateley-bridge,10,0,12,30,140,21,9,18,3,3,3
