Month,Force,Neighbourhood,Burglary,Robbery,Vehicle crime,Violent crime,Anti-social behaviour,Criminal damage and arson,Shoplifting,Other theft,Drugs,Public disorder and weapons,Other crime
2011-10,Northamptonshire Police,SCT112,3,1,8,14,32,8,6,10,0,3,2
2011-10,Northamptonshire Police,SCT141,17,0,18,42,173,31,16,20,12,7,6
2011-10,Northamptonshire Police,SCT164,65,10,53,73,342,58,30,67,16,8,23
2011-10,Northamptonshire Police,SCT152,13,2,12,14,58,15,5,15,1,1,7
2011-10,Northamptonshire Police,SCT165,45,8,61,62,269,55,37,52,8,11,15
2011-10,Northamptonshire Police,SCT151,27,1,26,27,123,34,2,27,1,1,18
2011-10,Northamptonshire Police,SCT101,9,0,10,11,38,15,2,19,0,0,2
2011-10,Northamptonshire Police,SCT103,9,0,15,15,112,27,4,16,3,1,15
2011-10,Northamptonshire Police,SCT102,19,1,23,52,201,46,20,31,11,2,10
2011-10,Northamptonshire Police,SCT163,48,8,35,90,332,82,22,53,7,10,22
2011-10,Northamptonshire Police,SCT162,41,3,29,123,379,61,59,134,23,31,14
2011-10,Northamptonshire Police,SCT111,40,8,17,97,365,68,22,45,28,11,12
2011-10,Northamptonshire Police,SCT122,16,2,22,23,133,37,2,34,4,4,11
2011-10,Northamptonshire Police,SCT121,29,11,32,90,311,63,53,63,13,15,16
2011-10,Northamptonshire Police,SCT142,33,1,28,27,125,29,3,50,8,0,8
2011-10,Northamptonshire Police,SCT131,59,16,31,76,314,78,19,70,12,8,13
2011-10,Northamptonshire Police,SCT132,21,0,13,11,72,17,7,14,2,1,4
