Month,Force,Neighbourhood,Burglary,Robbery,Vehicle crime,Violent crime,Anti-social behaviour,Criminal damage and arson,Shoplifting,Other theft,Drugs,Public disorder and weapons,Other crime
2011-10,Wiltshire Police,DN,17,1,24,24,140,26,11,30,0,7,1
2011-10,Wiltshire Police,DE,16,3,12,18,184,41,1,23,2,1,0
2011-10,Wiltshire Police,DC,40,3,35,41,229,65,20,43,6,7,8
2011-10,Wiltshire Police,DA,13,2,18,19,106,28,15,26,4,1,6
2011-10,Wiltshire Police,DW,14,4,14,16,77,25,13,22,3,3,4
2011-10,Wiltshire Police,DT,19,6,17,58,273,61,75,52,15,9,4
2011-10,Wiltshire Police,DS,20,2,10,8,74,20,2,24,2,3,4
2011-10,Wiltshire Police,EM,19,0,12,17,104,22,3,17,1,0,6
2011-10,Wiltshire Police,EL,3,0,2,7,19,11,1,12,0,5,1
2011-10,Wiltshire Police,EO,11,0,4,9,65,15,5,27,2,0,1
2011-10,Wiltshire Police,EN,25,0,7,10,83,16,12,15,1,1,3
2011-10,Wiltshire Police,EH,14,0,4,6,53,12,10,13,2,2,0
2011-10,Wiltshire Police,ED,11,1,17,20,105,22,9,17,4,0,1
2011-10,Wiltshire Police,EG,6,1,5,5,80,20,3,16,1,0,0
2011-10,Wiltshire Police,EF,5,0,11,14,38,21,3,15,3,0,2
2011-10,Wiltshire Police,EA,10,1,10,5,48,14,1,6,0,0,0
2011-10,Wiltshire Police,EC,9,0,2,3,25,2,0,6,1,0,0
2011-10,Wiltshire Police,EB,8,0,2,1,11,2,1,5,0,0,0
2011-10,Wiltshire Police,EY,10,1,4,5,28,7,1,8,2,0,1
2011-10,Wiltshire Police,EZ,14,1,15,18,133,31,8,32,0,2,0
2011-10,Wiltshire Police,EU,17,0,7,7,36,7,0,17,0,0,0
2011-10,Wiltshire Police,ET,35,1,20,44,217,58,34,46,4,8,6
2011-10,Wiltshire Police,EW,0,0,3,3,20,5,0,1,0,1,0
2011-10,Wiltshire Police,EV,1,0,0,4,9,2,0,4,0,0,0
2011-10,Wiltshire Police,EP,18,0,14,22,176,32,19,33,4,2,6
2011-10,Wiltshire Police,ES,42,0,20,28,234,60,35,44,10,7,11
2011-10,Wiltshire Police,ER,22,0,15,18,76,14,2,12,3,3,1
