Month,Force,Neighbourhood,Burglary,Robbery,Vehicle crime,Violent crime,Anti-social behaviour,Criminal damage and arson,Shoplifting,Other theft,Drugs,Public disorder and weapons,Other crime
2011-11,Dyfed-Powys Police,135,5,0,0,3,5,0,0,5,1,0,1
2011-11,Dyfed-Powys Police,134,8,0,11,10,57,12,4,6,12,7,0
2011-11,Dyfed-Powys Police,115,2,0,2,1,8,1,0,3,2,1,0
2011-11,Dyfed-Powys Police,128,0,0,0,1,5,0,0,0,0,0,0
2011-11,Dyfed-Powys Police,117,5,1,1,5,8,2,0,0,2,1,0
2011-11,Dyfed-Powys Police,116,5,0,1,18,81,13,9,9,16,2,1
2011-11,Dyfed-Powys Police,111,4,0,0,0,3,0,0,2,3,0,1
2011-11,Dyfed-Powys Police,110,8,1,5,32,130,16,16,16,25,8,6
2011-11,Dyfed-Powys Police,113,0,0,0,6,35,14,2,4,1,1,1
2011-11,Dyfed-Powys Police,112,0,0,1,0,9,0,0,6,2,0,0
2011-11,Dyfed-Powys Police,139,2,0,0,0,11,6,0,2,0,0,1
2011-11,Dyfed-Powys Police,138,1,0,1,7,28,2,1,1,4,1,1
2011-11,Dyfed-Powys Police,119,1,0,0,4,26,2,2,2,7,3,1
2011-11,Dyfed-Powys Police,118,0,0,0,0,5,2,1,2,0,1,1
2011-11,Dyfed-Powys Police,129,1,0,0,1,5,0,3,2,0,1,0
2011-11,Dyfed-Powys Police,146,0,0,1,1,13,0,0,6,2,0,1
2011-11,Dyfed-Powys Police,147,1,0,2,3,45,7,5,6,16,3,12
2011-11,Dyfed-Powys Police,144,5,0,2,6,15,7,1,3,2,3,0
2011-11,Dyfed-Powys Police,145,0,0,0,1,4,0,0,0,0,1,0
2011-11,Dyfed-Powys Police,142,1,0,2,0,5,2,0,2,0,0,1
2011-11,Dyfed-Powys Police,143,3,0,1,3,17,5,0,6,2,0,1
2011-11,Dyfed-Powys Police,140,2,0,1,0,10,3,0,1,2,0,0
2011-11,Dyfed-Powys Police,141,2,0,0,1,17,3,0,2,1,0,1
2011-11,Dyfed-Powys Police,148,2,0,0,1,7,0,0,2,1,0,0
2011-11,Dyfed-Powys Police,149,2,0,0,3,35,11,1,4,3,0,3
2011-11,Dyfed-Powys Police,120,3,0,0,3,3,3,0,0,1,0,0
2011-11,Dyfed-Powys Police,121,2,0,2,10,36,3,10,8,8,1,1
2011-11,Dyfed-Powys Police,122,2,0,0,4,21,1,0,1,0,1,0
2011-11,Dyfed-Powys Police,123,4,0,4,13,131,24,4,12,28,4,2
2011-11,Dyfed-Powys Police,124,20,0,13,38,185,34,26,21,39,12,4
2011-11,Dyfed-Powys Police,125,6,0,1,2,13,0,0,4,7,3,0
2011-11,Dyfed-Powys Police,126,1,0,0,1,11,1,0,3,1,1,0
2011-11,Dyfed-Powys Police,127,1,0,3,4,13,6,0,2,0,0,0
2011-11,Dyfed-Powys Police,102,2,0,4,15,64,16,6,19,10,17,0
2011-11,Dyfed-Powys Police,103,13,0,2,25,155,27,5,15,35,9,1
2011-11,Dyfed-Powys Police,100,2,1,1,4,23,3,0,0,1,1,1
2011-11,Dyfed-Powys Police,101,3,0,2,0,8,2,0,0,0,0,2
2011-11,Dyfed-Powys Police,106,1,0,0,4,7,3,1,3,1,6,0
2011-11,Dyfed-Powys Police,107,1,0,3,3,13,1,0,3,0,1,0
2011-11,Dyfed-Powys Police,104,1,0,1,0,7,2,0,0,2,0,0
2011-11,Dyfed-Powys Police,105,7,0,3,4,28,11,1,5,6,2,2
2011-11,Dyfed-Powys Police,133,15,0,1,3,20,1,1,3,4,2,0
2011-11,Dyfed-Powys Police,132,2,0,0,2,32,4,0,1,0,0,1
2011-11,Dyfed-Powys Police,108,5,0,0,13,43,6,1,4,11,6,1
2011-11,Dyfed-Powys Police,131,4,0,3,24,96,15,2,2,9,4,2
2011-11,Dyfed-Powys Police,130,2,0,1,8,47,7,0,5,1,0,1
2011-11,Dyfed-Powys Police,137,8,1,2,6,73,10,11,8,4,1,0
2011-11,Dyfed-Powys Police,136,1,0,1,6,50,4,2,7,4,1,1
