Month,Force,Neighbourhood,Burglary,Robbery,Vehicle crime,Violent crime,Anti-social behaviour,Criminal damage and arson,Shoplifting,Other theft,Drugs,Public disorder and weapons,Other crime
2011-11,South Yorkshire,KD4,18,0,8,9,107,19,3,30,1,0,7
2011-11,South Yorkshire,KA4,22,2,15,9,130,27,7,27,10,3,4
2011-11,South Yorkshire,CB2,48,1,21,27,156,29,14,27,5,2,6
2011-11,South Yorkshire,CB3,28,1,32,17,233,37,7,24,6,5,4
2011-11,South Yorkshire,KA1,44,2,35,31,240,49,17,45,9,5,8
2011-11,South Yorkshire,CB1,23,1,21,31,200,29,8,34,5,6,4
2011-11,South Yorkshire,KC1,30,3,18,12,133,36,5,12,5,3,0
2011-11,South Yorkshire,KC3,16,0,8,11,89,6,6,12,2,1,0
2011-11,South Yorkshire,KC2,17,0,9,3,64,17,7,8,0,0,0
2011-11,South Yorkshire,KE4,21,0,8,9,122,22,13,6,2,2,2
2011-11,South Yorkshire,KE3,16,1,12,5,54,11,4,8,1,1,1
2011-11,South Yorkshire,KE2,41,1,19,13,182,40,8,21,2,1,1
2011-11,South Yorkshire,KE1,19,1,19,3,87,12,6,18,6,1,2
2011-11,South Yorkshire,AA5,2,0,3,3,7,2,3,5,1,0,0
2011-11,South Yorkshire,AD2,24,0,7,9,102,17,12,15,3,1,3
2011-11,South Yorkshire,AD3,14,0,14,3,27,13,3,8,0,2,4
2011-11,South Yorkshire,AD1,20,0,9,12,59,24,2,13,1,2,2
2011-11,South Yorkshire,KL4,9,1,19,12,112,13,8,22,6,2,6
2011-11,South Yorkshire,AB1,11,0,16,27,138,24,20,20,3,7,1
2011-11,South Yorkshire,AB2,22,1,8,26,134,17,43,24,6,4,1
2011-11,South Yorkshire,AB3,17,0,7,11,100,29,10,22,3,1,2
2011-11,South Yorkshire,BD1,15,1,8,8,77,14,4,9,4,2,1
2011-11,South Yorkshire,KL1,3,0,9,5,84,21,0,10,2,4,1
2011-11,South Yorkshire,KL2,5,1,10,13,65,11,0,4,2,1,1
2011-11,South Yorkshire,BD2,15,1,8,9,94,19,15,16,4,1,3
2011-11,South Yorkshire,BB2,17,1,15,15,156,39,9,20,6,4,3
2011-11,South Yorkshire,BB1,35,0,19,24,205,49,11,19,6,7,9
2011-11,South Yorkshire,KF4,14,0,10,2,37,4,4,7,0,1,0
2011-11,South Yorkshire,KF2,9,0,12,1,30,3,3,12,2,0,0
2011-11,South Yorkshire,KF3,12,0,9,4,43,7,1,11,1,0,0
2011-11,South Yorkshire,KF1,16,0,5,5,47,12,1,18,3,0,0
2011-11,South Yorkshire,KL3,13,0,7,7,60,25,0,15,2,1,1
2011-11,South Yorkshire,BD3,8,0,6,4,58,12,1,13,0,0,2
2011-11,South Yorkshire,KA2,52,2,9,20,221,65,6,18,10,4,2
2011-11,South Yorkshire,KB2,35,4,40,13,197,65,11,31,9,6,7
2011-11,South Yorkshire,KB3,22,0,13,10,164,29,5,26,4,2,1
2011-11,South Yorkshire,KB1,53,4,56,34,234,37,54,81,16,6,2
2011-11,South Yorkshire,KD1,60,9,54,79,497,72,119,226,20,32,11
2011-11,South Yorkshire,KB4,23,0,19,19,117,27,15,19,4,2,2
2011-11,South Yorkshire,KD3,14,0,14,29,142,22,17,27,5,6,5
2011-11,South Yorkshire,AE1,25,0,19,22,98,34,8,24,5,1,8
2011-11,South Yorkshire,KA3,21,1,5,18,134,47,21,17,9,7,3
2011-11,South Yorkshire,AE3,13,0,10,11,33,10,2,12,0,0,1
2011-11,South Yorkshire,AE2,37,1,9,7,74,23,13,21,2,1,3
2011-11,South Yorkshire,BA2,12,2,8,18,92,24,12,18,12,3,2
2011-11,South Yorkshire,BA1,31,5,16,35,190,40,49,29,34,20,10
2011-11,South Yorkshire,CA2,35,1,27,25,300,46,38,54,5,8,2
2011-11,South Yorkshire,CA1,45,0,19,31,199,40,7,37,13,2,6
2011-11,South Yorkshire,CC1,57,2,28,34,271,76,11,52,14,5,7
2011-11,South Yorkshire,CC3,9,0,3,22,88,14,35,23,9,7,6
2011-11,South Yorkshire,CC2,45,0,28,23,225,54,15,41,14,9,7
2011-11,South Yorkshire,AC3,37,0,40,22,82,23,6,24,6,0,4
2011-11,South Yorkshire,AA4,20,0,16,17,59,16,2,16,14,7,4
2011-11,South Yorkshire,AC1,20,1,9,15,111,25,3,24,7,3,3
2011-11,South Yorkshire,AA6,28,0,16,14,135,29,11,15,10,2,0
2011-11,South Yorkshire,AA1,18,0,13,16,66,22,8,17,3,2,1
2011-11,South Yorkshire,AA3,22,4,17,44,160,30,59,46,6,15,6
2011-11,South Yorkshire,AA2,39,1,8,20,69,27,1,28,8,5,2
2011-11,South Yorkshire,KC4,20,1,15,6,112,25,7,19,7,1,4
2011-11,South Yorkshire,KD2,50,2,31,6,130,10,9,55,5,0,1
2011-11,South Yorkshire,BC3,18,1,4,7,135,27,3,18,13,5,3
2011-11,South Yorkshire,BC1,49,0,16,13,174,53,15,20,9,3,4
2011-11,South Yorkshire,BC2,10,1,11,8,83,19,10,15,11,0,1
2011-11,South Yorkshire,AC2,30,0,19,9,85,39,8,28,6,2,11
