Month,Force,Neighbourhood,Burglary,Robbery,Vehicle crime,Violent crime,Anti-social behaviour,Criminal damage and arson,Shoplifting,Other theft,Drugs,Public disorder and weapons,Other crime
2011-11,Suffolk Constabulary,bw1,13,0,5,8,34,11,1,5,1,1,1
2011-11,Suffolk Constabulary,ise1,25,4,34,35,109,55,11,31,5,8,12
2011-11,Suffolk Constabulary,lc1,29,1,4,43,80,45,9,18,15,8,6
2011-11,Suffolk Constabulary,h1,13,0,15,35,112,33,8,18,6,6,4
2011-11,Suffolk Constabulary,lad1,5,1,1,7,29,8,5,4,3,1,3
2011-11,Suffolk Constabulary,b1,11,1,8,13,59,12,1,30,6,5,4
2011-11,Suffolk Constabulary,ers1,3,0,3,6,20,5,3,7,2,1,1
2011-11,Suffolk Constabulary,ern1,10,0,7,13,36,5,0,20,5,3,7
2011-11,Suffolk Constabulary,saf1,7,0,0,4,27,15,4,8,1,0,1
2011-11,Suffolk Constabulary,msn1,20,0,4,17,72,15,4,25,2,3,7
2011-11,Suffolk Constabulary,s1,10,0,3,6,45,10,1,19,1,3,4
2011-11,Suffolk Constabulary,inw1,33,2,12,23,102,31,18,17,2,10,2
2011-11,Suffolk Constabulary,fd1,17,1,28,38,123,39,21,38,6,9,6
2011-11,Suffolk Constabulary,m1,7,0,2,3,12,5,1,7,0,0,2
2011-11,Suffolk Constabulary,sah1,13,0,6,26,119,45,6,20,6,14,7
2011-11,Suffolk Constabulary,isw1,33,10,10,50,178,53,18,39,6,13,13
2011-11,Suffolk Constabulary,be1,14,0,9,23,106,22,4,21,1,5,5
2011-11,Suffolk Constabulary,bc1,8,2,4,21,93,25,21,21,6,14,8
2011-11,Suffolk Constabulary,sgc1,10,0,10,9,68,25,7,16,3,2,14
2011-11,Suffolk Constabulary,msc1,8,0,2,8,34,5,0,9,1,5,1
2011-11,Suffolk Constabulary,ln1,15,1,8,19,119,26,10,14,5,5,3
2011-11,Suffolk Constabulary,wad1,0,0,0,0,0,0,0,0,0,0,0
2011-11,Suffolk Constabulary,bew1,2,0,12,28,79,16,11,20,10,9,3
2011-11,Suffolk Constabulary,ls1,10,0,12,13,50,11,4,14,3,8,7
2011-11,Suffolk Constabulary,n1,7,0,3,23,85,31,5,23,4,10,2
2011-11,Suffolk Constabulary,mss1,23,1,19,27,66,22,20,40,4,13,11
2011-11,Suffolk Constabulary,kad1,15,1,11,11,61,12,6,17,6,5,5
2011-11,Suffolk Constabulary,ic1,24,6,16,109,219,52,85,81,15,44,18
2011-11,Suffolk Constabulary,ine1,10,2,0,19,78,14,9,17,1,9,2
2011-11,Suffolk Constabulary,bb1,10,1,3,23,58,26,7,12,2,4,10
