Month,Force,Neighbourhood,Burglary,Robbery,Vehicle crime,Violent crime,Anti-social behaviour,Criminal damage and arson,Shoplifting,Other theft,Drugs,Public disorder and weapons,Other crime
2011-11,Surrey Police,EPEA,7,0,6,10,32,7,0,15,4,3,3
2011-11,Surrey Police,WVHG,6,0,0,6,24,1,2,3,0,1,1
2011-11,Surrey Police,SHSW,6,1,1,12,35,6,2,5,5,2,1
2011-11,Surrey Police,SHSP,3,0,0,4,12,3,0,3,1,0,1
2011-11,Surrey Police,ELCO,14,1,11,14,38,7,11,9,0,4,8
2011-11,Surrey Police,SHCT,2,0,2,9,30,4,15,7,7,12,1
2011-11,Surrey Police,MVAS,6,1,4,6,24,2,0,4,1,1,4
2011-11,Surrey Police,SPST,5,0,5,9,52,4,24,8,5,8,5
2011-11,Surrey Police,SPSU,12,0,7,6,52,15,2,7,8,4,1
2011-11,Surrey Police,SPSS,12,1,9,4,45,10,2,3,8,1,2
2011-11,Surrey Police,SPSL,10,0,5,1,18,3,0,5,1,0,1
2011-11,Surrey Police,SPLS,7,0,8,11,47,6,1,10,1,1,4
2011-11,Surrey Police,SPSH,9,0,7,2,37,2,1,8,5,0,1
2011-11,Surrey Police,SHCB,4,0,0,6,24,6,0,5,0,1,2
2011-11,Surrey Police,RBHO,7,0,5,13,43,8,7,8,3,6,2
2011-11,Surrey Police,WVSC,9,0,1,6,27,14,0,7,0,1,3
2011-11,Surrey Police,SPSA,7,1,10,7,25,5,1,6,0,0,3
2011-11,Surrey Police,SPSC,10,1,10,10,50,9,5,9,6,3,1
2011-11,Surrey Police,MVRE,3,0,4,4,36,10,3,17,3,3,1
2011-11,Surrey Police,TNLD,12,0,7,5,20,21,1,11,1,0,3
2011-11,Surrey Police,MVRW,4,0,4,3,37,5,1,3,0,2,2
2011-11,Surrey Police,SHMD,4,0,8,5,40,9,0,10,3,3,4
2011-11,Surrey Police,RBRT,1,3,1,14,56,4,15,10,1,8,5
2011-11,Surrey Police,SHLI,3,0,5,0,27,2,0,6,0,1,3
2011-11,Surrey Police,WKSH,4,0,0,4,17,2,1,3,6,2,2
2011-11,Surrey Police,RUAT,9,0,6,6,42,12,1,10,3,5,4
2011-11,Surrey Police,RBWO,1,0,1,7,49,7,0,3,1,1,2
2011-11,Surrey Police,WKHO,5,0,2,11,25,5,3,5,2,1,2
2011-11,Surrey Police,RUVW,8,0,4,2,10,2,0,7,1,0,3
2011-11,Surrey Police,GDST,2,1,1,8,46,13,2,3,0,0,2
2011-11,Surrey Police,MVBF,10,0,3,4,32,4,0,2,1,3,2
2011-11,Surrey Police,RUAN,2,0,4,5,10,3,0,3,0,0,0
2011-11,Surrey Police,GDSR,12,0,7,4,48,7,4,14,0,3,6
2011-11,Surrey Police,TNPW,5,0,15,10,21,8,1,3,2,1,10
2011-11,Surrey Police,SPAA,8,0,3,6,40,8,0,10,0,2,4
2011-11,Surrey Police,GDAV,3,0,5,2,27,8,0,4,0,1,0
2011-11,Surrey Police,GDAW,4,0,3,7,42,12,2,3,1,0,0
2011-11,Surrey Police,RBRN,6,0,5,6,41,5,0,10,1,2,3
2011-11,Surrey Police,ELEC,12,1,5,9,25,7,1,16,0,0,2
2011-11,Surrey Police,WVBS,5,0,7,0,8,4,0,4,0,0,1
2011-11,Surrey Police,EPNW,6,2,6,3,25,3,2,2,0,0,3
2011-11,Surrey Police,RBRE,8,0,7,12,58,21,5,9,0,3,2
2011-11,Surrey Police,ELEM,4,0,6,5,32,6,3,8,4,3,6
2011-11,Surrey Police,GDPB,7,0,1,11,63,25,5,15,4,2,1
2011-11,Surrey Police,EPNO,11,1,5,6,18,1,1,3,1,0,4
2011-11,Surrey Police,GDPW,8,0,3,10,32,3,1,13,0,3,1
2011-11,Surrey Police,MVGC,0,0,2,6,15,4,0,1,7,0,0
2011-11,Surrey Police,WKOW,5,0,2,6,45,8,0,5,5,3,0
2011-11,Surrey Police,TNSB,5,0,3,4,20,9,3,1,0,1,4
2011-11,Surrey Police,WVSU,2,0,3,9,13,3,0,1,0,1,1
2011-11,Surrey Police,ELSW,3,0,8,2,27,9,1,1,1,5,2
2011-11,Surrey Police,EPWE,4,3,13,9,54,17,0,11,1,2,5
2011-11,Surrey Police,SHBW,3,1,5,5,23,6,4,8,2,1,4
2011-11,Surrey Police,WKNB,7,0,4,9,98,11,5,15,6,3,2
2011-11,Surrey Police,TNCV,4,0,9,6,25,11,2,6,1,4,2
2011-11,Surrey Police,WVCE,3,0,2,3,32,4,6,8,0,1,1
2011-11,Surrey Police,TNCH,5,1,0,17,32,8,2,7,5,2,1
2011-11,Surrey Police,RUCM,20,0,14,8,57,19,2,9,8,8,0
2011-11,Surrey Police,SHHP,0,0,1,0,22,7,0,3,2,2,3
