Month,Force,Neighbourhood,Burglary,Robbery,Vehicle crime,Violent crime,Anti-social behaviour,Criminal damage and arson,Shoplifting,Other theft,Drugs,Public disorder and weapons,Other crime
2011-11,Warwickshire Police,rte,18,1,3,6,25,11,2,5,0,1,0
2011-11,Warwickshire Police,rrn,5,0,20,2,18,4,1,11,1,1,3
2011-11,Warwickshire Police,nww,7,0,13,3,31,7,0,13,0,0,0
2011-11,Warwickshire Police,rtc,0,1,1,25,32,1,13,14,8,5,1
2011-11,Warwickshire Police,nws,16,0,19,3,29,12,1,17,0,1,4
2011-11,Warwickshire Police,lsn,16,2,31,13,57,32,0,24,3,1,4
2011-11,Warwickshire Police,ken,11,1,3,6,30,19,5,12,1,1,1
2011-11,Warwickshire Police,rtn,9,1,12,19,92,34,13,17,10,0,4
2011-11,Warwickshire Police,rrc,4,0,15,3,20,4,0,12,1,0,2
2011-11,Warwickshire Police,an,14,0,4,9,34,9,4,17,1,0,4
2011-11,Warwickshire Police,nwe,15,0,18,19,61,22,6,13,1,6,1
2011-11,Warwickshire Police,rtw,22,0,15,22,96,23,1,26,3,5,3
2011-11,Warwickshire Police,lstc,5,1,3,23,49,9,19,30,3,4,3
2011-11,Warwickshire Police,lss,17,2,37,27,78,12,8,19,1,3,2
2011-11,Warwickshire Police,btc,2,3,1,3,14,1,7,5,0,1,1
2011-11,Warwickshire Police,ship,12,0,7,8,19,11,2,12,0,0,0
2011-11,Warwickshire Police,rrs,12,0,3,2,12,4,0,7,1,0,1
2011-11,Warwickshire Police,whit,4,1,1,0,9,3,1,2,1,1,0
2011-11,Warwickshire Police,wre,13,0,4,2,16,1,0,16,1,0,2
2011-11,Warwickshire Police,wrc,21,1,23,25,103,13,21,44,3,6,9
2011-11,Warwickshire Police,nn,10,4,21,7,61,23,3,30,2,5,0
2011-11,Warwickshire Police,nc,4,4,6,24,81,19,0,20,1,6,0
2011-11,Warwickshire Police,ne,21,1,36,13,32,7,3,23,0,3,7
2011-11,Warwickshire Police,wrw,8,0,16,2,21,6,0,10,1,0,2
2011-11,Warwickshire Police,ns,23,0,50,10,114,23,0,45,1,3,9
2011-11,Warwickshire Police,nw,15,2,13,11,60,11,0,20,6,3,5
2011-11,Warwickshire Police,be,20,0,7,18,57,23,14,31,0,1,3
2011-11,Warwickshire Police,bw,22,2,21,6,43,17,5,37,1,2,9
2011-11,Warwickshire Police,ntc,1,0,0,24,52,11,25,25,9,9,5
2011-11,Warwickshire Police,well,8,0,7,7,13,7,3,14,0,3,2
2011-11,Warwickshire Police,as,11,2,12,8,29,7,1,23,0,1,1
2011-11,Warwickshire Police,st,17,0,14,20,92,17,36,31,6,14,6
2011-11,Warwickshire Police,nwn,11,0,8,5,30,8,0,8,0,1,3
2011-11,Warwickshire Police,sou,18,0,11,2,43,10,2,16,0,1,3
