Month,Force,Neighbourhood,Burglary,Robbery,Vehicle crime,Violent crime,Anti-social behaviour,Criminal damage and arson,Shoplifting,Other theft,Drugs,Public disorder and weapons,Other crime
2011-11,West Yorkshire Police,AAN_HP,63,42,17,16,121,37,10,71,8,6,8
2011-11,West Yorkshire Police,DA_CEN,45,7,35,82,266,73,66,94,34,23,31
2011-11,West Yorkshire Police,CAN_MOR,59,1,55,46,180,52,29,76,21,11,31
2011-11,West Yorkshire Police,BA_GH,62,4,23,36,126,49,20,51,24,11,10
2011-11,West Yorkshire Police,FAN_UCV,27,0,29,22,101,27,7,49,13,5,11
2011-11,West Yorkshire Police,AAN_WI,92,5,65,50,192,68,15,64,33,15,16
2011-11,West Yorkshire Police,AAN_WO,113,5,82,37,199,67,22,74,10,12,20
2011-11,West Yorkshire Police,BA_CA,38,17,28,27,60,38,1,32,15,11,9
2011-11,West Yorkshire Police,EA_SPN,70,2,55,39,133,43,14,62,12,8,27
2011-11,West Yorkshire Police,DA_CAS,58,2,52,42,153,63,24,111,7,12,18
2011-11,West Yorkshire Police,HAN_EC,107,2,60,27,184,78,25,62,11,14,14
2011-11,West Yorkshire Police,BA_BRH,34,10,52,35,101,61,15,42,16,15,10
2011-11,West Yorkshire Police,AAN_NI,89,12,57,50,160,65,13,103,35,14,7
2011-11,West Yorkshire Police,DA_RUR,35,0,30,22,96,29,5,27,14,4,6
2011-11,West Yorkshire Police,DA_PK,51,3,25,45,204,81,35,71,15,13,17
2011-11,West Yorkshire Police,DA_NF,50,1,45,38,201,43,11,38,6,8,4
2011-11,West Yorkshire Police,AAN_NOA,75,1,34,35,163,47,28,56,14,6,35
2011-11,West Yorkshire Police,EA_KDD,21,0,29,15,42,13,0,13,2,2,5
2011-11,West Yorkshire Police,CAN_CH,104,4,71,61,222,74,21,65,23,20,24
2011-11,West Yorkshire Police,DA_SE,25,0,41,37,197,56,30,48,8,12,12
2011-11,West Yorkshire Police,CAN_CITY,30,8,20,124,215,39,140,411,22,42,43
2011-11,West Yorkshire Police,HAN_KE,53,1,37,55,209,63,14,36,26,20,21
2011-11,West Yorkshire Police,GAN_04,64,8,54,41,123,48,16,35,12,7,4
2011-11,West Yorkshire Police,CAN_RTH,53,3,28,44,181,68,13,75,10,12,6
2011-11,West Yorkshire Police,EA_HS,125,13,56,87,261,121,77,129,30,24,24
2011-11,West Yorkshire Police,FAN_LCV,54,1,50,19,143,55,7,48,15,8,8
2011-11,West Yorkshire Police,HAN_BW,48,1,46,22,116,32,4,23,4,7,6
2011-11,West Yorkshire Police,EA_HN,101,8,50,41,165,69,26,55,23,10,13
2011-11,West Yorkshire Police,BA_CWT,51,4,34,34,116,43,18,40,3,4,4
2011-11,West Yorkshire Police,EA_VYS,55,2,34,45,139,56,16,51,6,7,18
2011-11,West Yorkshire Police,BA_WH,34,0,27,13,40,13,2,31,1,1,3
2011-11,West Yorkshire Police,EA_DM,88,12,46,69,287,128,35,109,32,9,20
2011-11,West Yorkshire Police,HAN_SBWW,46,4,52,29,168,52,13,37,7,9,9
2011-11,West Yorkshire Police,DA_NW,36,2,47,32,136,71,9,32,7,5,5
2011-11,West Yorkshire Police,EA_BBB,64,5,44,42,136,62,14,68,13,10,14
2011-11,West Yorkshire Police,BA_RAM,73,10,66,38,120,30,35,39,10,7,15
2011-11,West Yorkshire Police,BA_KS,64,0,21,44,124,61,30,36,10,12,10
2011-11,West Yorkshire Police,HAN_WC,22,0,9,15,47,11,5,19,1,1,2
2011-11,West Yorkshire Police,GAN_06,45,6,53,28,98,46,1,40,9,11,8
2011-11,West Yorkshire Police,GAN_05,80,14,64,39,98,80,15,55,8,6,5
2011-11,West Yorkshire Police,BA_GKSM,16,0,18,14,59,25,5,29,6,0,5
2011-11,West Yorkshire Police,GAN_03,72,1,38,31,114,71,12,33,13,10,4
2011-11,West Yorkshire Police,GAN_02,69,6,62,34,120,88,21,77,17,10,23
2011-11,West Yorkshire Police,GAN_01,48,15,41,58,88,42,100,112,30,22,30
2011-11,West Yorkshire Police,FAN_HO,75,3,47,41,168,63,10,43,5,12,16
2011-11,West Yorkshire Police,FAN_HI,36,8,47,62,227,53,23,68,25,24,26
2011-11,West Yorkshire Police,HAN_NB,97,7,68,29,130,60,8,83,10,17,17
